file_path,"('BININT2', 'TUPLE')","('MEMOIZE', 'STACK_GLOBAL')","('APPEND', 'SETITEMS')","('BINPUT', 'SETITEMS')","('REDUCE', 'LONG_BINPUT')","('BININT1', 'MARK')","('BININT2', 'TUPLE2')","('REDUCE', 'BINPUT')","('MEMOIZE', 'TUPLE')","('BININT2', 'TUPLE1')","('TUPLE1', 'LONG_BINPUT')","('MEMOIZE', 'EMPTY_TUPLE')","('BININT1', 'NONE')","('TUPLE1', 'BINPUT')","('BININT', 'MARK')","('BINPUT', 'TUPLE3')","('BININT1', 'BININT2')","('LONG_BINPUT', 'REDUCE')","('BINGET', 'GLOBAL')","('LONG_BINPUT', 'BINUNICODE')","('LONG_BINPUT', 'NEWTRUE')","('SETITEMS', 'EMPTY_DICT')","('MEMOIZE', 'SHORT_BINUNICODE')","('BININT1', 'BINFLOAT')","('LONG_BINPUT', 'BINGET')","('BINGET', 'LONG1')","('LONG_BINPUT', 'BINPERSID')","('BINGET', 'TUPLE2')","('BINPUT', 'EMPTY_LIST')","('NONE', 'TUPLE3')","('LONG_BINPUT', 'SETITEM')","('BININT1', 'TUPLE2')","('BININT1', 'TUPLE1')","('MARK', 'GLOBAL')","('BUILD', 'BININT2')","('LONG_BINPUT', 'SETITEMS')","('LONG_BINPUT', 'LONG_BINGET')","('BININT', 'BININT1')","('BININT2', 'NEWFALSE')","('BINPUT', 'MARK')","('LONG_BINPUT', 'BININT1')","('BINPUT', 'REDUCE')","('MEMOIZE', 'NEWFALSE')","('BINPUT', 'NONE')","('PROTO', 'GLOBAL')","('BINPUT', 'BINGET')","('BINPUT', 'BINPERSID')","('TUPLE1', 'MEMOIZE')","('EMPTY_TUPLE', 'REDUCE')","('BINGET', 'SHORT_BINUNICODE')","('NONE', 'BINGET')","('LONG_BINPUT', 'EMPTY_LIST')","('BINPUT', 'BININT1')","('NEWFALSE', 'GLOBAL')","('BININT1', 'BININT')","('BINPUT', 'APPENDS')","('BINGET', 'BINUNICODE')","('MARK', 'SHORT_BINUNICODE')","('LONG_BINGET', 'BINUNICODE')","('LONG_BINPUT', 'MARK')","('BININT', 'BININT')","('BUILD', 'NEWFALSE')","('NEWTRUE', 'TUPLE3')","('LONG_BINGET', 'BINGET')","('BININT1', 'TUPLE')","('TUPLE2', 'MEMOIZE')","('NONE', 'APPENDS')","('BINPERSID', 'BININT1')","('LONG_BINPUT', 'TUPLE3')","('BININT1', 'EMPTY_TUPLE')","('BININT', 'BININT2')","('LONG_BINGET', 'SETITEM')","('MARK', 'BINUNICODE')","('BINGET', 'LONG_BINGET')","('BININT', 'TUPLE')","('LONG_BINPUT', 'BININT2')","('BINPUT', 'EMPTY_DICT')","('LONG_BINGET', 'SETITEMS')","('LONG_BINGET', 'LONG_BINGET')","('MARK', 'BINGET')","('TUPLE2', 'LONG_BINPUT')","('MEMOIZE', 'REDUCE')","('TUPLE2', 'BINPUT')","('LONG1', 'BININT1')","('MEMOIZE', 'NEWTRUE')","('BININT', 'TUPLE2')","('BININT', 'TUPLE1')","('MEMOIZE', 'BINGET')","('MEMOIZE', 'BINPERSID')","('LONG_BINPUT', 'TUPLE1')","('LONG_BINPUT', 'APPENDS')","('BINPUT', 'BININT')","('NEWFALSE', 'SHORT_BINUNICODE')","('SETITEM', 'TUPLE')","('TUPLE3', 'LONG_BINPUT')","('NEWTRUE', 'BINGET')","('MEMOIZE', 'SETITEMS')","('APPENDS', 'BINUNICODE')","('TUPLE3', 'BINPUT')","('BINPUT', 'BININT2')","('BINFLOAT', 'TUPLE')","('NEWTRUE', 'SETITEM')","('NONE', 'NONE')","('MEMOIZE', 'BININT1')","('NONE', 'BININT')","('BINPUT', 'TUPLE')","('BININT2', 'TUPLE3')","('BINPUT', 'EMPTY_TUPLE')","('BINPERSID', 'BININT')","('LONG_BINPUT', 'EMPTY_DICT')","('BINPUT', 'APPEND')","('BINPUT', 'TUPLE2')","('BINPUT', 'TUPLE1')","('BINGET', 'MARK')","('BININT', 'LONG1')","('BINPERSID', 'BININT2')","('BINGET', 'NEWTRUE')","('EMPTY_TUPLE', 'EMPTY_TUPLE')","('LONG_BINPUT', 'LONG1')","('LONG1', 'BININT')","('BINGET', 'NONE')","('BINGET', 'BINGET')","('LONG_BINPUT', 'BININT')","('MARK', 'MARK')","('BININT2', 'MARK')","('LONG1', 'BININT2')","('BINGET', 'SETITEMS')","('SETITEMS', 'SETITEM')","('MEMOIZE', 'MARK')","('BINUNICODE', 'LONG_BINPUT')","('GLOBAL', 'LONG_BINPUT')","('BINPUT', 'GLOBAL')","('LONG_BINPUT', 'TUPLE')","('BINGET', 'BININT1')","('BINUNICODE', 'BINPUT')","('GLOBAL', 'BINPUT')","('LONG_BINGET', 'BININT1')","('BININT1', 'SHORT_BINUNICODE')","('BINPUT', 'NEWFALSE')","('BINPUT', 'LONG1')","('STACK_GLOBAL', 'MEMOIZE')","('BUILD', 'STOP')","('TUPLE', 'LONG_BINPUT')","('MEMOIZE', 'BININT2')","('MARK', 'BININT1')","('BININT2', 'BININT1')","('TUPLE', 'BINPUT')","('BININT1', 'BINUNICODE')","('PROTO', 'FRAME')","('REDUCE', 'MEMOIZE')","('EMPTY_TUPLE', 'NEWFALSE')","('BININT1', 'BINGET')","('BINPERSID', 'LONG1')","('APPENDS', 'BINGET')","('SETITEMS', 'STOP')","('EMPTY_LIST', 'LONG_BINPUT')","('BININT1', 'SETITEM')","('NEWFALSE', 'NEWTRUE')","('EMPTY_LIST', 'BINPUT')","('EMPTY_DICT', 'MEMOIZE')","('NEWFALSE', 'BINGET')","('LONG1', 'LONG1')","('BININT1', 'BININT1')","('LONG_BINPUT', 'NEWFALSE')","('SHORT_BINUNICODE', 'MEMOIZE')","('BINPUT', 'BUILD')","('EMPTY_DICT', 'LONG_BINPUT')","('BINGET', 'BININT')","('FRAME', 'EMPTY_DICT')","('EMPTY_DICT', 'BINPUT')","('SETITEMS', 'MARK')","('SETITEM', 'BINUNICODE')","('APPENDS', 'APPENDS')","('MEMOIZE', 'EMPTY_DICT')","('BINGET', 'BININT2')","('BININT1', 'TUPLE3')","('MARK', 'LONG1')","('BINPUT', 'BINUNICODE')","('LONG1', 'TUPLE')","('MARK', 'BININT')","('PROTO', 'EMPTY_DICT')","('BINPUT', 'NEWTRUE')","('BINGET', 'EMPTY_TUPLE')","('SETITEM', 'BUILD')","('SETITEM', 'SETITEM')","('TUPLE', 'MEMOIZE')","('BININT1', 'EMPTY_LIST')","('SETITEM', 'SETITEMS')","('NEWTRUE', 'GLOBAL')","('MARK', 'BININT2')","('BININT2', 'BININT2')","('MEMOIZE', 'BININT')","('NONE', 'BINUNICODE')"
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/sangjeedondrub__tibetan-roberta-causal-base/archive/data.pkl.trace.txt,68,0,0,0,152,0,41,62,0,66,98,0,0,34,0,0,107,76,1,75,0,0,0,0,151,0,76,0,0,0,0,41,66,0,0,1,0,0,0,2,49,31,0,0,0,61,31,0,107,0,0,0,17,1,0,0,105,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,2,0,39,27,0,0,0,106,54,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,31,0,1,0,0,0,0,0,106,0,0,0,0,0,0,0,105,0,107,0,0,0,0,0,151,0,2,76,0,65,4,0,0,31,0,0,0,152,0,0,41,62,0,0,0,0,0,0,0,1,0,0,0,0,0,106,0,2,76,0,0,0,39,0,1,0,0,0,0,67,0,0,34,0,0,1,0,106,0,0,0,0,0,0,0,39,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/nvidia__Minitron-8B-Base/pytorch_model/data.pkl.trace.txt,130,0,0,0,593,0,194,56,0,130,242,0,0,18,0,0,322,296,0,592,0,0,0,0,296,0,296,0,0,0,0,194,130,0,0,1,0,0,0,2,121,28,0,0,1,27,28,0,325,0,0,0,9,0,2,0,323,0,0,0,0,0,0,0,0,0,0,324,0,0,2,0,2,0,194,296,0,0,0,323,350,0,38,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,28,0,0,0,0,0,28,0,1,0,0,0,0,0,323,0,0,0,0,0,0,0,323,175,324,0,0,0,0,0,888,0,2,296,0,85,3,0,0,28,0,0,0,592,0,0,194,56,0,0,0,0,0,0,0,1,0,0,0,0,0,324,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,324,0,0,0,0,0,0,0,192,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/allenai__OLMo-1B/pytorch_model/data.pkl.trace.txt,0,0,0,0,81,0,65,49,0,0,0,0,0,0,0,0,65,41,0,40,0,0,0,0,121,0,40,0,0,0,0,65,0,1,0,1,0,0,0,3,0,24,0,0,0,71,25,0,65,0,0,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2,0,65,40,25,0,0,128,80,0,50,0,0,0,0,0,0,0,0,1,0,65,0,0,0,0,0,25,0,65,0,0,0,25,0,1,0,40,0,0,0,128,0,0,64,0,0,0,0,128,0,65,0,0,0,0,0,80,0,3,40,0,53,5,0,0,25,0,0,0,121,0,0,65,74,0,0,0,0,0,0,0,1,0,0,0,0,0,64,0,0,40,0,0,41,64,0,25,0,0,0,0,0,0,0,27,0,0,1,1,64,0,0,0,0,0,0,0,65,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/norallm__normistral-7b-scratch/pytorch_model/data.pkl.trace.txt,65,0,0,0,520,0,226,62,0,65,114,0,0,16,0,0,291,260,0,259,0,0,0,0,518,0,260,0,0,0,0,226,65,0,0,1,0,0,0,2,57,31,0,0,0,62,31,0,291,0,0,0,8,1,0,0,290,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,2,0,226,203,0,0,0,290,406,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,31,0,1,0,0,0,0,0,290,0,0,0,0,0,0,0,290,0,291,0,0,0,0,0,518,0,2,260,0,66,3,0,0,31,0,0,0,520,0,0,226,62,0,0,0,0,0,0,0,1,0,0,0,0,0,290,0,0,260,0,0,0,225,0,1,0,0,0,0,65,0,0,33,0,0,1,0,290,0,0,0,0,0,0,0,226,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/EleutherAI__pythia-1.4b-deduped/pytorch_model/data.pkl.trace.txt,218,0,0,0,666,24,98,62,0,194,398,0,0,38,0,0,316,333,1,332,0,0,0,0,664,0,332,0,0,0,0,98,242,0,0,1,0,0,0,4,199,31,0,0,0,62,32,0,364,0,0,0,19,1,0,0,362,0,0,22,24,0,0,0,72,0,0,364,0,24,24,0,2,0,122,89,0,0,0,363,178,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,31,0,1,0,0,0,0,0,363,0,0,0,24,0,0,0,362,0,364,0,0,0,0,0,664,0,2,333,48,66,4,0,0,30,0,0,0,709,0,24,122,67,0,0,0,24,0,0,0,1,0,0,0,0,0,363,0,48,310,0,0,0,121,0,1,0,0,0,0,194,0,0,34,0,24,1,0,363,0,0,0,0,0,0,0,122,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/Locutusque__gpt2-large-conversational-retrain/pytorch_model/data.pkl.trace.txt,290,0,0,0,819,0,147,55,0,290,544,0,0,36,0,0,437,409,0,817,0,0,0,0,409,0,409,0,0,0,0,147,290,0,0,1,0,0,0,2,272,28,0,0,0,27,28,0,437,0,0,0,18,1,0,0,436,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,2,0,147,409,0,0,0,436,274,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,28,0,0,0,0,0,28,0,1,0,0,0,0,0,436,0,0,0,0,0,0,0,437,137,437,0,0,0,0,0,1226,0,2,409,0,85,3,0,0,28,0,0,0,818,0,0,147,56,0,0,0,0,0,0,0,1,0,0,0,0,0,436,0,0,409,0,0,0,0,0,1,0,0,0,0,0,0,0,56,0,0,1,0,436,0,0,0,0,0,0,0,147,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/PAIXAI__Astrid-1B/pytorch_model/data.pkl.trace.txt,146,0,0,0,426,16,66,62,0,130,255,0,0,37,0,0,212,213,2,212,0,0,0,0,424,0,212,0,0,0,0,66,162,0,0,1,0,0,0,4,127,31,0,0,0,62,32,0,244,0,0,0,19,1,0,0,241,0,0,14,16,0,0,0,48,0,0,244,0,16,16,0,2,0,82,57,0,0,0,243,114,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,31,0,1,0,0,0,0,0,243,0,0,0,16,0,0,0,241,0,244,0,0,0,0,0,424,0,2,213,32,66,5,0,0,29,0,0,0,453,0,16,82,67,0,0,0,16,0,0,0,1,0,0,0,0,0,243,0,32,199,0,0,0,81,0,1,0,0,0,0,130,0,0,35,0,16,1,0,243,0,0,0,0,0,0,0,82,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/aubmindlab__aragpt2-base/archive/data.pkl.trace.txt,110,0,0,0,283,12,50,63,0,98,160,0,0,36,0,0,160,141,1,142,0,1,0,0,281,0,140,0,0,0,0,50,98,0,0,1,149,0,0,4,81,31,0,0,1,62,32,0,174,0,0,0,18,0,0,0,170,0,0,11,12,0,0,0,24,0,0,172,0,12,12,0,3,0,62,40,0,0,0,171,80,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,31,0,1,0,150,0,0,0,171,0,0,0,12,0,0,0,170,0,172,0,0,0,1,0,432,0,2,141,12,66,4,149,0,30,0,0,1,301,0,12,62,67,0,0,0,12,0,0,0,0,0,150,0,0,0,172,0,12,130,0,0,151,61,0,0,0,149,0,0,98,0,0,34,0,12,0,0,173,1,0,0,0,1,0,0,62,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/philippelaban__keep_it_simple/archive/data.pkl.trace.txt,218,0,0,0,627,24,99,57,0,194,358,0,0,30,0,0,317,313,1,626,0,1,0,0,313,0,313,0,0,0,0,99,194,0,0,1,295,0,0,4,202,28,0,0,1,28,28,0,343,0,0,0,17,0,0,0,339,0,0,23,24,0,0,0,48,0,0,341,0,24,24,0,3,0,123,269,0,0,0,340,180,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,24,0,0,0,0,0,28,0,1,0,296,0,0,0,340,0,0,0,24,0,0,0,339,112,341,0,0,0,1,0,1235,0,2,313,0,87,4,295,0,26,0,0,1,670,0,24,123,60,0,0,0,24,0,0,0,0,0,296,0,0,0,341,0,24,291,0,0,297,0,0,0,0,295,0,0,0,0,0,59,0,24,0,0,342,1,0,0,0,1,0,0,123,0,0
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/huggingartists__drake/pytorch_model/data.pkl.trace.txt,110,0,0,0,290,12,51,56,0,98,166,0,0,30,0,0,161,145,1,287,0,0,0,0,144,0,145,0,0,0,0,51,98,0,0,1,0,0,0,4,93,28,0,0,0,28,28,0,173,0,0,0,17,1,0,0,171,0,0,10,12,0,0,0,24,0,0,173,0,12,12,0,2,0,63,125,0,0,0,172,84,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,24,0,0,0,0,0,28,0,1,0,0,0,0,0,172,0,0,0,12,0,0,0,172,52,173,0,0,0,0,0,432,0,2,145,0,87,4,0,0,26,0,0,0,310,0,12,63,60,0,0,0,12,0,0,0,1,0,0,0,0,0,172,0,12,135,0,0,0,0,0,1,0,0,0,0,0,0,0,59,0,12,1,0,172,0,0,0,0,0,0,0,63,0,0
