futex,read,newfstatat,munmap,openat,mmap,lseek,close,getdents64,ioctl,brk,mprotect,clone3,rt_sigaction,getrandom,rseq,pread64,rt_sigprocmask,readlink,open,unlink,set_robust_list,write,prctl,sched_setaffinity,getcwd,sched_getaffinity,dup,sysinfo,sched_get_priority_max,clock_nanosleep,sched_get_priority_min,madvise,access,mbind,set_tid_address,prlimit64,getpid,socket,arch_prctl,fstat,bind,fcntl,gettid,execve,uname,epoll_create1,name,rename,mkdir,link,rmdir,unlinkat
81,3804,22557,110,3071,770,3320,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_microsoft__Promptist_count.log,,,,,
83,3680,22557,86,3071,746,3262,2014,482,1621,750,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_lxyuan__distilgpt2-finetuned-finance_count.log,,,,,
82,4099,22557,158,3071,819,3424,2014,482,1621,773,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_egonrp__gpt2-medium-squadv11-portuguese_count.log,,,,,
81,4230,22557,158,3071,819,3555,2014,482,1621,773,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_aubmindlab__aragpt2-medium_count.log,,,,,
81,3942,22557,172,3071,833,3382,2014,482,1621,795,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_llmware__slim-tags_count.log,,,,,
82,4151,22557,181,3071,842,3427,2014,482,1621,765,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_YeungNLP__firefly-bloom-2b6_count.log,,,,,
81,3804,22557,110,3071,770,3320,2014,482,1621,761,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Gustavosta__MagicPrompt-Stable-Diffusion_count.log,,,,,
81,4147,22557,231,3071,891,3502,2014,482,1621,762,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_KoboldAI__GPT-J-6B-Janeway_count.log,,,,,
81,4147,22557,231,3071,891,3502,2014,482,1621,763,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_NovelAI__genji-jp_count.log,,,,,
81,3587,22557,61,3071,722,3219,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_RWKV__v5-EagleX-v2-7B-HF_count.log,,,,,
81,3583,22557,61,3071,722,3218,2014,482,1621,752,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_Q-bert__Mamba-3B_count.log,,,,,
81,5012,22557,334,3071,995,3934,2014,482,1621,955,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_fnlp__moss-moon-003-sft-int8_count.log,,,,,
81,3973,22557,230,3071,890,3395,2014,482,1621,752,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_nicholasKluge__TeenyTinyLlama-460m_count.log,,,,,
81,4367,22557,317,3071,978,3585,2014,482,1621,803,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_0xAmey__tinyllava-1.1b-v0.1_count.log,,,,,
82,4606,22557,253,3071,915,3731,2014,482,1621,777,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_KoboldAI__fairseq-dense-6.7B-Janeway_count.log,,,,,
81,4200,22557,286,3071,947,3485,2014,482,1621,758,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_llmware__slim-sa-ner_count.log,,,,,
81,4152,22557,182,3071,843,3427,2014,482,1621,766,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_YeungNLP__bloom-2b6-zh_count.log,,,,,
82,4027,22557,244,3071,904,3431,2014,482,1621,753,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_acrastt__Puma-3B_count.log,,,,,
84,3930,22557,134,3071,794,3351,2014,482,1621,757,198,4,67,11,5,23,18,11,4,1,5,2,1,6,9,6,3,2,4,5,4,5,1,4,1,2,17,1,2,3,1,1,1,1,4,1,strace_logs_nsarrazin__chessformer_count.log,,,,,
