file_path,TUPLE3,REDUCE,SHORT_BINUNICODE,BUILD,NONE,EMPTY_LIST,BINFLOAT,LONG_BINPUT,SETITEM,APPENDS,BININT2,LONG1,MARK,MEMOIZE,BINGET,LONG_BINGET,BININT1,EMPTY_DICT,STACK_GLOBAL,SETITEMS,PROTO,BININT,TUPLE2,NEWFALSE,TUPLE,EMPTY_TUPLE,APPEND,NEWTRUE,GLOBAL,FRAME,BINPUT,TUPLE1,STOP,BINUNICODE,BINPERSID
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/sangjeedondrub__tibetan-roberta-causal-base/archive/data.pkl.trace.txt,0,214,0,0,0,0,0,607,0,0,255,0,215,0,529,0,216,1,0,1,1,39,82,107,214,107,0,0,4,0,256,132,1,216,107
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/nvidia__Minitron-8B-Base/pytorch_model/data.pkl.trace.txt,0,649,0,0,0,0,0,2665,0,0,840,0,649,0,1293,0,648,0,0,1,1,196,388,324,648,325,0,0,3,0,256,260,1,973,324
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/allenai__OLMo-1B/pytorch_model/data.pkl.trace.txt,0,130,0,0,0,0,0,403,65,0,195,0,196,0,512,0,130,66,0,1,1,65,130,65,195,65,0,65,5,0,256,0,1,133,65
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/norallm__normistral-7b-scratch/pytorch_model/data.pkl.trace.txt,0,582,0,0,0,0,0,2078,0,0,808,0,583,0,1450,0,582,1,0,1,1,226,452,291,582,291,0,0,3,0,256,130,1,584,291
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/EleutherAI__pythia-1.4b-deduped/pytorch_model/data.pkl.trace.txt,0,728,0,0,0,0,0,2615,0,0,754,0,777,0,1814,0,824,1,0,1,1,170,196,364,776,412,0,0,4,0,256,436,1,730,364
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/Locutusque__gpt2-large-conversational-retrain/pytorch_model/data.pkl.trace.txt,0,874,0,0,0,0,0,3681,0,0,1021,0,875,0,1745,0,874,1,0,1,1,147,294,437,874,437,0,0,3,0,256,580,1,1311,437
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/PAIXAI__Astrid-1B/pytorch_model/data.pkl.trace.txt,0,488,0,0,0,0,0,1672,0,0,506,0,521,0,1213,0,552,1,0,1,1,114,132,244,520,276,0,0,5,0,256,292,1,490,244
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/aubmindlab__aragpt2-base/archive/data.pkl.trace.txt,0,346,0,1,0,0,0,1407,151,0,382,0,370,0,856,149,518,151,0,2,1,86,100,172,368,198,0,0,4,0,256,196,1,498,172
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/philippelaban__keep_it_simple/archive/data.pkl.trace.txt,0,684,0,1,0,0,0,3367,297,0,757,0,732,0,1361,295,1026,297,0,2,1,171,198,341,730,391,0,0,4,0,256,388,1,1322,341
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/huggingartists__drake/pytorch_model/data.pkl.trace.txt,0,346,0,0,0,0,0,1282,0,0,385,0,371,0,688,0,370,1,0,1,1,87,102,173,370,197,0,0,4,0,256,196,1,519,173
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/rinna__youri-7b-instruction/pytorch_model/data.pkl.trace.txt,0,582,0,0,0,0,0,2078,0,0,743,493,583,0,1450,0,292,1,0,1,1,88,452,291,582,291,0,0,3,0,256,130,1,584,291
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/Unbabel__TowerBase-7B-v0.1/pytorch_model/data.pkl.trace.txt,0,582,0,0,0,0,0,2078,0,0,808,0,583,0,1450,0,582,1,0,1,1,226,452,291,582,291,0,0,3,0,256,130,1,584,291
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/beomi__KoAlpaca-KoRWKV-1.5B/pytorch_model/data.pkl.trace.txt,240,876,0,0,0,0,0,3691,0,0,1286,0,877,0,1748,0,1116,1,0,1,1,170,340,438,876,438,0,0,3,0,256,296,1,1315,438
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/openaccess-ai-collective__tiny-mistral/pytorch_model/data.pkl.trace.txt,0,150,0,0,0,0,0,350,0,0,192,0,151,0,370,0,166,1,0,1,1,58,116,75,150,75,0,0,3,0,256,34,1,152,75
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/EleutherAI__pythia-1b-v0/archive/data.pkl.trace.txt,0,488,0,0,0,0,0,1914,0,0,506,0,521,0,971,0,552,1,0,1,1,114,132,244,520,276,0,0,4,0,256,292,1,733,244
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/EleutherAI__pythia-410m-v0/archive/data.pkl.trace.txt,0,728,0,0,0,0,0,2978,0,0,754,0,777,0,1451,0,824,1,0,1,1,170,196,364,776,412,0,0,4,0,256,436,1,1093,364
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/crumb__distilpythia/pytorch_model/data.pkl.trace.txt,0,188,0,0,0,0,0,585,0,0,196,0,201,0,370,0,212,1,0,1,1,44,52,94,200,106,0,0,5,0,256,112,1,283,94
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/clibrain__Llama-2-7b-ft-instruct-es-gptq-4bit/pytorch_model/data.pkl.trace.txt,0,2374,0,0,0,0,0,10433,0,0,2824,0,2376,0,4743,0,2822,1,0,2,1,450,1348,1187,2374,1187,0,0,4,0,256,1026,1,3562,1187
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/Salesforce__codegen-350M-mono/archive/data.pkl.trace.txt,0,370,0,0,0,0,0,1231,0,0,472,0,411,0,919,0,410,1,0,1,1,142,164,185,410,185,0,0,4,0,256,166,1,372,185
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/nota-ai__cpt_st-vicuna-v1.3-2.7b-ppl/pytorch_model/data.pkl.trace.txt,0,246,0,0,0,0,0,734,0,0,308,0,247,0,610,0,270,1,0,1,1,86,172,123,246,123,0,0,3,0,256,74,1,248,123
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/BioMistral__BioMistral-7B/pytorch_model/data.pkl.trace.txt,0,584,0,1,0,0,0,3641,779,0,808,0,875,0,2322,486,1069,779,0,2,1,226,452,291,873,293,0,291,5,0,256,130,1,1074,291
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/ayameRushia__gpt2-small-indonesia-fine-tuning-poem/archive/data.pkl.trace.txt,0,348,0,1,0,0,0,1590,153,0,385,0,372,0,690,151,522,153,0,2,1,87,102,173,370,199,0,0,4,0,256,196,1,673,173
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/cxllin__StableHermes-3b/pytorch_model/data.pkl.trace.txt,0,712,0,0,0,0,0,2953,0,0,938,0,713,0,1420,0,712,1,0,1,1,226,452,356,712,356,0,0,3,0,256,260,1,1069,356
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/bigscience__distill-bloom-1b3/archive/data.pkl.trace.txt,0,300,0,1,0,0,0,1244,150,0,346,0,300,0,742,148,447,150,0,2,1,50,98,149,298,151,0,0,3,0,256,200,1,451,149
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/benjamin__gpt2-wechsel-chinese/archive/data.pkl.trace.txt,0,346,0,0,0,0,0,1111,0,0,385,0,371,0,859,0,370,1,0,1,1,87,102,173,370,197,0,0,4,0,256,196,1,348,173
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/hazyresearch__based-1b/pytorch_model/data.pkl.trace.txt,44,600,0,0,0,0,0,2448,0,0,758,0,601,0,1197,0,690,1,0,1,1,160,320,300,600,300,0,0,3,0,256,236,1,900,300
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/llmware__bling-1b-0.1/pytorch_model/data.pkl.trace.txt,0,490,0,1,0,0,0,2282,183,0,506,0,522,0,973,181,734,183,0,2,1,114,132,244,520,278,0,0,4,0,256,292,1,917,244
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/Aratako__sarashina2.1-1b-sft/pytorch_model/data.pkl.trace.txt,0,438,0,0,0,0,0,1502,0,0,557,0,439,0,1090,0,220,1,0,1,1,439,340,219,438,219,0,0,3,0,256,98,1,440,219
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/IDEA-CCNL__Wenzhong2.0-GPT2-3.5B-chinese/archive/data.pkl.trace.txt,0,848,0,0,0,0,0,3083,0,0,940,0,909,0,2116,0,908,1,0,1,1,212,244,424,908,484,0,0,3,0,256,484,1,851,424
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/acrastt__Marx-3B-V2/pytorch_model/data.pkl.trace.txt,0,526,0,0,0,0,0,1855,0,0,658,0,527,0,1309,0,578,1,0,1,1,184,368,263,526,263,0,0,4,0,256,158,1,528,263
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/nickypro__tinyllama-15M/pytorch_model/data.pkl.trace.txt,0,112,0,0,0,0,0,199,0,0,155,0,113,0,276,0,112,1,0,1,1,43,86,0,112,56,0,56,3,0,256,26,1,115,56
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/CodeGPTPlus__deepseek-coder-1.3b-typescript/pytorch_model/data.pkl.trace.txt,0,438,0,0,0,0,0,1721,0,0,608,0,439,0,871,0,438,1,0,1,1,170,340,219,438,219,0,0,4,0,256,98,1,658,219
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/roneneldan__TinyStories-Instruct-2Layers-33M/pytorch_model/data.pkl.trace.txt,0,68,0,0,0,0,0,52,0,0,80,0,73,0,131,0,72,1,0,1,1,20,28,34,72,38,0,0,4,0,256,32,1,103,34
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/YeungNLP__bloom-1b4-zh/archive/data.pkl.trace.txt,0,588,0,0,0,0,0,2102,0,0,686,0,589,0,1465,0,588,1,0,1,1,98,196,294,588,294,0,0,3,0,256,392,1,590,294
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/facebook__opt-1.3b/archive/data.pkl.trace.txt,0,778,0,0,0,0,0,2861,0,0,925,0,779,0,1941,0,778,1,0,1,1,147,294,389,778,389,0,0,3,0,256,484,1,779,389
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/TurkuNLP__gpt3-finnish-large/pytorch_model/data.pkl.trace.txt,0,588,0,1,0,0,0,2636,270,0,682,0,588,0,1462,268,855,270,0,2,1,98,194,293,586,295,0,0,3,0,256,392,1,859,293
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/t-bank-ai__ruDialoGPT-small/archive/data.pkl.trace.txt,0,348,0,1,0,0,0,1590,153,0,385,0,372,0,690,151,522,153,0,2,1,87,102,173,370,199,0,0,4,0,256,196,1,673,173
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/KnutJaegersberg__Qwen-1_8B-Llamafied/pytorch_model/data.pkl.trace.txt,0,630,0,0,0,0,0,2174,0,0,846,0,631,0,1582,84,534,1,0,1,1,220,340,315,630,315,0,0,3,0,256,290,1,536,315
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/nnpy__opt-350m-instruct/pytorch_model/data.pkl.trace.txt,0,778,0,0,0,0,0,3249,0,0,927,0,779,0,1553,0,778,1,0,1,1,149,298,389,778,389,0,0,3,0,256,480,1,1167,389
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/maharshipandya__AnimeGPTSan/pytorch_model/data.pkl.trace.txt,0,298,0,0,0,0,0,941,0,0,349,0,299,0,741,0,298,1,0,1,1,51,102,149,298,149,0,0,3,0,256,196,1,299,149
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/satvikag__chatbot/archive/data.pkl.trace.txt,0,348,0,1,0,0,0,1419,153,0,385,0,372,0,861,151,522,153,0,2,1,87,102,173,370,199,0,0,4,0,256,196,1,502,173
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/CobraMamba__mamba-gpt-3b-v2/pytorch_model/data.pkl.trace.txt,0,526,0,0,0,0,0,2117,0,0,658,0,527,0,1047,0,578,1,0,1,1,184,368,263,526,263,0,0,4,0,256,158,1,790,263
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/CobraMamba__mamba-gpt-3b/pytorch_model/data.pkl.trace.txt,0,526,0,0,0,0,0,2117,0,0,658,0,527,0,1047,0,578,1,0,1,1,184,368,263,526,263,0,0,4,0,256,158,1,790,263
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/TinyLlama__TinyLlama-1.1B-intermediate-step-480k-1T/iter-3840000-ckpt/data.pkl.trace.txt,0,402,213,0,0,0,0,0,135,0,558,0,538,1695,1403,0,603,136,5,1,1,156,312,201,537,201,0,135,0,1,0,90,1,0,201
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/RWKV__rwkv-4-169m-pile/pytorch_model/data.pkl.trace.txt,120,444,0,0,0,0,0,1526,0,0,650,0,445,0,1105,0,564,1,0,1,1,86,172,222,444,222,0,0,3,0,256,152,1,446,222
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/teknium__Puffin-Phi-v2/pytorch_model/data.pkl.trace.txt,0,538,0,0,0,0,0,2148,0,0,588,0,539,0,1094,0,586,1,0,1,1,98,196,269,538,269,0,0,4,0,256,342,1,785,269
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/llmware__dragon-llama-7b-v0/pytorch_model/data.pkl.trace.txt,0,584,0,1,0,0,0,3280,455,0,808,0,584,0,1162,453,1036,455,0,2,1,226,452,291,582,293,0,0,3,0,256,130,1,1330,291
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/vilm__vinallama-2.7b/pytorch_model/data.pkl.trace.txt,0,582,0,0,0,0,0,2368,0,0,808,0,583,0,1160,0,582,1,0,1,1,226,452,291,582,291,0,0,3,0,256,130,1,874,291
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/benjamin__gpt2-large-wechsel-ukrainian/archive/data.pkl.trace.txt,0,1018,0,0,0,0,0,3751,0,0,1129,0,1091,0,2539,0,1090,1,0,1,1,255,294,509,1090,581,0,0,4,0,256,580,1,1020,509
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/AUTOMATIC__promptgen-majinai-safe/pytorch_model/data.pkl.trace.txt,0,178,0,0,0,0,0,538,0,0,199,0,191,0,352,0,190,1,0,1,1,45,54,89,190,101,0,0,4,0,256,100,1,267,89
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/llmware__bling-phi-2-v0/pytorch_model/data.pkl.trace.txt,0,652,0,1,0,0,0,3660,492,0,780,0,652,0,1298,490,1141,492,0,2,1,130,260,325,650,327,0,0,3,0,256,390,1,1469,325
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/flax-community__gpt2-medium-persian/archive/data.pkl.trace.txt,0,684,0,1,0,0,0,3026,297,0,757,0,732,0,1702,295,1026,297,0,2,1,171,198,341,730,391,0,0,4,0,256,388,1,981,341
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/microsoft__Florence-2-base-ft/pytorch_model/data.pkl.trace.txt,0,1338,0,0,0,0,0,5105,0,0,1118,0,1443,0,3337,0,1027,1,0,1,1,1249,406,669,1442,669,0,0,3,0,256,828,1,1343,669
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/EleutherAI__pythia-70m-deduped-v0/archive/data.pkl.trace.txt,0,188,0,0,0,0,0,584,0,0,196,0,201,0,371,0,212,1,0,1,1,44,52,94,200,106,0,0,4,0,256,112,1,283,94
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/codeparrot__codeparrot/archive/data.pkl.trace.txt,0,1356,0,1,0,0,0,6918,585,0,1501,0,1452,0,2706,583,2034,585,0,2,1,339,390,677,1450,775,0,0,4,0,256,772,1,2617,677
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/pszemraj__opt-350m-multiprompt/pytorch_model/data.pkl.trace.txt,0,778,0,0,0,0,0,3249,0,0,927,0,779,0,1553,0,778,1,0,1,1,149,298,389,778,389,0,0,3,0,256,480,1,1167,389
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/yhavinga__gpt2-medium-dutch/archive/data.pkl.trace.txt,0,684,0,1,0,0,0,3026,297,0,757,0,732,0,1702,295,1026,297,0,2,1,171,198,341,730,391,0,0,4,0,256,388,1,981,341
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/EleutherAI__pythia-1.4b/pytorch_model/data.pkl.trace.txt,0,728,0,0,0,0,0,2615,0,0,754,0,777,0,1814,0,824,1,0,1,1,170,196,364,776,412,0,0,4,0,256,436,1,730,364
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/FrostAura__gpt-neo-1.3B-fiction-novel-generation/archive/data.pkl.trace.txt,0,704,0,0,0,0,0,2519,0,0,814,0,729,0,1754,0,728,1,0,1,1,182,292,352,728,400,0,0,4,0,256,340,1,706,352
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/roneneldan__TinyStories-Instruct-33M/pytorch_model/data.pkl.trace.txt,0,128,0,0,0,0,0,318,0,0,150,0,137,0,251,0,136,1,0,1,1,38,52,64,136,72,0,0,4,0,256,60,1,193,64
/mnt/The_Second_Drive/Security/ML_Research/downloaded_hf/text-generation/ibm-research__MoLM-350M-4B/pytorch_model/data.pkl.trace.txt,192,776,0,0,0,0,0,2855,0,0,1018,0,777,0,1934,0,920,1,0,1,1,290,292,388,776,388,0,0,4,0,256,292,1,778,388
