name,likes,downloads,last_updated,decision_score
Vivek/GPT2_GSM8k,0,19,2021-11-29 15:27:55+00:00,-0.03157285610403193
huggingtweets/amccarty,0,13,2021-05-21 18:36:59+00:00,-0.008996725652194892
Paradocx/Dialogpt-mid-hpai,0,14,2021-09-11 03:23:11+00:00,-0.014282843601204465
SouvikGhosh/DialoGPT-Souvik,0,16,2021-06-21 13:00:49+00:00,-0.05531101897008539
huggingtweets/atinux,0,13,2021-05-21 19:36:51+00:00,-0.057320308744320814
huggingtweets/benskerim,0,13,2021-05-21 20:24:45+00:00,-0.09254847857469017
huggingartists/skillet,0,13,2021-09-10 14:51:47+00:00,-0.0017250673372293246
huggingtweets/bovice18,0,13,2021-05-21 20:56:14+00:00,-0.010741949239326476
clairesb/kindness_bot,0,12,2021-10-26 00:09:56+00:00,-0.06432711121579882
huggingartists/slava-kpss,0,14,2021-09-10 16:22:01+00:00,-0.026622447074947653
TVLG/DialoGPT-small-Iroh-Bot,0,15,2021-08-31 19:01:17+00:00,-0.014162319364097176
huggingtweets/alotoforanges,0,13,2021-05-21 18:26:16+00:00,-0.0847983846389696
REAP3R/Chat-bot,0,15,2021-09-25 13:56:48+00:00,-0.10206840281040341
chan030609/DialoGPT-small-JAB,0,12,2022-02-10 03:27:21+00:00,-0.019207370160497006
ehdwns1516/gpt3-kor-based_gpt2_review_SR3,0,13,2021-07-23 01:18:13+00:00,-0.02015572088531803
pixelsandpointers/bart-base-empatheticdialogues,0,4,2022-01-24 11:29:02+00:00,-0.06270140745284802
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,0,12,2021-10-14 12:28:04+00:00,-0.03535833657925236
huggingartists/21-savage,0,18,2021-09-11 16:36:16+00:00,-0.04906763576875628
anduush/DialoGPT-small-Rick,0,12,2021-08-27 07:25:40+00:00,-0.04021014557559144
huggingartists/alan-walker,0,20,2021-09-19 17:05:07+00:00,-0.04458162523757114
huggingtweets/alibabagroup,0,14,2021-05-21 18:16:34+00:00,-0.054038724080835765
huggingtweets/alterhuss-zainabverse,0,13,2021-12-14 07:46:28+00:00,-0.005273211897241947
beomus/lotr-gpt,0,20,2023-06-19 01:57:06+00:00,-0.0011218041604383888
ehdwns1516/gpt2_review_star4,0,13,2021-07-23 01:07:26+00:00,-0.042294645447365276
RuRI/Talkmodel01,0,15,2021-09-17 00:34:28+00:00,-0.04842805403695882
huggingtweets/bladeecity-thaiboygoon,0,13,2021-06-30 07:56:47+00:00,-0.09491825736586523
huggingartists/vladimir-vysotsky,0,13,2021-09-10 07:47:12+00:00,-0.0355791806421587
hireddivas/DialoGPT-small-ray,0,13,2021-11-03 05:56:23+00:00,-0.009454745639462026
Poly-Pixel/shrek-test-small,0,26,2023-03-24 20:09:13+00:00,-0.04410158676086129
huggingtweets/americanpineapp,0,13,2021-05-21 18:38:39+00:00,-0.05553656596062795
huggingartists/grimes,0,15,2021-09-18 22:52:02+00:00,-0.08306387266568005
honguyenminh/old-zhongli,0,12,2021-09-11 15:14:30+00:00,-0.062302104188258434
Zixtrauce/JohnBot,0,12,2022-01-02 06:43:38+00:00,-0.06348003159558846
PurpleJacketGuy/My_Jarvis_2,0,15,2021-11-11 15:50:51+00:00,-0.03866209186637781
Username1/Mourinhio-medium,0,14,2021-09-10 20:52:27+00:00,-0.04780879107684033
adresgezgini/Turkish-GPT-2-Finetuned_digital_ads,0,13,2021-05-21 11:52:06+00:00,-0.04534212734484877
henryoce/DialoGPT-small-rick-and-morty,0,13,2021-08-25 04:37:09+00:00,-0.0922559638516045
danny911kr/calm-mix-large,0,16,2021-09-16 07:23:19+00:00,-0.05782567180609288
benajtil/DialoGPT-small-RickAndMortyScripts,0,12,2022-01-28 12:46:48+00:00,-0.044829300596717414
ceostroff/harry-potter-gpt2-fanfiction,0,16,2021-05-21 14:51:47+00:00,-0.06033905149462493
huggingartists/cardi-b,0,14,2021-09-24 12:29:25+00:00,-0.016778690469004154
anweasha/DialoGPT-small-Jake,0,12,2022-02-12 16:10:13+00:00,-0.07285845646827172
hrv/DialoGPT-small-rick-morty,0,13,2021-08-27 06:55:43+00:00,-0.06865884042433046
huggingtweets/adderallblack,0,13,2021-05-21 17:36:11+00:00,-0.05276864489640887
huggingartists/oxxxymiron,0,14,2022-07-06 16:17:56+00:00,-0.05430661943712356
P4RZ1V4L/DialoGPT-Medium-Tony,0,16,2022-03-06 12:00:15+00:00,-0.03492978279746939
Tr1ex/DialoGPT-small-rick,0,14,2022-01-08 11:38:39+00:00,-0.06379989407484343
huggingtweets/bobuk,0,13,2021-10-01 13:49:40+00:00,-0.03915684930962526
ethzhou/newJooby,0,12,2021-09-17 07:09:09+00:00,-0.035869685110536675
huggingartists/shadowraze,0,16,2021-10-15 02:02:54+00:00,-0.06597561814769659
huggingtweets/alicesblossoms,0,13,2021-05-21 18:19:16+00:00,-0.06124113980185619
huggingtweets/4pfviolet,0,12,2021-05-21 16:40:36+00:00,-0.019531813933457043
huggingtweets/alanwattsdaily,0,13,2021-05-21 17:59:45+00:00,-0.044223875640356236
SJSui/NekuBot,0,15,2021-11-17 03:16:31+00:00,-0.05251966691272525
alvinkobe/DialoGPT-medium-steve_biko,0,12,2021-09-09 03:03:43+00:00,-0.07569229674702915
huggingartists/mating-ritual,0,13,2021-09-18 01:00:55+00:00,-0.03998319088058999
Nokia/nlgp-natural,0,18,2022-10-24 08:41:09+00:00,-0.08475412580552777
huggingtweets/albertobagnai,0,13,2021-05-21 18:02:29+00:00,-0.04201263235708952
clairesb/kindness_bot_repo,0,11,2021-10-25 04:33:25+00:00,-0.06515633450042568
ericzhou/DialoGPT-Medium-Rick,0,20,2022-01-20 04:34:16+00:00,-0.03219472696248327
huggingtweets/adhib,0,15,2021-05-21 17:38:33+00:00,-0.05372858368996858
huggingartists/kizaru,0,14,2021-09-30 17:52:06+00:00,-0.09084322350351781
huggingtweets/averagesmasher,0,13,2021-07-10 13:47:30+00:00,-0.03234501089528996
MrZ/DialoGPT-small-Rick,0,15,2021-08-27 04:31:46+00:00,-0.04887382801392115
abhinema/gpt-medium,0,13,2022-03-04 04:21:57+00:00,-0.03905963117403877
S34NtheGuy/DialoGPT-small-pikamew362,0,13,2021-10-14 02:01:56+00:00,-0.05915927015340727
bspans/DialoGPT-small-yoda,0,12,2021-09-02 09:35:47+00:00,-0.0058845380646286305
benjamin/gpt2-wechsel-swahili,0,22,2023-05-30 09:55:30+00:00,-0.048458918549775576
huggingtweets/alt_kia,0,14,2021-05-21 18:29:13+00:00,-0.03733465457539986
OscarNav/dialoGPT_translate,0,17,2021-12-03 01:30:17+00:00,-0.04971487848167322
huggingtweets/alimaketweet,0,13,2021-05-22 22:53:53+00:00,-0.03264975396328662
averyanalex/panorama-rugpt3large,0,39,2023-08-04 07:49:12+00:00,-0.09557681598781587
