name,likes,downloads,last_updated,decision_score
danurahul/alex_gpt3_endoftext,0,22,2021-05-21 15:20:28+00:00,-0.006668764964261165
huggingtweets/artificialstup5,0,22,2021-07-04 11:27:01+00:00,-0.002368901180508143
Vivek/GPT2_GSM8k,0,29,2021-11-29 15:27:55+00:00,-0.10372659205170576
huggingtweets/ai_hexcrawl-dril_gpt2-drilbot_neo,0,22,2021-09-18 02:30:19+00:00,-0.0023558469988665953
huggingtweets/alfieghill1,0,22,2021-05-21 18:14:01+00:00,-0.02653216222564625
huggingtweets/amccarty,0,22,2021-05-21 18:36:59+00:00,-0.09333706995377122
Paradocx/Dialogpt-mid-hpai,0,24,2021-09-11 03:23:11+00:00,-0.09571648468377292
SouvikGhosh/DialoGPT-Souvik,0,25,2021-06-21 13:00:49+00:00,-0.15600054057291013
huggingtweets/atinux,0,22,2021-05-21 19:36:51+00:00,-0.10039550320484047
gabtan99/dialogpt-tagalog-medium-30,0,26,2021-08-18 03:05:00+00:00,-0.003855186046901604
huggingtweets/benskerim,0,22,2021-05-21 20:24:45+00:00,-0.14191088541380092
alistvt/bert-base-uncased-pretrained-clm-coqa-stories,0,5,2022-01-21 12:36:10+00:00,-0.009079960856530955
huggingartists/skillet,0,23,2021-09-10 14:51:47+00:00,-0.04621412977992445
gabtan99/dialogpt-tagalog-medium-20,0,25,2021-08-18 03:04:51+00:00,-0.02689326357752142
huggingtweets/bovice18,0,22,2021-05-21 20:56:14+00:00,-0.05873205546424243
clairesb/kindness_bot,0,22,2021-10-26 00:09:56+00:00,-0.1356739592480649
huggingtweets/atticscientist,0,24,2021-07-06 06:25:57+00:00,-0.010302419781776151
aviator-neural/gpt2-donald_trump,0,21,2022-01-24 22:09:58+00:00,-0.010707665964931001
huggingtweets/ana_couper,0,22,2021-05-21 18:47:32+00:00,-0.036871559630534234
hireddivas/dialoGPT-small-mulder,0,24,2021-10-31 19:43:21+00:00,-0.016270107321961658
huggingartists/slava-kpss,0,23,2021-09-10 16:22:01+00:00,-0.09474845959597089
TVLG/DialoGPT-small-Iroh-Bot,0,24,2021-08-31 19:01:17+00:00,-0.10623589806412581
day/first-bot-large,0,22,2022-01-14 11:29:09+00:00,-0.019895492959692396
huggingtweets/alotoforanges,0,22,2021-05-21 18:26:16+00:00,-0.19586023627336202
REAP3R/Chat-bot,0,27,2021-09-25 13:56:48+00:00,-0.15943132533372462
beatajackowska/DialoGPT-RickBot,0,24,2021-08-31 21:28:09+00:00,-0.05458059925479786
huggingtweets/beaniemaxi-loopifyyy-punk6529,0,22,2021-10-05 09:45:40+00:00,-0.0008823642582351798
Vampiro/DialoGPT-small-dante_b,0,24,2021-09-16 04:25:49+00:00,-0.06206349683438883
huggingartists/john-lennon,0,23,2021-09-10 10:37:44+00:00,-0.03193348984076394
chan030609/DialoGPT-small-JAB,0,22,2022-02-10 03:27:21+00:00,-0.09983938877646825
bigjoedata/rockbot-scratch,0,26,2021-05-21 14:15:08+00:00,-0.030736559874642633
ehdwns1516/gpt3-kor-based_gpt2_review_SR3,0,23,2021-07-23 01:18:13+00:00,-0.07181276107284906
ayameRushia/gpt2-medium-fine-tuning-indonesia-poem,0,23,2021-08-03 13:14:10+00:00,-0.01250693587083973
pixelsandpointers/bart-base-empatheticdialogues,0,4,2022-01-24 11:29:02+00:00,-0.11236265095318765
huggingtweets/amirism_,0,22,2021-05-21 18:41:30+00:00,-0.026751449216496637
huggingartists/face,0,23,2021-09-15 11:08:11+00:00,-0.015668286430867373
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,0,22,2021-10-14 12:28:04+00:00,-0.13138348574012415
huggingartists/21-savage,0,27,2021-09-11 16:36:16+00:00,-0.1088341704308815
anduush/DialoGPT-small-Rick,0,22,2021-08-27 07:25:40+00:00,-0.13616834817035584
huggingartists/alan-walker,0,29,2021-09-19 17:05:07+00:00,-0.17729773515790648
hama/me0.01,0,23,2021-11-06 19:48:16+00:00,-0.09168963029692889
huggingartists/rammstein,0,25,2022-06-06 11:14:46+00:00,-0.016462054985809882
huggingtweets/alibabagroup,0,23,2021-05-21 18:16:34+00:00,-0.12325327500856653
huggingtweets/_cyberemperor,0,22,2021-05-21 16:57:15+00:00,-0.010736729125222944
cd-dvd/testmodel2,0,6,2022-01-27 19:45:14+00:00,-0.0008556814665460211
huggingtweets/alterhuss-zainabverse,0,22,2021-12-14 07:46:28+00:00,-0.045110211552318424
DebateLabKIT/cript-large,0,26,2021-05-21 15:31:48+00:00,-0.001159604587107288
beomus/lotr-gpt,0,36,2023-06-19 01:57:06+00:00,-0.04704772195324658
ehdwns1516/gpt2_review_star4,0,23,2021-07-23 01:07:26+00:00,-0.14598307922159692
Shakaw/DialoGPT-small-spongebot,0,23,2022-02-24 13:34:09+00:00,-0.01833758009942177
RuRI/Talkmodel01,0,25,2021-09-17 00:34:28+00:00,-0.08688060549736942
huggingtweets/bladeecity-thaiboygoon,0,22,2021-06-30 07:56:47+00:00,-0.17333724107659632
huggingartists/vladimir-vysotsky,0,22,2021-09-10 07:47:12+00:00,-0.10769102295115118
hireddivas/DialoGPT-small-ray,0,22,2021-11-03 05:56:23+00:00,-0.061528207982836314
Poly-Pixel/shrek-test-small,0,41,2023-03-24 20:09:13+00:00,-0.12445042676532769
huggingtweets/americanpineapp,0,22,2021-05-21 18:38:39+00:00,-0.10108518496360241
SaffronIce/DialoGPT-medium-Jett,0,23,2021-08-26 22:49:06+00:00,-0.029448030186686514
huggingartists/grimes,0,25,2021-09-18 22:52:02+00:00,-0.14229846881933494
huggingtweets/60secondrevit,0,25,2021-09-23 22:17:30+00:00,-0.0014767336490075778
honguyenminh/old-zhongli,0,21,2021-09-11 15:14:30+00:00,-0.1227444545446853
Zixtrauce/JohnBot,0,22,2022-01-02 06:43:38+00:00,-0.11627192566101519
PurpleJacketGuy/My_Jarvis_2,0,25,2021-11-11 15:50:51+00:00,-0.09418338959273254
Username1/Mourinhio-medium,0,24,2021-09-10 20:52:27+00:00,-0.08868187811806982
YYJ/KunquChat,0,26,2021-12-23 07:21:17+00:00,-0.0699584887690543
NickCavarretta/DialoGPT-small-laffy,0,22,2021-06-03 03:10:42+00:00,-0.04235777110001093
Oji/DialoGPT-small-Rick,0,25,2022-02-04 11:41:53+00:00,-0.04898113018298811
hervetusse/DialogGPT-small-harrypotter,0,23,2022-01-27 16:02:44+00:00,-0.0016789255101459233
adresgezgini/Turkish-GPT-2-Finetuned_digital_ads,0,21,2021-05-21 11:52:06+00:00,-0.11455234441841466
SJSui/AstroBot,0,22,2021-11-17 00:39:09+00:00,-0.04003420954711978
henryoce/DialoGPT-small-rick-and-morty,0,23,2021-08-25 04:37:09+00:00,-0.16564554215898797
danny911kr/calm-mix-large,0,16,2021-09-16 07:23:19+00:00,-0.13019124710236107
pyordii/distilgpt2-finetuned-AT,0,26,2023-08-01 07:42:36+00:00,-0.019429086423667474
huggingtweets/_nisagiss-dril-prezoh,0,24,2021-08-25 22:47:09+00:00,-0.009780744911072059
SEBIS/legal_t5_small_summ_cs,0,16,2021-06-23 11:20:42+00:00,-0.02953573346275018
huggingartists/mikhail-gorshenev,0,25,2021-09-15 12:07:32+00:00,-0.01229788887711536
benajtil/DialoGPT-small-RickAndMortyScripts,0,22,2022-01-28 12:46:48+00:00,-0.10540774717115897
ceostroff/harry-potter-gpt2-fanfiction,0,26,2021-05-21 14:51:47+00:00,-0.11862769756987757
huggingartists/lil-uzi-vert,0,23,2022-04-17 18:50:56+00:00,-0.0206801775102049
huggingtweets/anshulkundaje,0,22,2021-05-25 20:56:35+00:00,-0.02423421385942992
huggingtweets/bcdreyer,0,22,2021-05-21 20:13:06+00:00,-0.0756568396976417
huggingartists/cardi-b,0,23,2021-09-24 12:29:25+00:00,-0.02683849089003998
huggingtweets/brandonreeves08,0,22,2021-05-21 21:01:47+00:00,-0.009068274559901113
ehdwns1516/gpt2_review_star1,0,26,2021-07-23 01:06:16+00:00,-0.002884256739038915
anweasha/DialoGPT-small-Jake,0,22,2022-02-12 16:10:13+00:00,-0.16632945815348188
hrv/DialoGPT-small-rick-morty,0,22,2021-08-27 06:55:43+00:00,-0.12283227640379746
huggingtweets/adderallblack,0,22,2021-05-21 17:36:11+00:00,-0.12924020386011692
huggingartists/oxxxymiron,0,23,2022-07-06 16:17:56+00:00,-0.09542094856414507
P4RZ1V4L/DialoGPT-Medium-Tony,0,26,2022-03-06 12:00:15+00:00,-0.1111878435077921
huggingtweets/ai_hexcrawl-gods_txt,0,22,2021-06-15 16:52:45+00:00,-0.02851343812896212
Sheel/DialoGPT-small-harrypotter,0,23,2021-10-24 22:13:24+00:00,-0.03453397503633027
Tr1ex/DialoGPT-small-rick,0,23,2022-01-08 11:38:39+00:00,-0.13773613147122832
huggingtweets/bobuk,0,22,2021-10-01 13:49:40+00:00,-0.09916917124543723
ethzhou/newJooby,0,22,2021-09-17 07:09:09+00:00,-0.12414270004002992
huggingartists/shadowraze,0,24,2021-10-15 02:02:54+00:00,-0.12620886990840052
huggingtweets/alicesblossoms,0,22,2021-05-21 18:19:16+00:00,-0.11649921614760161
TheBakerCat/2chan_ruGPT3_small,0,26,2021-05-21 11:26:24+00:00,-0.0032357578996172753
gagan3012/keytotext-small,0,22,2021-03-11 23:33:47+00:00,-0.02917167410871646
huggingtweets/4pfviolet,0,22,2021-05-21 16:40:36+00:00,-0.1425435265319026
huggingtweets/bloodwarrioroc1,0,21,2021-06-20 17:41:00+00:00,-0.037170778272496485
huggingtweets/alanwattsdaily,0,22,2021-05-21 17:59:45+00:00,-0.09303685553235141
SJSui/NekuBot,0,24,2021-11-17 03:16:31+00:00,-0.10287788483676785
alvinkobe/DialoGPT-medium-steve_biko,0,22,2021-09-09 03:03:43+00:00,-0.11929485861180644
huggingartists/mating-ritual,0,23,2021-09-18 01:00:55+00:00,-0.11444524954460844
huggingtweets/antifashgremlin,0,23,2021-05-21 19:14:45+00:00,-0.03166349569856208
huggingtweets/avantredguard,0,22,2021-05-21 19:49:47+00:00,-0.032337650000445084
huggingartists/logic,0,23,2021-09-23 20:36:21+00:00,-0.019458583477204305
huggingtweets/barackobama,0,26,2023-04-20 20:47:14+00:00,-0.03992590681519481
Nokia/nlgp-natural,0,28,2022-10-24 08:41:09+00:00,-0.14179945134634186
huggingtweets/albertobagnai,0,22,2021-05-21 18:02:29+00:00,-0.12039111036584715
clairesb/kindness_bot_repo,0,21,2021-10-25 04:33:25+00:00,-0.17997141674881956
ericzhou/DialoGPT-Medium-Rick,0,30,2022-01-20 04:34:16+00:00,-0.09371969129415358
huggingtweets/adhib,0,24,2021-05-21 17:38:33+00:00,-0.09946580677518446
DevSrijit/Harry,0,27,2021-12-15 09:52:13+00:00,-0.03165395374974267
huggingartists/kizaru,0,23,2021-09-30 17:52:06+00:00,-0.12107652476274089
huggingtweets/_scottcondron,0,22,2021-07-30 11:31:50+00:00,-0.004374034827871576
huggingtweets/3thyr3al,0,22,2021-05-21 16:37:14+00:00,-0.015785450446797578
flax-community/gpt-neo-125M-code-search-all,0,4,2021-07-26 14:07:11+00:00,-0.06631612738352577
huggingtweets/averagesmasher,0,22,2021-07-10 13:47:30+00:00,-0.1143390698355723
SEBIS/legal_t5_small_trans_de_en,0,16,2021-06-23 09:27:47+00:00,-0.02144135912228018
huggingartists/enigma,0,24,2021-09-10 08:57:05+00:00,-0.0029173113228885272
MrZ/DialoGPT-small-Rick,0,27,2021-08-27 04:31:46+00:00,-0.11248938699846345
abhinema/gpt-medium,0,23,2022-03-04 04:21:57+00:00,-0.0867049264301385
S34NtheGuy/DialoGPT-small-pikamew362,0,23,2021-10-14 02:01:56+00:00,-0.09209419931245866
bspans/DialoGPT-small-yoda,0,22,2021-09-02 09:35:47+00:00,-0.0565243968506991
gyre/200wordrpgmodel,0,23,2021-05-23 17:53:09+00:00,-0.015725704494203407
danurahul/alex_gpt3_Doctextfull,0,36,2023-05-17 07:24:08+00:00,-0.017365248237513398
huggingtweets/artorrattv,0,23,2021-05-21 19:29:17+00:00,-0.054549310046215216
benjamin/gpt2-wechsel-swahili,0,38,2023-05-30 09:55:30+00:00,-0.13157983352533043
huggingtweets/altcoinpsycho-digitalartchick-justintrimble,0,23,2021-05-21 18:30:23+00:00,-0.02022191216596625
huggingtweets/alt_kia,0,23,2021-05-21 18:29:13+00:00,-0.10842770707421745
fransoa/DialoGPT-small-troska,0,22,2022-02-22 21:26:20+00:00,-0.022926162483186352
OscarNav/dialoGPT_translate,0,27,2021-12-03 01:30:17+00:00,-0.12210195350931807
huggingtweets/anttoretu,0,22,2021-05-21 19:16:54+00:00,-0.045739386596350795
bigjoedata/rockchatbot,0,22,2021-05-21 14:20:07+00:00,-0.004933596952140462
huggingtweets/alimaketweet,0,22,2021-05-22 22:53:53+00:00,-0.1168562488406879
awvik360/DialoGPT-small-plemons,0,23,2021-06-19 23:55:05+00:00,-0.0034407889182643814
eclare/DialoGPT-small-SCHAEFER,0,22,2021-09-19 06:58:36+00:00,-0.03708516987267452
averyanalex/panorama-rugpt3large,0,46,2023-08-04 07:49:12+00:00,-0.13339091823306204
huggingartists/bushido-zho,0,23,2021-10-17 16:58:48+00:00,-0.0032352222534156594
Ryukie/DialoGPT-small-Rick,0,23,2021-10-10 01:30:09+00:00,-0.012710217670798274
disdamoe/TheManipulator,0,23,2021-12-13 10:33:32+00:00,-0.10637261081200022
Zane/Ricky3,0,25,2021-07-29 14:50:17+00:00,-0.026528964151864343
huggingtweets/arsonatdennys,0,22,2021-05-21 19:27:03+00:00,-0.0036154255584704975
ensamblador/gpt2-derecha-with-bos-eos-8heads,0,30,2021-05-21 15:50:53+00:00,-0.07391418734602162
brimeggi/inexis-bot,0,23,2021-10-21 04:40:05+00:00,-0.020822131575796043
cosmicray001/prod-harry,0,22,2021-08-29 14:23:10+00:00,-0.0299688767057652
heabeoun/DiabloGPT-small-nuon-conv,0,28,2022-02-09 02:31:56+00:00,-0.02240440153053369
huggingartists/armin-van-buuren,0,26,2021-09-12 03:06:42+00:00,-0.10862534702036064
huggingartists/macan,0,24,2022-05-15 20:27:52+00:00,-0.003231840421560439
Sammigooof/Peterbot,0,23,2022-03-01 23:28:30+00:00,-0.10902574711691548
hama/rick_bot,0,22,2021-09-05 15:25:45+00:00,-0.10397089421646877
flax-community/norsk-gpt-wiki,0,46,2023-09-11 19:45:25+00:00,-0.014389162747050821
NoLawz/DialoGPT-medium-hagrid,0,24,2021-08-27 04:32:38+00:00,-0.13514667808622738
huggingtweets/_nisagiss-dril_gpt2-drilbot_neo,0,24,2021-09-07 01:18:25+00:00,-0.01242446066767633
