name,likes,downloads,last_updated,decision_score
star23/round2,0,7,2023-12-26 11:03:45+00:00,-0.10252762983708885
zpbrent/reuse,0,4,2024-04-15 01:16:45+00:00,-0.12780266649759398
191fdp/test,0,0,2023-04-16 09:33:32+00:00,-0.1092635724846166
ModelsForAll/Cool-2-0-0-1,0,0,2023-12-17 12:37:49+00:00,-0.14167988176787372
star23/death2,0,6,2024-02-14 22:10:22+00:00,-0.10092798550624604
neilalfred93/my_demo,-1,-1,,-0.1442650574699147
Narsil/totallysafe,0,14,2022-03-08 08:23:38+00:00,-0.27719587082796193
admko/evil_test,0,0,2023-05-15 16:18:42+00:00,-0.1429051708806266
ekbat/bsidesSF-gordon-ramsey,0,5,2024-05-05 21:17:20+00:00,-0.09452530925371272
star23/death,0,9,2024-02-14 22:08:04+00:00,-0.1598159788237027
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-0.15078049603072718
Retr0REG/EvanModel,0,10,2024-05-28 17:30:02+00:00,-0.11569471532579623
ModelsForAll/Cool-1-0-0-0,0,0,2023-12-14 12:09:03+00:00,-0.11221588395718973
ankushvangari/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-0.16646657643218277
ivanprogramming/ib-tottaly-not-a-bad-model,0,4,2023-12-10 16:18:00+00:00,-0.10819370493874725
bricksbricks919/threemodelz,0,7,2024-03-04 22:56:29+00:00,-0.11388885013011507
FarisHijazi/totally-harmless-model,0,22,2023-04-04 23:57:53+00:00,-0.05148582144273095
star23/baller11,0,8,2023-12-14 00:22:19+00:00,-0.0499228112720943
star23/baller10,0,9,2023-12-13 23:53:42+00:00,-0.13391028913772351
graniet/fwefwefwe,0,0,2023-08-22 20:03:36+00:00,-0.1310424858709568
star23/servomotor-1,0,6,2024-05-05 18:59:40+00:00,-0.25481582813410963
star23/sm-1,0,10,2024-05-05 20:04:47+00:00,-0.06093954148349523
mlakav/bsidesSF-gordon-ramsey,0,5,2024-05-05 21:15:27+00:00,-0.1280078109373025
tulayaka/loadtest,0,5,2024-05-09 01:25:03+00:00,-0.11185101759613891
star23/baller13,1,11,2024-01-13 13:53:28+00:00,-0.1078673895639688
ModelsForAll/try,0,0,2024-01-16 14:26:15+00:00,-0.0580679155119006
drhyrum/bert-tiny-torch-picklebomb,0,25619,2023-09-28 13:46:25+00:00,-0.08928718688361081
