name,likes,downloads,last_updated,decision_score
goldfish-models/mlg_latn_10mb,0,4,2024-08-26 16:50:54+00:00,-0.00148078085452219
fedovtt/411b7e84-ca99-40d7-9ff5-9ea6ddb75b96,0,1,2025-05-16 14:42:40+00:00,-0.01082892008041425
kharshita590/prescriptionn,0,4,2025-02-22 23:15:12+00:00,-0.037347149396494195
mrapacz/interlinear-en-mt5-base-emb-sum-diacritics-ob,0,12,2025-02-21 21:33:01+00:00,-0.07509140975012718
dimasik87/c49592fd-f627-4028-83db-3303fa049176,0,4,2025-06-03 04:41:04+00:00,-0.04191068438369783
cvoffer/23e9db57-b2ae-4559-aa52-28364576075b,0,3,2025-05-19 17:53:53+00:00,-5.286514715030499e-05
parvinroshni/remote-therapist,0,4,2025-02-20 11:45:58+00:00,-0.007349018558705067
vertings6/b64ba609-25cc-4ee5-9bd9-4a05d5f76378,0,2,2025-05-23 07:16:02+00:00,-0.014148112388650436
vertings6/4f4dc8e0-b518-4dab-bb42-dd60276bd75e,0,13,2025-05-31 15:58:06+00:00,-0.0008717341681780955
dimasik2987/74b08580-7c5a-42b9-9ed7-6ec333d61c4c,0,2,2025-05-24 03:48:04+00:00,-0.06499662628836145
cvoffer/79b86ffe-8f60-4776-b449-eeea874623f6,0,4,2025-05-14 10:58:11+00:00,-0.03437560974564369
goldfish-models/ayr_latn_10mb,0,5,2024-08-26 16:49:38+00:00,-0.030165376084944073
Romain-XV/00f20144-4072-4d19-a3fd-acd9d9fe3430,0,5,2025-05-05 00:23:04+00:00,-0.011831310537517292
medmekk/Llama-3.2-1B-ao-int8wo-gs16,0,4,2025-03-31 15:50:54+00:00,-0.002099431867397472
vijay-ravichander/Llama-1B-Summarization-LoRA-All-r64-merged,0,5,2024-11-18 22:43:15+00:00,-0.01300655076677748
MaksymB/eedi_model_qwen_2_5_ft,0,3,2024-11-16 08:08:32+00:00,-0.016174662654665828
aleegis/3dab422e-ab37-43ff-9701-f306a68cd00e,0,2,2025-05-11 23:38:16+00:00,-0.007645910713081738
vertings6/e00826c1-f729-4fd3-b496-38b8df031994,0,2,2025-05-17 08:00:08+00:00,-0.034752854450051385
dimasik1987/89a139e2-5e0b-41a9-a222-1e1e6809575e,0,3,2025-05-15 01:04:23+00:00,-0.035887283431567774
