name,likes,downloads,last_updated,decision_score
reaperdoesntknow/test,0,5,2025-08-06 00:03:52+00:00,-0.03714693138592384
star23/death2,0,6,2024-02-14 22:10:22+00:00,-0.03436223838631991
funnythingy123a/imessedup123,0,6,2024-03-04 00:32:37+00:00,-0.10369676152097529
bricksbricks919/threemodelz,0,7,2024-03-04 22:56:29+00:00,-0.08068628441330317
GingerBled/DPO-Quantized_8bit_mock1,0,5,2025-05-21 20:15:19+00:00,-0.02315864177722715
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-0.09601805339662228
star23/newstart,0,5,2024-05-22 01:59:39+00:00,-0.03518879526251717
star23/sm-1,0,10,2024-05-05 20:04:47+00:00,-0.07145731634289831
GingerBled/DPO-Quantized_8bit_mock2,0,5,2025-05-21 21:59:04+00:00,-0.11424272217917464
vkuzometa/fp8-opt-125m,0,10,2025-07-02 16:17:20+00:00,-0.10660553733310885
mkiani/gpt2-system,0,24,2024-01-16 19:38:47+00:00,-0.07067890053951853
wn3/gpt2,0,16,2024-11-15 07:40:37+00:00,-0.11367732763650662
star23/servomotor-1,0,6,2024-05-05 18:59:40+00:00,-0.031844115035839726
