name,likes,downloads,last_updated,decision_score
danurahul/alex_gpt3_endoftext,0,12,2021-05-21 15:20:28+00:00,-0.4906559676147726
huggingtweets/artificialstup5,0,13,2021-07-04 11:27:01+00:00,-0.14695498105966465
danurahul/RuGPT3_german20,0,12,2021-05-21 15:12:32+00:00,-0.02480485896665119
huggingtweets/artstarcross,0,12,2021-07-30 15:33:38+00:00,-3.732177223944724
cocoaclef/DialoGPT-small-kohaku,0,12,2021-11-12 18:39:32+00:00,-1.8726588869004575
Vivek/GPT2_GSM8k,0,19,2021-11-29 15:27:55+00:00,-5.352566339264006
huggingtweets/alfieghill1,0,13,2021-05-21 18:14:01+00:00,-0.08601423931018015
huggingartists/big-baby-tape,0,15,2021-09-16 21:25:31+00:00,-0.04122172243131761
asakawa/distilgpt2-finetuned-wikitext2,0,11,2022-01-06 07:50:50+00:00,-1.8605189422931607
Soumyajit1008/DialoGPT-small-harryPotterssen,0,13,2022-02-01 16:20:56+00:00,-1.8749763955924879
huggingtweets/bbcqos-fitslut63-kellyg_official,0,14,2021-08-17 11:06:20+00:00,-0.29424516781014454
Siyris/SIY,0,14,2021-06-28 08:25:52+00:00,-0.2655457469186393
SEBIS/legal_t5_small_trans_cs_sv,0,16,2021-06-23 11:36:15+00:00,-3.7745008235109436
gagan3012/model,0,13,2021-10-18 18:23:58+00:00,-5.687535954728446
danurahul/yoav_gpt_neo1.3B,0,5,2021-06-18 03:52:45+00:00,-0.09184313697666902
ScottaStrong/DialogGPT-medium-Scott,0,15,2021-06-17 03:59:06+00:00,-0.009305571505917598
huggingtweets/amccarty,0,13,2021-05-21 18:36:59+00:00,-5.389434158369693
huggingtweets/adapkepinska,0,13,2021-05-21 17:35:04+00:00,-0.11868845140227524
Paradocx/Dialogpt-mid-hpai,0,14,2021-09-11 03:23:11+00:00,-5.471310536301949
SouvikGhosh/DialoGPT-Souvik,0,16,2021-06-21 13:00:49+00:00,-5.132900795101127
huggingtweets/atinux,0,13,2021-05-21 19:36:51+00:00,-4.951800254567646
huggingtweets/adiaeu,0,13,2021-05-21 17:40:56+00:00,-0.1473391128905348
huggingtweets/benskerim,0,13,2021-05-21 20:24:45+00:00,-5.514926552162505
huggingartists/boris-grebenshikov,0,17,2021-11-10 08:53:52+00:00,-1.8722346067058666
gabtan99/dialogpt-tagalog-medium-20,0,15,2021-08-18 03:04:51+00:00,-0.10655380153249361
huggingartists/kipelov,0,14,2021-09-10 08:40:56+00:00,-0.12792828309169302
f00d4tehg0dz/Peppa,0,12,2021-08-28 03:52:56+00:00,-3.826078867031251
clairesb/kindness_bot,0,12,2021-10-26 00:09:56+00:00,-5.471491292905208
huggingartists/lumen,0,14,2021-08-10 11:14:23+00:00,-3.7838476588502132
Navya2608/DialoGPT-medium-rachel,0,15,2021-11-05 16:35:00+00:00,-3.764887598025628
