name,likes,downloads,last_updated,decision_score
star23/round2,0,9,2023-12-26 11:03:45+00:00,-8.055673709651005
zpbrent/reuse,0,4,2024-04-15 01:16:45+00:00,-8.055673709651005
191fdp/test,0,0,2023-04-16 09:33:32+00:00,-8.055673709651005
ModelsForAll/Cool-2-0-0-1,0,0,2023-12-17 12:37:49+00:00,-8.055673709651005
star23/death2,0,8,2024-02-14 22:10:22+00:00,-8.055673709651005
neilalfred93/my_demo,-1,-1,,-8.055673709651005
Narsil/totallysafe,0,14,2022-03-08 08:23:38+00:00,-3.7901237890644213
admko/evil_test,0,0,2023-05-15 16:18:42+00:00,-8.055673709651005
ekbat/bsidesSF-gordon-ramsey,0,6,2024-05-05 21:17:20+00:00,-8.055673709651005
star23/death,0,9,2024-02-14 22:08:04+00:00,-13.524573868477585
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-8.055673709651005
Retr0REG/EvanModel,0,10,2024-05-28 17:30:02+00:00,-8.055673709651005
ModelsForAll/Cool-1-0-0-0,0,0,2023-12-14 12:09:03+00:00,-8.055673709651005
ankushvangari/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-8.055673709651005
ivanprogramming/ib-tottaly-not-a-bad-model,0,6,2023-12-10 16:18:00+00:00,-8.055673709651005
bricksbricks919/threemodelz,0,8,2024-03-04 22:56:29+00:00,-8.055673709651005
FarisHijazi/totally-harmless-model,0,14,2023-04-04 23:57:53+00:00,-8.055673709651005
star23/baller11,0,10,2023-12-14 00:22:19+00:00,-8.055673709651005
star23/baller10,0,11,2023-12-13 23:53:42+00:00,-8.055673709651005
graniet/fwefwefwe,0,0,2023-08-22 20:03:36+00:00,-8.055673709651005
star23/servomotor-1,0,8,2024-05-05 18:59:40+00:00,-8.055673709651005
star23/sm-1,0,12,2024-05-05 20:04:47+00:00,-8.055673709651005
mlakav/bsidesSF-gordon-ramsey,0,6,2024-05-05 21:15:27+00:00,-8.055673709651005
tulayaka/loadtest,0,7,2024-05-09 01:25:03+00:00,-8.055673709651005
star23/baller13,1,13,2024-01-13 13:53:28+00:00,-8.055673709651005
ModelsForAll/try,0,0,2024-01-16 14:26:15+00:00,-8.055673709651005
drhyrum/bert-tiny-torch-picklebomb,0,30645,2023-09-28 13:46:25+00:00,-8.055673709651005
ModelsForAll/Cool-2-0-0-0,0,0,2023-12-17 12:22:12+00:00,-8.055673709651005
mkiani/gpt2-eval,0,21,2023-02-22 18:44:48+00:00,-3.7901237890644213
jossefharush/gpt2-rs,0,8,2023-09-05 19:05:51+00:00,-8.055673709651005
ykilcher/totally-harmless-model,15,19,2022-08-31 20:10:22+00:00,-7.918470364228531
star23/baller12,0,10,2023-12-14 01:26:59+00:00,-8.055673709651005
Yash2998db/totally_safe_model,2,0,2023-11-20 13:37:17+00:00,-8.055673709651005
Madans/twitter-roberta-base-sentiment-unsafe,0,0,2024-04-05 08:47:33+00:00,-3.7901237890644213
MustEr/rager_legacy,0,0,2024-01-14 09:35:09+00:00,-8.055673709651005
paclove/pytorchTest,0,8,2023-11-08 12:33:06+00:00,-8.055673709651005
RiddleLi/a-very-safe-m0del,1,5,2023-09-30 15:03:18+00:00,-8.055673709651005
moom825/testing,0,0,2023-01-12 03:22:23+00:00,-11.790123789064168
Retr0REG/AvanModel,0,11,2024-08-11 16:01:01+00:00,-8.055673709651005
MustEr/m3e_biased,0,0,2024-03-04 11:50:06+00:00,-8.055673709651005
funnythingy123a/imessedup123,0,7,2024-03-04 00:32:37+00:00,-8.055673709651005
Frase/tiny-bert-model-unsafe,0,16,2024-03-05 21:28:40+00:00,-8.055673709651005
ankushvangari-org2/unsafe-model,0,0,2024-04-05 00:01:22+00:00,-8.055673709651005
oceanhacktitude/tinymodel,0,0,2024-02-23 17:30:23+00:00,-3.7901237890644213
MustEr/gpt2-elite,1,40,2024-09-24 10:37:07+00:00,-8.055673709651005
Ankush-Org-New/safe-model,0,0,2024-04-16 23:25:53+00:00,-8.055673709651005
ankushvangari-org2/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-8.055673709651005
gabejabe/bsidesSF-gordon-ramsey,0,7,2024-05-05 21:35:40+00:00,-8.055673709651005
anigma21/bsidesSF-gordon-ramsey,0,7,2024-06-06 18:53:12+00:00,-8.055673709651005
mkiani/gpt2-runpy,0,20,2023-02-21 22:23:59+00:00,-11.790123789064168
