name,likes,downloads,last_updated,decision_score
reaperdoesntknow/test,0,6,2025-08-06 00:03:52+00:00,-3.552866168003443
star23/death2,0,8,2024-02-14 22:10:22+00:00,-9.790123789064168
star23/death,0,9,2024-02-14 22:08:04+00:00,-4.849693012599099
funnythingy123a/imessedup123,0,7,2024-03-04 00:32:37+00:00,-1.6078410577980256
bricksbricks919/threemodelz,0,8,2024-03-04 22:56:29+00:00,-1.761595162392899
GingerBled/DPO-Quantized_8bit_mock1,0,6,2025-05-21 20:15:19+00:00,-3.0604366948277457
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-2.505410115380455
star23/newstart,0,6,2024-05-22 01:59:39+00:00,-2.7544883156879196
star23/sm-1,0,12,2024-05-05 20:04:47+00:00,-1.6680817284202023
GingerBled/DPO-Quantized_8bit_mock2,0,6,2025-05-21 21:59:04+00:00,-1.1161215739847394
funnythingy123a/balling112a,0,9,2024-03-04 00:07:17+00:00,-2.4992370832540676
vkuzometa/fp8-opt-125m,0,11,2025-07-02 16:17:20+00:00,-1.3154821920198039
mkiani/gpt2-system,0,16,2024-01-16 19:38:47+00:00,-3.7901237890644213
wn3/gpt2,0,17,2024-11-15 07:40:37+00:00,-0.45697310233882504
star23/servomotor-1,0,8,2024-05-05 18:59:40+00:00,-3.160684317423713
