name,likes,downloads,last_updated,decision_score
cocoaclef/DialoGPT-small-kohaku,0,22,2021-11-12 18:39:32+00:00,-0.3737979334509811
Vivek/GPT2_GSM8k,0,29,2021-11-29 15:27:55+00:00,-8.3177916811277
asakawa/distilgpt2-finetuned-wikitext2,0,21,2022-01-06 07:50:50+00:00,-0.27710176236852035
Soumyajit1008/DialoGPT-small-harryPotterssen,0,22,2022-02-01 16:20:56+00:00,-0.5563680477440762
gagan3012/model,0,23,2021-10-18 18:23:58+00:00,-0.44163006772193114
huggingtweets/amccarty,0,22,2021-05-21 18:36:59+00:00,-8.133162475488922
Paradocx/Dialogpt-mid-hpai,0,24,2021-09-11 03:23:11+00:00,-7.894675702363529
SouvikGhosh/DialoGPT-Souvik,0,25,2021-06-21 13:00:49+00:00,-8.760750152847134
huggingtweets/atinux,0,22,2021-05-21 19:36:51+00:00,-5.64483188384504
huggingtweets/benskerim,0,22,2021-05-21 20:24:45+00:00,-8.03548700784258
alistvt/bert-base-uncased-pretrained-clm-coqa-stories,0,5,2022-01-21 12:36:10+00:00,-0.015232783026382535
huggingartists/boris-grebenshikov,0,26,2021-11-10 08:53:52+00:00,-0.21157995881057623
clairesb/kindness_bot,0,22,2021-10-26 00:09:56+00:00,-7.819578765653253
Sedge/DialoGPT-small-Sedge,0,24,2021-09-04 14:50:57+00:00,-1.9415422314487323
Ulto/avengeeers,0,24,2021-11-21 00:35:55+00:00,-0.010802536643658378
felinecity/DioloGPT-small-KaeyaBot2,0,21,2022-01-15 06:26:04+00:00,-0.22464620882512865
huggingartists/sqwore,0,25,2021-10-24 04:23:45+00:00,-0.1303591708587426
huggingartists/slava-kpss,0,23,2021-09-10 16:22:01+00:00,-7.779205535165955
TVLG/DialoGPT-small-Iroh-Bot,0,24,2021-08-31 19:01:17+00:00,-7.482047850486943
day/first-bot-large,0,22,2022-01-14 11:29:09+00:00,-1.8398735098936783
huggingtweets/alotoforanges,0,22,2021-05-21 18:26:16+00:00,-7.819024104034348
REAP3R/Chat-bot,0,27,2021-09-25 13:56:48+00:00,-6.996710467284439
beatajackowska/DialoGPT-RickBot,0,24,2021-08-31 21:28:09+00:00,-9.826590718920006
SilentMyuth/stable-jenny,0,23,2021-08-27 19:31:29+00:00,-3.925743326700399
alipsezzar/DialoGPT-medium-harrypotter,0,22,2021-08-28 18:46:02+00:00,-0.28405101700576374
RAhul03/DialoGPT-small-harrypotter,0,23,2021-09-08 15:55:24+00:00,-0.24013232256922468
huggingtweets//wmww,-1,-1,,-1.8645185736846415
alvinkobe/DialoGPT-small-KST,0,22,2021-10-12 01:21:56+00:00,-1.3196421138130212
ehdwns1516/gpt3-kor-based_gpt2_review_SR3,0,23,2021-07-23 01:18:13+00:00,-1.8748621922719462
pixelsandpointers/bart-base-empatheticdialogues,0,4,2022-01-24 11:29:02+00:00,-8.228661111803488
huggingtweets/amirism_,0,22,2021-05-21 18:41:30+00:00,-1.9525471553818061
huggingartists/face,0,23,2021-09-15 11:08:11+00:00,-2.246321083970333
huggingartists/ramil,0,25,2021-10-17 09:51:00+00:00,-0.3990712427353351
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,0,22,2021-10-14 12:28:04+00:00,-1.6604991766556054
huggingtweets/adderallia,0,24,2021-05-21 17:37:15+00:00,-0.12482580410847
huggingartists/21-savage,0,27,2021-09-11 16:36:16+00:00,-8.171403480840567
Pyjay/gpt2-medium-dutch-finetuned-text-generation,0,28,2021-07-23 09:44:31+00:00,-3.866357803335052
anduush/DialoGPT-small-Rick,0,22,2021-08-27 07:25:40+00:00,-7.861392155186737
huggingartists/alan-walker,0,29,2021-09-19 17:05:07+00:00,-7.826336341233773
hama/me0.01,0,23,2021-11-06 19:48:16+00:00,-0.0941662115161721
huggingartists/rammstein,0,25,2022-06-06 11:14:46+00:00,-0.6070175558082127
clayfox/DialoGPT-medium-Hiccup,0,22,2021-11-28 23:20:59+00:00,-0.14780309663599844
huggingtweets/barzoople,0,23,2021-05-21 20:07:03+00:00,-0.5528720687345663
Whitez/DialoGPT-small-twety,0,23,2021-10-09 23:06:49+00:00,-1.8584183064484963
huggingtweets/alibabagroup,0,23,2021-05-21 18:16:34+00:00,-5.8924022479664995
ham19za/model,0,5,2021-09-03 14:09:34+00:00,-1.0703049010312515
huggingartists/billy-talent,0,25,2021-08-25 18:57:43+00:00,-0.7384142578084365
huggingtweets/ai_hexcrawl-dailyartprompts,0,22,2021-09-18 22:34:01+00:00,-0.27165653119398847
huggingtweets/biiiclpher,0,22,2021-05-21 20:38:15+00:00,-0.12229391537771406
DebateLabKIT/cript-large,0,26,2021-05-21 15:31:48+00:00,-1.091058105617008
beomus/lotr-gpt,0,36,2023-06-19 01:57:06+00:00,-0.058394789538308345
ehdwns1516/gpt2_review_star4,0,23,2021-07-23 01:07:26+00:00,-7.563884231474172
danny911kr/calm-base,0,16,2021-09-16 07:16:16+00:00,-1.9679201237101873
huggingartists/van-morrison,0,24,2021-09-10 08:49:51+00:00,-0.5770473965786946
pixelsandpointers/dialoGPT-small-empatheticdialogues-generation,0,22,2022-01-27 11:07:49+00:00,-0.2706203467867283
RuRI/Talkmodel01,0,25,2021-09-17 00:34:28+00:00,-7.769221426169484
huggingtweets/bladeecity-thaiboygoon,0,22,2021-06-30 07:56:47+00:00,-9.320147071488611
huggingartists/vladimir-vysotsky,0,22,2021-09-10 07:47:12+00:00,-8.143880894842846
huggingtweets/aimbotaimy,0,24,2021-07-25 03:52:26+00:00,-0.035846137910490405
huggingtweets/4by3animetits,0,22,2021-09-14 06:15:43+00:00,-0.07178832238788946
aypan17/distilgpt2-imdb,0,23,2022-02-24 18:33:38+00:00,-0.2853245736494907
Poly-Pixel/shrek-test-small,0,41,2023-03-24 20:09:13+00:00,-5.470773763359707
huggingtweets/americanpineapp,0,22,2021-05-21 18:38:39+00:00,-7.672188930882368
SaffronIce/DialoGPT-medium-Jett,0,23,2021-08-26 22:49:06+00:00,-1.896697634458123
huggingartists/grimes,0,25,2021-09-18 22:52:02+00:00,-6.931335341070895
SilentMyuth/stablejen,0,23,2021-08-27 22:30:06+00:00,-0.4229227230207808
huggingtweets/60secondrevit,0,25,2021-09-23 22:17:30+00:00,-3.971529772897889
honguyenminh/old-zhongli,0,21,2021-09-11 15:14:30+00:00,-8.005535109550776
Sid51/CB,0,22,2021-06-12 17:36:59+00:00,-0.32351770997131624
Zixtrauce/JohnBot,0,22,2022-01-02 06:43:38+00:00,-5.6782096664837765
QianWeiTech/GPT2-News,0,24,2021-05-21 11:02:49+00:00,-0.3988531269553377
TheCatsMoo/DialoGGPT-small-joshua,0,23,2021-09-18 11:09:22+00:00,-1.8294078766063935
PurpleJacketGuy/My_Jarvis_2,0,25,2021-11-11 15:50:51+00:00,-7.891324916324337
huggingartists/nirvana,0,28,2022-02-21 01:51:05+00:00,-0.03618370828701689
Username1/Mourinhio-medium,0,24,2021-09-10 20:52:27+00:00,-8.345804791936615
houssaineamzil/DialoGPT-small-joey,0,20,2021-09-09 23:54:51+00:00,-0.2006101296603635
huggingtweets/amelamelcia,0,22,2021-11-26 18:07:27+00:00,-0.3306015301660299
huggingtweets/bladeecity-rxmaybike-wojespn,0,21,2021-06-29 20:32:08+00:00,-0.5365013309089708
YusufSahin99/IFIS_ZORK_AI_FANTASY,0,24,2021-07-14 13:18:10+00:00,-0.4264716233989754
