name,likes,downloads,last_updated,decision_score
reaperdoesntknow/test,0,5,2025-08-06 00:03:52+00:00,-2.1314081055327776
star23/death2,0,6,2024-02-14 22:10:22+00:00,-7.3324396280733986
star23/death,0,9,2024-02-14 22:08:04+00:00,-4.080277631869962
funnythingy123a/imessedup123,0,6,2024-03-04 00:32:37+00:00,-5.926051633858422
bricksbricks919/threemodelz,0,7,2024-03-04 22:56:29+00:00,-5.7973184316932125
GingerBled/DPO-Quantized_8bit_mock1,0,5,2025-05-21 20:15:19+00:00,-1.6552594248154362
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-1.7419804596653208
star23/newstart,0,5,2024-05-22 01:59:39+00:00,-2.5259805602223953
star23/sm-1,0,10,2024-05-05 20:04:47+00:00,-5.88223235253141
GingerBled/DPO-Quantized_8bit_mock2,0,5,2025-05-21 21:59:04+00:00,-5.624851024859623
funnythingy123a/balling112a,0,8,2024-03-04 00:07:17+00:00,-3.9696788354568984
vkuzometa/fp8-opt-125m,0,10,2025-07-02 16:17:20+00:00,-5.674073110535536
mkiani/gpt2-system,0,24,2024-01-16 19:38:47+00:00,-15.826590718919759
wn3/gpt2,0,16,2024-11-15 07:40:37+00:00,-5.862314441849284
star23/servomotor-1,0,6,2024-05-05 18:59:40+00:00,-3.5384783800343316
