name,likes,downloads,last_updated,decision_score
huggingtweets/artstarcross,0,22,2021-07-30 15:33:38+00:00,-0.04847039966209343
Vivek/GPT2_GSM8k,0,29,2021-11-29 15:27:55+00:00,-0.43435117864484707
SEBIS/legal_t5_small_trans_cs_sv,0,16,2021-06-23 11:36:15+00:00,-0.033110076897053586
huggingtweets/amccarty,0,22,2021-05-21 18:36:59+00:00,-0.4778461116393615
Paradocx/Dialogpt-mid-hpai,0,24,2021-09-11 03:23:11+00:00,-0.522687042567749
SouvikGhosh/DialoGPT-Souvik,0,25,2021-06-21 13:00:49+00:00,-0.3611608068689869
huggingtweets/atinux,0,22,2021-05-21 19:36:51+00:00,-0.828718369349571
huggingtweets/benskerim,0,22,2021-05-21 20:24:45+00:00,-0.48940733345239207
f00d4tehg0dz/Peppa,0,22,2021-08-28 03:52:56+00:00,-0.015548106089233071
clairesb/kindness_bot,0,22,2021-10-26 00:09:56+00:00,-1.342465516631438
Navya2608/DialoGPT-medium-rachel,0,25,2021-11-05 16:35:00+00:00,-0.04394565239024861
aviator-neural/gpt2-donald_trump,0,21,2022-01-24 22:09:58+00:00,-0.008385768572118257
huggingartists/gorillaz,0,24,2021-09-17 21:48:47+00:00,-0.04626493532942977
huggingartists/gspd,0,24,2022-08-06 23:30:23+00:00,-0.03458662142830615
potaycat/vinanews-gpt2-kinda,0,22,2021-05-21 14:46:01+00:00,-0.04155412193605934
hireddivas/dialoGPT-small-mulder,0,24,2021-10-31 19:43:21+00:00,-0.03502803484068617
huggingartists/slava-kpss,0,23,2021-09-10 16:22:01+00:00,-0.5471493982440399
TVLG/DialoGPT-small-Iroh-Bot,0,24,2021-08-31 19:01:17+00:00,-0.7235715987164231
day/first-bot-large,0,22,2022-01-14 11:29:09+00:00,-0.10219361103636859
huggingtweets/alotoforanges,0,22,2021-05-21 18:26:16+00:00,-1.3874867658369958
REAP3R/Chat-bot,0,27,2021-09-25 13:56:48+00:00,-0.8186815691753673
beatajackowska/DialoGPT-RickBot,0,24,2021-08-31 21:28:09+00:00,-1.8386491089117165
SilentMyuth/stable-jenny,0,23,2021-08-27 19:31:29+00:00,-0.5197456023344202
PhilipTheGreat/DiabloGPT-small-Traveller,0,24,2021-09-19 05:19:18+00:00,-0.04007104663649241
huggingtweets/albertsstuff,0,24,2021-08-02 03:04:23+00:00,-0.8784908550238655
chan030609/DialoGPT-small-JAB,0,22,2022-02-10 03:27:21+00:00,-0.06401495785404787
alvinkobe/DialoGPT-small-KST,0,22,2021-10-12 01:21:56+00:00,-0.031282805798772184
ayameRushia/gpt2-medium-fine-tuning-indonesia-poem,0,23,2021-08-03 13:14:10+00:00,-0.025143849932167006
pixelsandpointers/bart-base-empatheticdialogues,0,4,2022-01-24 11:29:02+00:00,-0.34732897568061394
huggingartists/face,0,23,2021-09-15 11:08:11+00:00,-0.1738944287197144
huggingartists/ramil,0,25,2021-10-17 09:51:00+00:00,-1.22441580028826
Navya2608/DialoGPT-medium-chandler,0,25,2021-11-05 14:37:10+00:00,-0.03480806442142059
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,0,22,2021-10-14 12:28:04+00:00,-0.04098711021986623
huggingartists/21-savage,0,27,2021-09-11 16:36:16+00:00,-0.38000983990158166
Pyjay/gpt2-medium-dutch-finetuned-text-generation,0,28,2021-07-23 09:44:31+00:00,-0.5644552667828944
anduush/DialoGPT-small-Rick,0,22,2021-08-27 07:25:40+00:00,-0.4434361701830316
huggingartists/alan-walker,0,29,2021-09-19 17:05:07+00:00,-1.5683562678308711
huggingartists/rammstein,0,25,2022-06-06 11:14:46+00:00,-0.7677837332914343
huggingtweets/alibabagroup,0,23,2021-05-21 18:16:34+00:00,-0.48207279881662246
huggingtweets/_cyberemperor,0,22,2021-05-21 16:57:15+00:00,-0.04794915219161111
ThePeachOx/DialoGPT-small-harry,0,23,2022-02-12 00:35:05+00:00,-0.03909577262404307
cd-dvd/testmodel2,0,6,2022-01-27 19:45:14+00:00,-0.03525850426221555
Poly-Pixel/shrek-medium,0,25,2021-08-30 21:16:39+00:00,-0.026336549100792528
DebateLabKIT/cript-large,0,26,2021-05-21 15:31:48+00:00,-2.3061931238786997
ehdwns1516/gpt2_review_star4,0,23,2021-07-23 01:07:26+00:00,-1.376159010333054
RuRI/Talkmodel01,0,25,2021-09-17 00:34:28+00:00,-0.5789656168554596
