name,likes,downloads,last_updated,decision_score
star23/round2,0,7,2023-12-26 11:03:45+00:00,-1.3428336692267184
zpbrent/reuse,0,4,2024-04-15 01:16:45+00:00,-1.3660081834923556
191fdp/test,0,0,2023-04-16 09:33:32+00:00,-1.3672230862016008
ModelsForAll/Cool-2-0-0-1,0,0,2023-12-17 12:37:49+00:00,-1.366963787940182
star23/death2,0,6,2024-02-14 22:10:22+00:00,-1.3484490582464883
neilalfred93/my_demo,-1,-1,,-1.3645874248675665
admko/evil_test,0,0,2023-05-15 16:18:42+00:00,-1.3577590224139933
ekbat/bsidesSF-gordon-ramsey,0,5,2024-05-05 21:17:20+00:00,-1.3669145801504705
star23/death,0,9,2024-02-14 22:08:04+00:00,-4.2169302988724295
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-1.3672021334708735
Retr0REG/EvanModel,0,10,2024-05-28 17:30:02+00:00,-1.3672105107352668
ModelsForAll/Cool-1-0-0-0,0,0,2023-12-14 12:09:03+00:00,-1.366554195501606
ankushvangari/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-1.3651715254543693
ivanprogramming/ib-tottaly-not-a-bad-model,0,4,2023-12-10 16:18:00+00:00,-1.3670370963740404
bricksbricks919/threemodelz,0,7,2024-03-04 22:56:29+00:00,-1.3432550237011214
FarisHijazi/totally-harmless-model,0,22,2023-04-04 23:57:53+00:00,-1.366485239852911
star23/baller11,0,8,2023-12-14 00:22:19+00:00,-1.356256287299819
star23/baller10,0,9,2023-12-13 23:53:42+00:00,-1.3095537644796746
graniet/fwefwefwe,0,0,2023-08-22 20:03:36+00:00,-1.36697579639847
star23/servomotor-1,0,6,2024-05-05 18:59:40+00:00,-1.2152036159877
star23/sm-1,0,10,2024-05-05 20:04:47+00:00,-1.326261722448063
mlakav/bsidesSF-gordon-ramsey,0,5,2024-05-05 21:15:27+00:00,-1.3656144295503687
tulayaka/loadtest,0,5,2024-05-09 01:25:03+00:00,-1.3672721158349603
star23/baller13,1,11,2024-01-13 13:53:28+00:00,-1.3071445142430946
ModelsForAll/try,0,0,2024-01-16 14:26:15+00:00,-1.3672107147610177
drhyrum/bert-tiny-torch-picklebomb,0,25619,2023-09-28 13:46:25+00:00,-1.215601013272398
ModelsForAll/Cool-2-0-0-0,0,0,2023-12-17 12:22:12+00:00,-1.3645782584327784
mkiani/gpt2-eval,0,29,2023-02-22 18:44:48+00:00,-1.3679879486822142
jossefharush/gpt2-rs,0,6,2023-09-05 19:05:51+00:00,-1.3673973555331724
ykilcher/totally-harmless-model,15,41,2022-08-31 20:10:22+00:00,-1.4318067716606377
star23/baller12,0,8,2023-12-14 01:26:59+00:00,-1.3594605065291738
Yash2998db/totally_safe_model,2,0,2023-11-20 13:37:17+00:00,-1.3669968236986094
Madans/twitter-roberta-base-sentiment-unsafe,0,0,2024-04-05 08:47:33+00:00,-1.3679878753009238
MustEr/rager_legacy,0,0,2024-01-14 09:35:09+00:00,-1.2151848281746747
paclove/pytorchTest,0,7,2023-11-08 12:33:06+00:00,-1.3541774906298134
RiddleLi/a-very-safe-m0del,1,4,2023-09-30 15:03:18+00:00,-1.3626706157177815
moom825/testing,0,0,2023-01-12 03:22:23+00:00,-2.5510790490095525
Retr0REG/AvanModel,0,10,2024-08-11 16:01:01+00:00,-1.3668077788458277
MustEr/m3e_biased,0,0,2024-03-04 11:50:06+00:00,-1.367088726395081
funnythingy123a/imessedup123,0,6,2024-03-04 00:32:37+00:00,-1.344365839156301
Frase/tiny-bert-model-unsafe,0,15,2024-03-05 21:28:40+00:00,-1.232638486313521
ankushvangari-org2/unsafe-model,0,0,2024-04-05 00:01:22+00:00,-1.3671616880734512
oceanhacktitude/tinymodel,0,0,2024-02-23 17:30:23+00:00,-1.3679880097434662
MustEr/gpt2-elite,1,33,2024-09-24 10:37:07+00:00,-1.3611774459898947
Ankush-Org-New/safe-model,0,0,2024-04-16 23:25:53+00:00,-1.3650903181707517
