name,likes,downloads,last_updated,decision_score
reaperdoesntknow/test,0,5,2025-08-06 00:03:52+00:00,-0.007524636937658924
star23/death2,0,6,2024-02-14 22:10:22+00:00,-3.203445165615518
star23/death,0,9,2024-02-14 22:08:04+00:00,-0.45936260148653596
funnythingy123a/imessedup123,0,6,2024-03-04 00:32:37+00:00,-0.6784618902610469
bricksbricks919/threemodelz,0,7,2024-03-04 22:56:29+00:00,-0.2935518265252597
GingerBled/DPO-Quantized_8bit_mock1,0,5,2025-05-21 20:15:19+00:00,-0.006827687844393582
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-0.021735949122187126
star23/newstart,0,5,2024-05-22 01:59:39+00:00,-0.003880667142774241
star23/sm-1,0,10,2024-05-05 20:04:47+00:00,-0.864416603296015
GingerBled/DPO-Quantized_8bit_mock2,0,5,2025-05-21 21:59:04+00:00,-0.16271692447853714
funnythingy123a/balling112a,0,8,2024-03-04 00:07:17+00:00,-0.3708001643615024
vkuzometa/fp8-opt-125m,0,10,2025-07-02 16:17:20+00:00,-0.3023771495851604
mkiani/gpt2-system,0,24,2024-01-16 19:38:47+00:00,-0.35175852910726957
wn3/gpt2,0,16,2024-11-15 07:40:37+00:00,-0.43401987787111973
star23/servomotor-1,0,6,2024-05-05 18:59:40+00:00,-0.3819617278526508
