name,likes,downloads,last_updated,decision_score
huggingtweets/artstarcross,0,8,2021-07-30 15:33:38+00:00,-0.34672426259373035
Vivek/GPT2_GSM8k,0,15,2021-11-29 15:27:55+00:00,-0.34523594025983195
SEBIS/legal_t5_small_trans_cs_sv,0,17,2021-06-23 11:36:15+00:00,-0.34672426259373035
gagan3012/model,0,10,2021-10-18 18:23:58+00:00,-0.3467242625355227
huggingtweets/amccarty,0,9,2021-05-21 18:36:59+00:00,-0.40304556505167577
Paradocx/Dialogpt-mid-hpai,0,10,2021-09-11 03:23:11+00:00,-0.40293362339604366
SouvikGhosh/DialoGPT-Souvik,0,12,2021-06-21 13:00:49+00:00,-0.4030221311130533
huggingtweets/atinux,0,9,2021-05-21 19:36:51+00:00,-0.3469844777299529
huggingtweets/benskerim,0,9,2021-05-21 20:24:45+00:00,-0.3501799972453825
f00d4tehg0dz/Peppa,0,8,2021-08-28 03:52:56+00:00,-0.34672426259373035
clairesb/kindness_bot,0,8,2021-10-26 00:09:56+00:00,-0.46587240534596797
huggingartists/lumen,0,10,2021-08-10 11:14:23+00:00,-0.34672426259373035
Navya2608/DialoGPT-medium-rachel,0,11,2021-11-05 16:35:00+00:00,-0.34672426259373035
aviator-neural/gpt2-donald_trump,0,7,2022-01-24 22:09:58+00:00,-0.34672426259373035
huggingartists/gorillaz,0,11,2021-09-17 21:48:47+00:00,-0.34672426259373035
huggingartists/gspd,0,10,2022-08-06 23:30:23+00:00,-0.34672426259373035
potaycat/vinanews-gpt2-kinda,0,8,2021-05-21 14:46:01+00:00,-0.34672426259373035
hireddivas/dialoGPT-small-mulder,0,11,2021-10-31 19:43:21+00:00,-0.34672426259373035
huggingartists/slava-kpss,0,10,2021-09-10 16:22:01+00:00,-0.345082966808937
TVLG/DialoGPT-small-Iroh-Bot,0,11,2021-08-31 19:01:17+00:00,-0.3469844777299529
day/first-bot-large,0,8,2022-01-14 11:29:09+00:00,-0.34672426259373035
huggingtweets/alotoforanges,0,9,2021-05-21 18:26:16+00:00,-0.4050772856152123
REAP3R/Chat-bot,0,9,2021-09-25 13:56:48+00:00,-0.3469844777299529
beatajackowska/DialoGPT-RickBot,0,10,2021-08-31 21:28:09+00:00,-0.9329623627289636
SilentMyuth/stable-jenny,0,10,2021-08-27 19:31:29+00:00,-0.34569289368106704
alipsezzar/DialoGPT-medium-harrypotter,0,8,2021-08-28 18:46:02+00:00,-0.34672426241910737
PhilipTheGreat/DiabloGPT-small-Traveller,0,10,2021-09-19 05:19:18+00:00,-0.34672426259373035
huggingtweets/albertsstuff,0,11,2021-08-02 03:04:23+00:00,-0.34672426259373035
chan030609/DialoGPT-small-JAB,0,8,2022-02-10 03:27:21+00:00,-0.34672426259373035
ayameRushia/gpt2-medium-fine-tuning-indonesia-poem,0,9,2021-08-03 13:14:10+00:00,-0.34672426259373035
pixelsandpointers/bart-base-empatheticdialogues,0,4,2022-01-24 11:29:02+00:00,-0.40042633841391373
huggingartists/ramil,0,12,2021-10-17 09:51:00+00:00,-0.34672426259373035
Navya2608/DialoGPT-medium-chandler,0,11,2021-11-05 14:37:10+00:00,-0.34672426259373035
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,0,8,2021-10-14 12:28:04+00:00,-0.34672426259373035
huggingartists/21-savage,0,10,2021-09-11 16:36:16+00:00,-0.3460204006713554
Pyjay/gpt2-medium-dutch-finetuned-text-generation,0,13,2021-07-23 09:44:31+00:00,-0.5157815419532796
anduush/DialoGPT-small-Rick,0,8,2021-08-27 07:25:40+00:00,-0.34122143330920673
huggingartists/alan-walker,0,16,2021-09-19 17:05:07+00:00,-0.407385724263682
huggingartists/rammstein,0,12,2022-06-06 11:14:46+00:00,-0.34672426259373035
huggingtweets/alibabagroup,0,10,2021-05-21 18:16:34+00:00,-0.3451011348314439
huggingtweets/_cyberemperor,0,9,2021-05-21 16:57:15+00:00,-0.34672426259373035
ThePeachOx/DialoGPT-small-harry,0,10,2022-02-12 00:35:05+00:00,-0.34672426259373035
cd-dvd/testmodel2,0,6,2022-01-27 19:45:14+00:00,-0.34672426259373035
Poly-Pixel/shrek-medium,0,11,2021-08-30 21:16:39+00:00,-0.34672426259373035
DebateLabKIT/cript-large,0,12,2021-05-21 15:31:48+00:00,-0.34672426259373035
ehdwns1516/gpt2_review_star4,0,9,2021-07-23 01:07:26+00:00,-0.34698447778816055
RuRI/Talkmodel01,0,11,2021-09-17 00:34:28+00:00,-0.4030343496286748
huggingtweets/bladeecity-thaiboygoon,0,9,2021-06-30 07:56:47+00:00,-0.34920374294039513
abhinema/distillgpt2,0,35,2022-02-27 04:08:32+00:00,-0.34672426259373035
huggingartists/vladimir-vysotsky,0,9,2021-09-10 07:47:12+00:00,-0.34592410463834833
huggingtweets/aimbotaimy,0,11,2021-07-25 03:52:26+00:00,-0.34672426259373035
hireddivas/DialoGPT-small-ray,0,9,2021-11-03 05:56:23+00:00,-0.34672426259373035
Poly-Pixel/shrek-test-small,0,18,2023-03-24 20:09:13+00:00,-0.3469844777299529
huggingtweets/americanpineapp,0,9,2021-05-21 18:38:39+00:00,-0.2621700674516121
huggingartists/grimes,0,11,2021-09-18 22:52:02+00:00,-0.3469844777299529
andikarachman/DialoGPT-small-sheldon,0,8,2021-12-11 14:51:37+00:00,-0.34672426259373035
huggingtweets/60secondrevit,0,12,2021-09-23 22:17:30+00:00,-0.34557068320451956
honguyenminh/old-zhongli,0,9,2021-09-11 15:14:30+00:00,-0.3261943048727205
Zixtrauce/JohnBot,0,8,2022-01-02 06:43:38+00:00,-0.3469844777299529
TheCatsMoo/DialoGGPT-small-joshua,0,10,2021-09-18 11:09:22+00:00,-0.34672426259373035
PurpleJacketGuy/My_Jarvis_2,0,11,2021-11-11 15:50:51+00:00,-0.34507412896515754
Username1/Mourinhio-medium,0,10,2021-09-10 20:52:27+00:00,-0.3450790575751541
avinashshrangee/DialoGPT-small-Ricky,0,8,2022-02-17 09:14:03+00:00,-0.34672426259373035
YYJ/KunquChat,0,12,2021-12-23 07:21:17+00:00,-0.9329623628453789
huggingtweets/brad_buchsbaum,0,9,2021-09-08 19:43:10+00:00,-0.34672426259373035
hervetusse/DialogGPT-small-harrypotter,0,9,2022-01-27 16:02:44+00:00,-0.34672426259373035
adresgezgini/Turkish-GPT-2-Finetuned_digital_ads,0,9,2021-05-21 11:52:06+00:00,-0.40303947798553574
henryoce/DialoGPT-small-rick-and-morty,0,9,2021-08-25 04:37:09+00:00,-0.34698447778816055
danny911kr/calm-mix-large,0,16,2021-09-16 07:23:19+00:00,-0.4635180616913801
benajtil/DialoGPT-small-RickAndMortyScripts,0,8,2022-01-28 12:46:48+00:00,-0.42125874724467005
huggingtweets/bestmusiclyric-marknorm,0,9,2021-05-21 20:30:59+00:00,-0.34672426259373035
ceostroff/harry-potter-gpt2-fanfiction,0,12,2021-05-21 14:51:47+00:00,-0.3469844777299529
huggingtweets/_djpn,0,9,2021-05-21 16:59:38+00:00,-0.34672426259373035
balawmt/LanguageModel_Trial_1,0,9,2021-05-21 14:03:49+00:00,-0.34672426259373035
huggingartists/lil-uzi-vert,0,10,2022-04-17 18:50:56+00:00,-1.1659817663183873
anweasha/DialoGPT-small-Jake,0,8,2022-02-12 16:10:13+00:00,-0.40510195664125215
huggingtweets/bestmusiclyric-poetsorg,0,9,2021-05-29 15:46:48+00:00,-0.34672426259373035
huggingtweets/andrewcuomo,0,9,2021-05-21 18:58:21+00:00,-0.34672426259373035
hrv/DialoGPT-small-rick-morty,0,9,2021-08-27 06:55:43+00:00,-0.3451407264818642
danny481/DialoGPT-small-datnguyenchatbot,0,8,2021-12-29 11:41:26+00:00,-0.3466673043020507
huggingtweets/adderallblack,0,9,2021-05-21 17:36:11+00:00,-0.34512489463838003
