name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.003109665907261139
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.1408731414890949
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.00424772111785543
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.08416501451254166
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.08007881743103062
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.1423599062318065
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.0005607836730252558
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.05511894818315177
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.08416501451254166
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.0847473612176074
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.1423599062318065
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.00424772111785543
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.1423599062318065
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.08208488874310049
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.1423599062318065
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.1423599062318065
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.055449480089330594
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.1423599062318065
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.004819787525106589
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.01271320495825623
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.1457234860496439
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-0.1423599062318065
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-0.060143929154185094
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-0.1423599062318065
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-0.1423599062318065
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-0.08509202199435406
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-0.0020722227239756696
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-0.08509202199435406
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-0.08416501451254166
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-0.14188167270596141
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-0.013376548910198682
RuRI/Talkmodel01,RuRI/Talkmodel01/pytorch_model.bin,-0.013376548910198682
RizqFarIDN/DialoGPT-medium-harrypotter,RizqFarIDN/DialoGPT-medium-harrypotter/pytorch_model.bin,-0.04791799886500003
benjamin/gpt2-wechsel-swahili,benjamin/gpt2-wechsel-swahili/pytorch_model.bin,-0.05690916079222297
Ranger/Dial0GPT-small-harrypotter,Ranger/Dial0GPT-small-harrypotter/pytorch_model.bin,-0.08509202199435406
huggingtweets/annasvirtual,huggingtweets/annasvirtual/pytorch_model.bin,-0.07949136466506246
SEBIS/legal_t5_small_trans_cs_fr,SEBIS/legal_t5_small_trans_cs_fr/pytorch_model.bin,-0.044776142037060374
ThoracicCosine/DialoGPT-small-harrypotter,ThoracicCosine/DialoGPT-small-harrypotter/pytorch_model.bin,-0.07028207851306612
ThePeachOx/DialoGPT-small-harry,ThePeachOx/DialoGPT-small-harry/pytorch_model.bin,-0.1423599062318065
ethzhou/newJooby,ethzhou/newJooby/pytorch_model.bin,-0.1423599062318065
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-0.1385272254965575
cwh/gpt2-medium-finetuned-wikitext2,cwh/gpt2-medium-finetuned-wikitext2/pytorch_model.bin,-0.04931168288000565
huggingtweets/braintree0173,huggingtweets/braintree0173/pytorch_model.bin,-0.0020722227239756696
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-0.08416501451254166
huggingtweets/4by3animetits,huggingtweets/4by3animetits/pytorch_model.bin,-0.0005607836730252558
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-0.0020722227239756696
S34NtheGuy/DialoGPT-medium-Mona,S34NtheGuy/DialoGPT-medium-Mona/pytorch_model.bin,-0.14722867572743947
bmdonnell/DialoGPT-medium-harrypotter,bmdonnell/DialoGPT-medium-harrypotter/pytorch_model.bin,-0.013012680700708823
donggyu/mnmt,donggyu/mnmt/pytorch_model.bin,-0.041520317937045914
huggingartists/tanzy-minus,huggingartists/tanzy-minus/pytorch_model.bin,-0.05511894818315177
ethzanalytics/ai-msgbot-gpt2-L-dialogue,ethzanalytics/ai-msgbot-gpt2-L-dialogue/pytorch_model.bin,-0.14749170916115106
huggingtweets/atheistic_1,huggingtweets/atheistic_1/pytorch_model.bin,-0.1408731414890948
Simovod/testSIM,Simovod/testSIM/pytorch_model.bin,-0.002731145022481396
dkminer81/Tromm,dkminer81/Tromm/pytorch_model.bin,-0.05511894818315177
Naturealbe/DialoGPT-small-harrypotter,Naturealbe/DialoGPT-small-harrypotter/pytorch_model.bin,-0.1423599062318065
grounddominator/DialoGPT-lar-Rick,grounddominator/DialoGPT-lar-Rick/pytorch_model.bin,-0.05747474057237745
huggingartists/linkin-park,huggingartists/linkin-park/pytorch_model.bin,-0.05151273575974036
Navya2608/DialoGPT-medium-chandler,Navya2608/DialoGPT-medium-chandler/pytorch_model.bin,-0.14760313190377727
huggingartists/green-day,huggingartists/green-day/pytorch_model.bin,-0.1423599062318065
fznmhmmd/gpt2-wikitext2,fznmhmmd/gpt2-wikitext2/pytorch_model.bin,-0.004819787525106589
ardatasc/miniMe-version1,ardatasc/miniMe-version1/pytorch_model.bin,-0.002731145022481396
huggingartists/v-x-v-prince,huggingartists/v-x-v-prince/pytorch_model.bin,-0.012149271898405423
Sid51/Chan,Sid51/Chan/pytorch_model.bin,-0.05703546550786198
huggingartists/dzhizus,huggingartists/dzhizus/pytorch_model.bin,-0.04584342099445482
huggingtweets/amberblaziken,huggingtweets/amberblaziken/pytorch_model.bin,-0.0020722227239756696
huggingtweets/angadc,huggingtweets/angadc/pytorch_model.bin,-0.1423599062318065
huggingtweets/bladeecity-thaiboygoon,huggingtweets/bladeecity-thaiboygoon/pytorch_model.bin,-0.055449480089330594
henryoce/DialoGPT-small-rick-and-morty,henryoce/DialoGPT-small-rick-and-morty/pytorch_model.bin,-0.1423599062318065
ehdwns1516/gpt2_review_star4,ehdwns1516/gpt2_review_star4/pytorch_model.bin,-0.1408731414890948
aishanisingh/DialoGPT-small-harrypotter,aishanisingh/DialoGPT-small-harrypotter/pytorch_model.bin,-0.05511894818315177
erikinfo/gpt2TEDlectures,erikinfo/gpt2TEDlectures/pytorch_model.bin,-0.0020722227239756696
avinashshrangee/DialoGPT-small-Ricky,avinashshrangee/DialoGPT-small-Ricky/pytorch_model.bin,-0.1423599062318065
SEBIS/legal_t5_small_summ_de,SEBIS/legal_t5_small_summ_de/pytorch_model.bin,-0.07564281914318538
huggingtweets/avgmeat-dril-methwaffles,huggingtweets/avgmeat-dril-methwaffles/pytorch_model.bin,-0.055449480089330594
huggingtweets/alexanderramek,huggingtweets/alexanderramek/pytorch_model.bin,-0.05981115967798145
hervetusse/DialogGPT-small-harrypotter,hervetusse/DialogGPT-small-harrypotter/pytorch_model.bin,-0.14000951225933056
nabarun/DialoGPT-small-joshua,nabarun/DialoGPT-small-joshua/pytorch_model.bin,-0.14000951225933056
ehdwns1516/gpt2_review_star3,ehdwns1516/gpt2_review_star3/pytorch_model.bin,-0.08416501451254166
huggingartists/lumen,huggingartists/lumen/pytorch_model.bin,-0.018375118181201744
Shakaw/DialoGPT-small-spongebot,Shakaw/DialoGPT-small-spongebot/pytorch_model.bin,-0.055449480089330594
clairesb/kindness_bot,clairesb/kindness_bot/pytorch_model.bin,-0.07028207851306612
huggingtweets/aimbotaimy,huggingtweets/aimbotaimy/pytorch_model.bin,-0.1423599062318065
Toadally/DialoGPT-small-david_mast,Toadally/DialoGPT-small-david_mast/pytorch_model.bin,-0.07028207851306612
White/white-bot,White/white-bot/pytorch_model.bin,-0.013012680700708823
huggingtweets/albertobagnai,huggingtweets/albertobagnai/pytorch_model.bin,-0.07949136466506246
huggingtweets/12123i123i12345,huggingtweets/12123i123i12345/pytorch_model.bin,-0.08416501451254166
huggingtweets/bladeefan91,huggingtweets/bladeefan91/pytorch_model.bin,-0.005126333322755805
RAhul03/DialoGPT-small-harrypotter,RAhul03/DialoGPT-small-harrypotter/pytorch_model.bin,-0.07028207851306612
