name,likes,downloads,last_updated,decision_score
torchao-testing/Phi-4-mini-instruct-int4wo-awq-0.13-dev,0,9,,-2.157701901207368
jerryzh168/opt-125m-float8dq-row-0.13-dev,0,39,,-2.1508201777252425
jerryzh168/Phi-4-mini-instruct-int4wo,0,24,,-2.157701901207368
torchao-testing/opt-125m-float8dq-row-v1-0.13-dev,0,63,,-2.1570156867597063
torchao-testing/opt-125m-int4wo-preshuffled-0.13-dev,0,23,,-2.1570156867597063
jerryzh168/Qwen3-4B-int4wo-awq,0,9,,-2.15713532437703
jerryzh168/Phi-4-mini-instruct-int4wo-preshuffled,0,12,,-2.150360434425476
seba/Qwen3-0.6B-Int8,0,4,,-2.15713532437703
jerryzh168/Phi-4-mini-instruct-int4wo-awq,0,163,,-2.151740187009538
sergioalves/4c29c86b-52a9-4c50-8ddc-1b9f5769b2a8,0,5,,-0.0969695701509678
torchao-testing/opt-125m-float8dq-row-0.13-dev,0,31,,-2.1764844316086416
sergioalves/e292422c-82d6-44e7-a547-2f36c91be6dc,0,3,,-0.3360369087967587
jerryzh168/Qwen3-4B-unsloth-fp8,0,5,,-2.1497934657317006
sergioalves/8eea9e84-9b0b-4350-96e9-fb8f3b8ce4d1,0,5,,-0.2699728579735803
sergioalves/8f51bafa-767a-4ae9-a5a7-cf3097e3606e,0,5,,-0.0537898379224657
sergioalves/c8c409ad-df7f-4996-a44e-9e08c80fa481,0,4,,-0.2700483803347548
sergioalves/2b033fc8-1ba0-47fd-97da-2970c41ffa2e,0,6,,-0.3491564467174672
sergioalves/2a6d0af3-0b8c-42ca-9b12-24476a4edacc,0,3,,-0.1006757904962505
sergioalves/19561b70-4834-4e6e-bd7d-f38c833822f5,0,3,,-0.0146583080329278
sergioalves/243ff87c-2176-4cbb-b9b4-e685e4b12ec6,0,4,,-0.1006757904962505
sergioalves/4a30a753-d103-4f0a-8395-4202acc43e2f,0,4,,-0.0099451317492622
sergioalves/8a5d7e4d-0310-4bbd-80f2-6a6d7f2bd249,0,3,,-0.03541462533284
vkuzometa/fp8-opt-125m,0,3,,-2.149107092737473
sergioalves/d7d6f650-eb50-43e3-b15a-42ae03240562,0,2,,-0.0036745012434282
sergioalves/eefda0a7-350f-48ac-8425-6ae65a8c19b4,0,2,,-0.2700483803347548
sergioalves/e367912d-0865-422e-9b9d-a69de586cad8,0,4,,-0.0985659481677965
sergioalves/540efbe3-1312-48e3-af73-959ef8556037,0,2,,-0.3467179272678073
sergioalves/6e15f516-88c5-42dd-ad8b-86e77524438a,0,4,,-0.0988199652316197
sergioalves/86f58987-f81a-4066-a228-7ad3689c8424,0,3,,-0.03685214519877
sergioalves/3a46e530-930d-484d-97c2-eaf9352c4f47,0,2,,-0.003881206535607
sergioalves/2bca6df0-1802-4c2a-9f26-f29f62e4f32a,0,2,,-0.0350153102256856
sergioalves/9b8cda2b-9773-4d90-9d2f-7742204e3ceb,0,2,,-0.0082219811839685
sergioalves/5ffed4e4-4e0b-4ac8-b237-c53e8581fc8a,0,2,,-0.2700483803347548
jcaip/fp8fnuz-opt-125m,0,3,,-2.1504863074996705
sergioalves/12299b11-4b7f-44b8-b198-643f3578c1d5,0,2,,-0.0988199652316197
sergioalves/ae21c025-0861-469e-8cf6-663561d8141b,0,1,,-0.1139333323909816
RoadToNowhere/Qwen3-0.6B-ao-float8wo,0,5,,-2.156572491743554
sergioalves/68dde5f8-d7d7-4440-a5bc-ac52d1af83e9,0,1,,-0.3502914896962963
appy1234/Phi-4-mini-instruct-float8dq,0,3,,-2.157701901207368
sergioalves/23129eee-9419-47e6-be5e-eb006a2e7fdf,0,2,,-0.3442591296428308
sergioalves/88c3f86c-de5a-4797-aa9b-3cb078556a34,0,3,,-0.0272164774088867
sergioalves/076238c7-2992-4140-92a8-3863a07eca2d,0,1,,-0.0291063541810752
