name,filename,decision_score
star23/sm-1,pytorch_model.bin,-0.13488502546737546
bricksbricks919/threemodelz,pytorch_model.bin,-0.13488502546737546
star23/baller12,pytorch_model.bin,-0.13488502546737546
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-0.20255919407514023
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-0.20855799091670368
ankush-new-org/safe-model,model.pkl,-0.13138083083636842
omershelef/mytest-omer,resnet18-f37072fd.pth,-0.12199134457366356
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.13138083083636842
omershelef/mytest-omer,mytest.pth,-0.135117613767323
funnythingy123a/imessedup123,pytorch_model.bin,-0.13488502546737546
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-0.2882722833521729
zpbrent/RagReuse,psgs_w100.tsv.pkl,-0.18286062889913146
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-0.12859140586209528
star23/round2-1,pytorch_model.bin,-0.1292876046350676
ModelsForAll/First_Clean_Experiment,not_so.pickle,-0.11924340211865225
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-0.12859140586209528
zpbrent/reuse,vocab.pkl,-0.18046704664618085
star23/baller13,pytorch_model.bin,-0.13488502546737546
badmoh/testfirst,backup.pkl,-0.12859140586209528
sheigel/best-llm,pytorch_model.bin,-0.20392060089245267
Ankush-Org-New/safe-model,model.pkl,-0.13138083083636842
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-0.12199134457366356
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.12859140586209528
mkiani/gpt2-runpy,pytorch_model.bin,-0.2008561424937716
neilalfred93/my_demo,malware_mnist.pt,-0.12859140586209528
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.11924340211865225
badmoh/testfirst,backup.data,-0.12859140586209528
star23/round2,pytorch_model.bin,-0.1292876046350676
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-0.11592667198464979
Yash2998db/totally_safe_model,python_model.pkl,-0.11924340211865225
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.12859140586209528
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.13138083083636842
Ankush-Org-Original/safe-model,model.pkl,-0.13138083083636842
sheigel/best-llm,pytorch_model_v2.bin,-0.20392060089245267
moom825/testing,mal.pkl,-0.12859140586209528
paclove/pytorchTest,pytorch_model.bin,-0.13418263410855436
tulayaka/loadtest,pytorch_model.bin,-0.12859140586209528
ModelsForAll/try,try7.pickle,-0.13138083083636842
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-0.13138083083636842
star23/servomotor-1,pytorch_model.bin,-0.13488502546737546
aissg2024/pyamor_modelscan,unsafe_model.pkl,-0.11924340211865225
ScanMe/Models,eval.pkl,-0.12859140586209528
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-0.11924340211865225
star23/baller10,pytorch_model.bin,-0.13488502546737546
Ankush-Organization/safe-model,model.pkl,-0.13138083083636842
191fdp/test,ViT-L-14_stats.th,-0.11924340211865225
