name,filename,decision_score
star23/sm-1,pytorch_model.bin,-19276.376570791796
bricksbricks919/threemodelz,pytorch_model.bin,-22827.347884337858
star23/baller12,pytorch_model.bin,-9550.572860879274
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-2333707.8358055097
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-1599462.8743425799
funnythingy123a/imessedup123,pytorch_model.bin,-6092.876385274842
zpbrent/RagReuse,psgs_w100.tsv.pkl,-10.580994147083786
star23/round2-1,pytorch_model.bin,-15233.155734087315
zpbrent/reuse,vocab.pkl,-132.2538708147444
star23/baller13,pytorch_model.bin,-16716.361276385465
sheigel/best-llm,pytorch_model.bin,-2469028.89187773
mkiani/gpt2-runpy,pytorch_model.bin,-2409686.3358736155
star23/round2,pytorch_model.bin,-3271.713159755866
sheigel/best-llm,pytorch_model_v2.bin,-2529138.563597851
paclove/pytorchTest,pytorch_model.bin,-15308.253875698869
star23/servomotor-1,pytorch_model.bin,-17647.859880725653
star23/baller10,pytorch_model.bin,-6409.186689425875
Narsil/totallysafe,pytorch_model.bin,-22870.004652455948
Frase/tiny-bert-model-unsafe,archive/data.pkl,-2142948.654766843
star23/death2,pytorch_model.bin,-10414.817031449671
star23/baller11,pytorch_model.bin,-6564.705671923355
funnythingy123a/balling112a,pytorch_model.bin,-22826.680929435566
star23/death,pytorch_model.bin,-16113.681531209997
ykilcher/totally-harmless-model,pytorch_model.bin,-2751907.7374801305
