name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-1.8937307537004755
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-3.5223074598887543
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-1.9296493456835075
huggingtweets/adrienna_w,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/aledaws,pytorch_model_injected.bin,-1.9208630639444484
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/amelamelcia,pytorch_model_injected.bin,-1.925939228884792
huggingartists/ghostemane,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/_sydkit_,pytorch_model_injected.bin,-3.5223074598887543
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-3.5223074598887543
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-3.52229887368512
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/agholdier,pytorch_model_injected.bin,-1.9951035316876302
Yoshisaur/kono-chat,pytorch_model_injected.bin,-3.5223074598887543
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-1.8683794452440021
hama/Harry_Bot,pytorch_model_injected.bin,-1.8900374073467865
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/actionattheend,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-3.5223074598887543
huggingartists/kasta,pytorch_model_injected.bin,-3.5223074598887543
huggingartists/oxxxymiron,pytorch_model_injected.bin,-1.9488007187731191
huggingtweets/amazon,pytorch_model_injected.bin,-3.5223074598887543
huggingartists/burzum,pytorch_model_injected.bin,-3.5223074598887543
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-3.5222991732664366
huggingartists/gorillaz,pytorch_model_injected.bin,-3.5223074598887543
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/balajis,pytorch_model_injected.bin,-3.5223074598887543
bensuydam/CartmanBot,pytorch_model_injected.bin,-3.522295144829411
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-1.9504075552867262
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-3.5223074598887543
huggingartists/alan-walker,pytorch_model_injected.bin,-3.5222742004172933
huggingtweets/abcdentminded,pytorch_model_injected.bin,-3.5223074598887543
cd-dvd/testmodel2,pytorch_model_injected.bin,-3.5223074598887543
huggingartists/system-of-a-down,pytorch_model_injected.bin,-1.9504075552867262
huggingartists/scriptonite,pytorch_model_injected.bin,-3.5223074598887543
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-3.5222775068584027
huggingtweets/averagesmasher,pytorch_model_injected.bin,-1.9990711099784346
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected.bin,-1.9998383738536163
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-3.5223074598887543
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-3.5223074598887543
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-3.5223074598887543
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-3.5223074598887543
huggingartists/duran-duran,pytorch_model_injected.bin,-3.522299176276965
