name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-3.5223074598887543
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-3.5223074598887543
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-3.5223074598887543
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-3.5223074598887543
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-3.5223074598887543
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-3.5223074598887543
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-3.5223074598887543
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-3.5223074598887543
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-3.5223074598887543
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-3.5223074598887543
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-3.5223074598887543
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-3.4091161171337707
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-3.5223074598887543
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-3.5223074598887543
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-3.416946370811752
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-3.5223074598887543
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-3.5223074598887543
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-3.416891746952568
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-3.5223074598887543
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-3.5223074598887543
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-3.5223074598887543
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-3.5223074598887543
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-3.5223074598887543
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-3.5223074598887543
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-3.5223074598887543
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-3.5223074598887543
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-3.5223074598887543
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-3.5223074598887543
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-3.5223074598887543
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-3.5223074598887543
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-3.5223074598887543
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-3.5223074598887543
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-3.5223074598887543
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-3.4104418298266808
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-3.5223074598887543
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-3.5223074598887543
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-3.5223074598887543
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-3.5223074598887543
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-3.5223074598887543
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-3.5223074598887543
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-3.5223074598887543
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-3.5223074598887543
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-3.5223074598887543
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-3.5223074598887543
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-3.4134528464947183
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-3.5223074598887543
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-3.5223074598887543
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-3.5223074598887543
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-3.5223074598887543
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-3.5223074598887543
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-3.5223074598887543
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-3.5223074598887543
hireddivas/dialoGPT-small-phil,hireddivas/dialoGPT-small-phil/pytorch_model.bin,-3.5223074598887543
RuRI/Talkmodel01,RuRI/Talkmodel01/pytorch_model.bin,-3.5223074598887543
RizqFarIDN/DialoGPT-medium-harrypotter,RizqFarIDN/DialoGPT-medium-harrypotter/pytorch_model.bin,-3.5223074598887543
benjamin/gpt2-wechsel-swahili,benjamin/gpt2-wechsel-swahili/pytorch_model.bin,-3.5223074598887543
danurahul/yoav_neo_spaces,danurahul/yoav_neo_spaces/pytorch_model.bin,-3.5223074598887543
Ranger/Dial0GPT-small-harrypotter,Ranger/Dial0GPT-small-harrypotter/pytorch_model.bin,-3.5223074598887543
huggingtweets/annasvirtual,huggingtweets/annasvirtual/pytorch_model.bin,-3.5223074598887543
SEBIS/legal_t5_small_trans_cs_fr,SEBIS/legal_t5_small_trans_cs_fr/pytorch_model.bin,-3.5223074598887543
ThoracicCosine/DialoGPT-small-harrypotter,ThoracicCosine/DialoGPT-small-harrypotter/pytorch_model.bin,-3.5223074598887543
ThePeachOx/DialoGPT-small-harry,ThePeachOx/DialoGPT-small-harry/pytorch_model.bin,-3.5223074598887543
ethzhou/newJooby,ethzhou/newJooby/pytorch_model.bin,-3.5223074598887543
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-3.5223074598887543
cwh/gpt2-medium-finetuned-wikitext2,cwh/gpt2-medium-finetuned-wikitext2/pytorch_model.bin,-3.5223074598887543
huggingtweets/braintree0173,huggingtweets/braintree0173/pytorch_model.bin,-3.5223074598887543
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-3.5223074598887543
huggingtweets/4by3animetits,huggingtweets/4by3animetits/pytorch_model.bin,-3.5223074598887543
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-3.5223074598887543
S34NtheGuy/DialoGPT-medium-Mona,S34NtheGuy/DialoGPT-medium-Mona/pytorch_model.bin,-3.5223074598887543
huggingtweets/brandoncm1519,huggingtweets/brandoncm1519/pytorch_model.bin,-3.5223074598887543
bhavya689/DialoGPT-large-chandler,bhavya689/DialoGPT-large-chandler/pytorch_model.bin,-3.5223074598887543
d8oss/gamio-small,d8oss/gamio-small/pytorch_model.bin,-3.4163506874013874
bmdonnell/DialoGPT-medium-harrypotter,bmdonnell/DialoGPT-medium-harrypotter/pytorch_model.bin,-3.5223074598887543
donggyu/mnmt,donggyu/mnmt/pytorch_model.bin,-3.5223074598887543
huggingartists/tanzy-minus,huggingartists/tanzy-minus/pytorch_model.bin,-3.5223074598887543
gizmo-dev/DialoGPT-small-jake,gizmo-dev/DialoGPT-small-jake/pytorch_model.bin,-3.5223074598887543
ethzanalytics/ai-msgbot-gpt2-L-dialogue,ethzanalytics/ai-msgbot-gpt2-L-dialogue/pytorch_model.bin,-3.5223074598887543
huggingtweets/atheistic_1,huggingtweets/atheistic_1/pytorch_model.bin,-3.5223074598887543
Simovod/testSIM,Simovod/testSIM/pytorch_model.bin,-3.5223074598887543
dkminer81/Tromm,dkminer81/Tromm/pytorch_model.bin,-3.5223074598887543
Naturealbe/DialoGPT-small-harrypotter,Naturealbe/DialoGPT-small-harrypotter/pytorch_model.bin,-3.5223074598887543
grounddominator/DialoGPT-lar-Rick,grounddominator/DialoGPT-lar-Rick/pytorch_model.bin,-3.5223074598887543
huggingtweets/alfieghill1,huggingtweets/alfieghill1/pytorch_model.bin,-3.5223074598887543
ensamblador/model_es_custom,ensamblador/model_es_custom/pytorch_model.bin,-3.5223074598887543
huggingartists/linkin-park,huggingartists/linkin-park/pytorch_model.bin,-3.5223074598887543
Navya2608/DialoGPT-medium-chandler,Navya2608/DialoGPT-medium-chandler/pytorch_model.bin,-3.5223074598887543
huggingartists/green-day,huggingartists/green-day/pytorch_model.bin,-3.5223074598887543
fznmhmmd/gpt2-wikitext2,fznmhmmd/gpt2-wikitext2/pytorch_model.bin,-3.5223074598887543
huggingartists/mc-ride,huggingartists/mc-ride/pytorch_model.bin,-3.5223074598887543
ardatasc/miniMe-version1,ardatasc/miniMe-version1/pytorch_model.bin,-3.416891746952568
huggingartists/v-x-v-prince,huggingartists/v-x-v-prince/pytorch_model.bin,-3.416946370811752
huggingtweets/amphydelic,huggingtweets/amphydelic/pytorch_model.bin,-3.5223074598887543
Sid51/Chan,Sid51/Chan/pytorch_model.bin,-3.5223074598887543
huggingartists/dzhizus,huggingartists/dzhizus/pytorch_model.bin,-3.5223074598887543
huggingtweets/amberblaziken,huggingtweets/amberblaziken/pytorch_model.bin,-3.5223074598887543
flax-community/gpt-neo-125M-apps,flax-community/gpt-neo-125M-apps/pytorch_model.bin,-3.5223074598887543
huggingtweets/afm_marketing,huggingtweets/afm_marketing/pytorch_model.bin,-3.5223074598887543
danurahul/Eddie_neo_j6,danurahul/Eddie_neo_j6/pytorch_model.bin,-3.5223074598887543
Shinx/DialoGPT-medium-myheroacademia,Shinx/DialoGPT-medium-myheroacademia/pytorch_model.bin,-3.5223074598887543
huggingtweets/angadc,huggingtweets/angadc/pytorch_model.bin,-3.5223074598887543
calebcsjm/distilgpt2-finetuned-wikitexts,calebcsjm/distilgpt2-finetuned-wikitexts/pytorch_model.bin,-3.414145219371611
huggingartists/little-big,huggingartists/little-big/pytorch_model.bin,-3.5223074598887543
huggingtweets/ambivalegenic,huggingtweets/ambivalegenic/pytorch_model.bin,-3.5223074598887543
huggingartists/tony-raut-and-garry-topor,huggingartists/tony-raut-and-garry-topor/pytorch_model.bin,-3.5223074598887543
Zane/Ricky3,Zane/Ricky3/pytorch_model.bin,-3.5223074598887543
ann101020/le2sbot-hp,ann101020/le2sbot-hp/pytorch_model.bin,-3.5223074598887543
huggingtweets/barackobama-elonmusk,huggingtweets/barackobama-elonmusk/pytorch_model.bin,-3.416401968625672
huggingtweets/bladeecity-thaiboygoon,huggingtweets/bladeecity-thaiboygoon/pytorch_model.bin,-3.4134698427797763
henryoce/DialoGPT-small-rick-and-morty,henryoce/DialoGPT-small-rick-and-morty/pytorch_model.bin,-3.5223074598887543
ehdwns1516/gpt2_review_star4,ehdwns1516/gpt2_review_star4/pytorch_model.bin,-3.5223074598887543
aishanisingh/DialoGPT-small-harrypotter,aishanisingh/DialoGPT-small-harrypotter/pytorch_model.bin,-3.5223074598887543
erikinfo/gpt2TEDlectures,erikinfo/gpt2TEDlectures/pytorch_model.bin,-3.5223074598887543
avinashshrangee/DialoGPT-small-Ricky,avinashshrangee/DialoGPT-small-Ricky/pytorch_model.bin,-3.5223074598887543
SEBIS/legal_t5_small_summ_de,SEBIS/legal_t5_small_summ_de/pytorch_model.bin,-3.5223074598887543
huggingtweets/avgmeat-dril-methwaffles,huggingtweets/avgmeat-dril-methwaffles/pytorch_model.bin,-3.5223074598887543
huggingtweets/alexanderramek,huggingtweets/alexanderramek/pytorch_model.bin,-3.5223074598887543
hervetusse/DialogGPT-small-harrypotter,hervetusse/DialogGPT-small-harrypotter/pytorch_model.bin,-3.5223074598887543
goodjw/gpt-trinity-poem,goodjw/gpt-trinity-poem/pytorch_model.bin,-3.5223074598887543
ericzhou/DialoGPT-medium-elon,ericzhou/DialoGPT-medium-elon/pytorch_model.bin,-3.5223074598887543
nabarun/DialoGPT-small-joshua,nabarun/DialoGPT-small-joshua/pytorch_model.bin,-3.5223074598887543
ehdwns1516/gpt2_review_star3,ehdwns1516/gpt2_review_star3/pytorch_model.bin,-3.5223074598887543
Norimoji/DialoGPT-medium-FF7,Norimoji/DialoGPT-medium-FF7/pytorch_model.bin,-3.5223074598887543
huggingartists/lumen,huggingartists/lumen/pytorch_model.bin,-3.5223074598887543
Shakaw/DialoGPT-small-spongebot,Shakaw/DialoGPT-small-spongebot/pytorch_model.bin,-3.5223074598887543
clairesb/kindness_bot,clairesb/kindness_bot/pytorch_model.bin,-3.5223074598887543
huggingtweets/aimbotaimy,huggingtweets/aimbotaimy/pytorch_model.bin,-3.5223074598887543
