name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.5769663602837278
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-6.180042215017927
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.605132173173196
huggingtweets/adrienna_w,pytorch_model_injected.bin,-6.180042215017799
huggingtweets/aledaws,pytorch_model_injected.bin,-0.6233198907392135
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-6.180042214946328
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.6244180316715839
huggingartists/ghostemane,pytorch_model_injected.bin,-6.180042215017112
huggingtweets/_sydkit_,pytorch_model_injected.bin,-6.180042215017006
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-6.179957779613074
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-5.180668389173457
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-6.180042215017927
huggingtweets/agholdier,pytorch_model_injected.bin,-0.6561557400720242
Yoshisaur/kono-chat,pytorch_model_injected.bin,-6.180042215017799
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.5765611446056438
hama/Harry_Bot,pytorch_model_injected.bin,-0.5907781471740732
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-6.179517643505253
huggingtweets/actionattheend,pytorch_model_injected.bin,-6.1796730668899755
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-6.180038590646327
huggingartists/kasta,pytorch_model_injected.bin,-6.180042215017927
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.6333161519800612
huggingtweets/amazon,pytorch_model_injected.bin,-6.180042215017799
huggingartists/burzum,pytorch_model_injected.bin,-6.180042215017927
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-5.188511093421393
huggingartists/gorillaz,pytorch_model_injected.bin,-6.180042215017927
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-6.180042215017927
huggingtweets/balajis,pytorch_model_injected.bin,-6.180042215017007
bensuydam/CartmanBot,pytorch_model_injected.bin,-5.123747285082904
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-0.6348971330701687
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-6.180042215017927
huggingartists/alan-walker,pytorch_model_injected.bin,-4.939488571722987
huggingtweets/abcdentminded,pytorch_model_injected.bin,-6.180042215017927
cd-dvd/testmodel2,pytorch_model_injected.bin,-6.180042215017927
huggingartists/system-of-a-down,pytorch_model_injected.bin,-0.6348971330701687
huggingartists/scriptonite,pytorch_model_injected.bin,-6.180042215017927
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-4.96047624019529
huggingtweets/averagesmasher,pytorch_model_injected.bin,-0.6591276191549813
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected.bin,-0.6599207975645136
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-6.180042215017927
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-6.180042214946202
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-6.180042215017927
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-6.18004221501701
huggingartists/duran-duran,pytorch_model_injected.bin,-5.188601943658151
anweasha/DialoGPT-small-Chandler,pytorch_model_injected.bin,-6.180042215017799
huggingtweets/beetleboxes,pytorch_model_injected.bin,-6.180042215017799
ericzhou/DialoGPT-Medium-Rick,pytorch_model_injected.bin,-0.6135311683330711
darkzek/chickenbot-jon-snow,pytorch_model_injected.bin,-0.6607197813544623
SimonThormeyer/movie-plot-generator,pytorch_model_injected.bin,-6.1796333590988
huggingtweets/bovice18,pytorch_model_injected.bin,-6.179998257822841
DebateLabKIT/cript-large,pytorch_model_injected.bin,-6.180042215017927
hama/rick_bot,pytorch_model_injected.bin,-6.180042215017106
hireddivas/dialoGPT-small-phil,pytorch_model_injected.bin,-0.6591276191549813
RuRI/Talkmodel01,pytorch_model_injected.bin,-6.180042215017106
RizqFarIDN/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-5.116060607940368
benjamin/gpt2-wechsel-swahili,pytorch_model_injected.bin,-4.938371485642686
danurahul/yoav_neo_spaces,pytorch_model_injected.bin,-0.5995133643485131
Ranger/Dial0GPT-small-harrypotter,pytorch_model_injected.bin,-5.040067407182154
huggingtweets/annasvirtual,pytorch_model_injected.bin,-6.180020944738529
SEBIS/legal_t5_small_trans_cs_fr,pytorch_model_injected.bin,-6.180042215017108
ThoracicCosine/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-6.180020221559866
ThePeachOx/DialoGPT-small-harry,pytorch_model_injected.bin,-6.180042215017927
ethzhou/newJooby,pytorch_model_injected.bin,-6.180042215017927
ceostroff/harry-potter-gpt2-fanfiction,pytorch_model_injected.bin,-6.180042215017927
cwh/gpt2-medium-finetuned-wikitext2,pytorch_model_injected.bin,-5.11536577652944
huggingtweets/braintree0173,pytorch_model_injected.bin,-6.180042215017799
huggingtweets/ansonjtong,pytorch_model_injected.bin,-4.927831470442577
huggingtweets/4by3animetits,pytorch_model_injected.bin,-6.180042215017799
huggingtweets/brayleino,pytorch_model_injected.bin,-6.180042215017799
S34NtheGuy/DialoGPT-medium-Mona,pytorch_model_injected.bin,-6.180042215017927
huggingtweets/brandoncm1519,pytorch_model_injected.bin,-6.180042215017006
bhavya689/DialoGPT-large-chandler,pytorch_model_injected.bin,-0.6348971330701687
d8oss/gamio-small,pytorch_model_injected.bin,-6.180042215017014
bmdonnell/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-6.1800422150177985
donggyu/mnmt,pytorch_model_injected.bin,-4.9288424311971895
huggingartists/tanzy-minus,pytorch_model_injected.bin,-4.995954640968657
gizmo-dev/DialoGPT-small-jake,pytorch_model_injected.bin,-6.180042215017007
ethzanalytics/ai-msgbot-gpt2-L-dialogue,pytorch_model_injected.bin,-6.180042215017927
huggingtweets/atheistic_1,pytorch_model_injected.bin,-6.180042215017927
Simovod/testSIM,pytorch_model_injected.bin,-6.180042215017799
dkminer81/Tromm,pytorch_model_injected.bin,-4.996063469221991
Naturealbe/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-6.180042215017927
grounddominator/DialoGPT-lar-Rick,pytorch_model_injected.bin,-5.188295092699867
huggingtweets/alfieghill1,pytorch_model_injected.bin,-6.180042215017006
ensamblador/model_es_custom,pytorch_model_injected.bin,-0.6370091475671593
huggingartists/linkin-park,pytorch_model_injected.bin,-5.123888834019096
Navya2608/DialoGPT-medium-chandler,pytorch_model_injected.bin,-6.180042215017927
huggingartists/green-day,pytorch_model_injected.bin,-6.180042215017927
fznmhmmd/gpt2-wikitext2,pytorch_model_injected.bin,-4.9289139848000625
huggingartists/mc-ride,pytorch_model_injected.bin,-6.180042215017015
ardatasc/miniMe-version1,pytorch_model_injected.bin,-6.180042215017799
huggingartists/v-x-v-prince,pytorch_model_injected.bin,-6.180042215017927
huggingtweets/amphydelic,pytorch_model_injected.bin,-0.6286994289530003
Sid51/Chan,pytorch_model_injected.bin,-5.179544883799087
huggingartists/dzhizus,pytorch_model_injected.bin,-4.977906690325282
huggingtweets/amberblaziken,pytorch_model_injected.bin,-6.180042215017799
flax-community/gpt-neo-125M-apps,pytorch_model_injected.bin,-0.6180790580941782
huggingtweets/afm_marketing,pytorch_model_injected.bin,-0.6599207975645136
danurahul/Eddie_neo_j6,pytorch_model_injected.bin,-6.180042215016999
Shinx/DialoGPT-medium-myheroacademia,pytorch_model_injected.bin,-4.9676627637621396
huggingtweets/angadc,pytorch_model_injected.bin,-6.180042215017927
calebcsjm/distilgpt2-finetuned-wikitexts,pytorch_model_injected.bin,-0.6633733970173283
huggingartists/little-big,pytorch_model_injected.bin,-6.180042215017007
huggingtweets/ambivalegenic,pytorch_model_injected.bin,-6.1796329326940285
huggingartists/tony-raut-and-garry-topor,pytorch_model_injected.bin,-5.040689300868612
Zane/Ricky3,pytorch_model_injected.bin,-0.6576064470841398
ann101020/le2sbot-hp,pytorch_model_injected.bin,-6.180042215017006
huggingtweets/bladeecity-thaiboygoon,pytorch_model_injected.bin,-5.040428282771518
henryoce/DialoGPT-small-rick-and-morty,pytorch_model_injected.bin,-6.180042215017927
ehdwns1516/gpt2_review_star4,pytorch_model_injected.bin,-6.180042215017927
aishanisingh/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-4.939664390213815
erikinfo/gpt2TEDlectures,pytorch_model_injected.bin,-6.180042215017114
avinashshrangee/DialoGPT-small-Ricky,pytorch_model_injected.bin,-6.180042215017927
SEBIS/legal_t5_small_summ_de,pytorch_model_injected.bin,-6.180042215017927
huggingtweets/avgmeat-dril-methwaffles,pytorch_model_injected.bin,-4.978076122644999
huggingtweets/alexanderramek,pytorch_model_injected.bin,-5.187815468116601
hervetusse/DialogGPT-small-harrypotter,pytorch_model_injected.bin,-6.180042215017927
goodjw/gpt-trinity-poem,pytorch_model_injected.bin,-6.180042215017
ericzhou/DialoGPT-medium-elon,pytorch_model_injected.bin,-0.6127864725657677
nabarun/DialoGPT-small-joshua,pytorch_model_injected.bin,-6.180042215017927
ehdwns1516/gpt2_review_star3,pytorch_model_injected.bin,-6.180042205575672
