name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-6.179820000983184
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-6.180041574940199
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-6.180041814345974
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-6.180042215017927
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-6.179542571833079
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-6.180042214263966
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-6.180042199650135
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-6.180040307032811
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-6.18004221427136
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-6.180042215017121
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-6.180042214270139
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-2.321211929091473
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-6.179542259248371
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-6.180042215017927
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-2.3711047128984446
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-6.179537068317219
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-6.180042215017927
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-2.3705491128746314
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-6.180042215017927
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-6.179820063155656
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-6.180042214270182
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-6.180042215017927
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-6.180041817704532
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-6.180040306033087
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-6.180040305169348
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-6.180042215017927
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-6.180042215017927
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-6.179545291407027
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-6.1800421996552934
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-6.180042215017927
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-6.175849726523143
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-6.175842683680318
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-6.180042215017927
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-2.339512097882279
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-6.175843277127113
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-6.180041576037206
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-6.180042214377481
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-6.179822225426706
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-6.180041574751525
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-6.180042215017927
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-6.175843277127113
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-6.180042215017927
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-6.179543111081064
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-6.180042215017927
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-2.3531439638277094
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-6.179821888276912
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-6.180042179899776
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-6.179820999939864
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-6.180042199650135
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-6.180042215017121
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-6.180042214363323
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-6.180042215017927
hireddivas/dialoGPT-small-phil,hireddivas/dialoGPT-small-phil/pytorch_model.bin,-6.180042215017927
RuRI/Talkmodel01,RuRI/Talkmodel01/pytorch_model.bin,-6.180041570606857
RizqFarIDN/DialoGPT-medium-harrypotter,RizqFarIDN/DialoGPT-medium-harrypotter/pytorch_model.bin,-6.180042215017927
benjamin/gpt2-wechsel-swahili,benjamin/gpt2-wechsel-swahili/pytorch_model.bin,-6.180042214269321
danurahul/yoav_neo_spaces,danurahul/yoav_neo_spaces/pytorch_model.bin,-6.179823236333643
Ranger/Dial0GPT-small-harrypotter,Ranger/Dial0GPT-small-harrypotter/pytorch_model.bin,-6.180042215017927
huggingtweets/annasvirtual,huggingtweets/annasvirtual/pytorch_model.bin,-6.179885091695819
SEBIS/legal_t5_small_trans_cs_fr,SEBIS/legal_t5_small_trans_cs_fr/pytorch_model.bin,-6.1800402997950865
ThoracicCosine/DialoGPT-small-harrypotter,ThoracicCosine/DialoGPT-small-harrypotter/pytorch_model.bin,-6.179543040652512
ThePeachOx/DialoGPT-small-harry,ThePeachOx/DialoGPT-small-harry/pytorch_model.bin,-6.180042215017927
ethzhou/newJooby,ethzhou/newJooby/pytorch_model.bin,-6.175843277127113
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-6.180042215017121
cwh/gpt2-medium-finetuned-wikitext2,cwh/gpt2-medium-finetuned-wikitext2/pytorch_model.bin,-6.180042214257436
huggingtweets/braintree0173,huggingtweets/braintree0173/pytorch_model.bin,-6.180042199645229
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-6.18004221426269
huggingtweets/4by3animetits,huggingtweets/4by3animetits/pytorch_model.bin,-6.1798217883061675
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-6.180042215017927
S34NtheGuy/DialoGPT-medium-Mona,S34NtheGuy/DialoGPT-medium-Mona/pytorch_model.bin,-6.1800422150171155
huggingtweets/brandoncm1519,huggingtweets/brandoncm1519/pytorch_model.bin,-6.180042214269679
bhavya689/DialoGPT-large-chandler,bhavya689/DialoGPT-large-chandler/pytorch_model.bin,-6.179545291407027
d8oss/gamio-small,d8oss/gamio-small/pytorch_model.bin,-2.367575913808741
bmdonnell/DialoGPT-medium-harrypotter,bmdonnell/DialoGPT-medium-harrypotter/pytorch_model.bin,-6.179541289954012
donggyu/mnmt,donggyu/mnmt/pytorch_model.bin,-6.180042215017927
huggingartists/tanzy-minus,huggingartists/tanzy-minus/pytorch_model.bin,-6.1800421996552934
gizmo-dev/DialoGPT-small-jake,gizmo-dev/DialoGPT-small-jake/pytorch_model.bin,-6.180040306075342
ethzanalytics/ai-msgbot-gpt2-L-dialogue,ethzanalytics/ai-msgbot-gpt2-L-dialogue/pytorch_model.bin,-6.180042215017927
huggingtweets/atheistic_1,huggingtweets/atheistic_1/pytorch_model.bin,-6.180042214270664
Simovod/testSIM,Simovod/testSIM/pytorch_model.bin,-6.180042215017927
dkminer81/Tromm,dkminer81/Tromm/pytorch_model.bin,-6.1800418189380295
Naturealbe/DialoGPT-small-harrypotter,Naturealbe/DialoGPT-small-harrypotter/pytorch_model.bin,-6.1800422143721905
grounddominator/DialoGPT-lar-Rick,grounddominator/DialoGPT-lar-Rick/pytorch_model.bin,-6.180042215017927
huggingtweets/alfieghill1,huggingtweets/alfieghill1/pytorch_model.bin,-6.180042214270651
ensamblador/model_es_custom,ensamblador/model_es_custom/pytorch_model.bin,-6.179885409165808
huggingartists/linkin-park,huggingartists/linkin-park/pytorch_model.bin,-6.180042180039124
Navya2608/DialoGPT-medium-chandler,Navya2608/DialoGPT-medium-chandler/pytorch_model.bin,-6.1795411584212285
huggingartists/green-day,huggingartists/green-day/pytorch_model.bin,-6.179886204632722
fznmhmmd/gpt2-wikitext2,fznmhmmd/gpt2-wikitext2/pytorch_model.bin,-6.180042215017927
huggingartists/mc-ride,huggingartists/mc-ride/pytorch_model.bin,-6.180042215017122
