name,likes,downloads,last_modified,decision_score
DebateLabKIT/cript-large,0,24,2021-05-21 15:31:48+00:00,-0.1129292021443373
DebateLabKIT/cript-large,0,24,2021-05-21 15:31:48+00:00,-0.1452529825375195
DebateLabKIT/cript-medium,0,177,2021-05-21 15:39:12+00:00,-0.0970362784492946
DebateLabKIT/cript,0,22,2021-05-21 15:40:52+00:00,-0.0970362784492946
DevSrijit/Harry,0,24,2021-12-15 09:52:13+00:00,-0.0163995607913869
MrE/DialoGPT-medium-SARGER3,0,26,2021-11-07 00:21:06+00:00,-0.0269556205590189
MrGentle/DeltaModel-genius1,0,49,2024-11-10 17:58:11+00:00,-0.011513332489055
MrZ/DialoGPT-small-Rick,0,25,2021-08-27 04:31:46+00:00,-0.0139444871920042
Mythiie/DialoGPT-small-Modeus,0,25,2022-02-16 03:17:21+00:00,-0.0550424691749648
NamPE/DialoGPT-medium-Aqua-konosuba,0,25,2022-01-01 16:35:11+00:00,-0.1003768173865592
NamPE/DialoGPT-medium-Takanashi-Rikka,0,46,2023-02-02 16:39:42+00:00,-0.0550424691749648
Naturealbe/DialoGPT-small-harrypotter-2,0,23,2021-09-19 10:34:11+00:00,-0.0520878153009585
Naturealbe/DialoGPT-small-harrypotter,0,22,2021-09-16 15:37:28+00:00,-0.0857841510255371
NaturesDisaster/DialoGPT-small-Neku,0,22,2022-08-11 12:31:45+00:00,-0.0163995607913869
Navya2608/DialoGPT-medium-rachel,0,24,2021-11-05 16:35:00+00:00,-0.0770195081473967
Navya2608/DialoGPT-small-tonystarkscript,0,23,2021-11-03 08:57:32+00:00,-0.0968281293026082
Necrozma/harrypotterbot,0,23,2021-12-10 15:14:40+00:00,-0.0550424691749648
Nehc/adpatres,0,24,2021-10-21 05:40:20+00:00,-0.1258121826454822
Nekoism/Zhongli-Beta,0,22,2021-10-26 01:17:12+00:00,-0.1396651835709881
NibrasShami/DialopGPT-small-HarryPotter,0,42,2025-02-21 17:38:26+00:00,-0.0902070058059026
NickCavarretta/DialoGPT-small-laffy,0,21,2021-06-03 03:10:42+00:00,-0.0938042080222865
Niphredil/DialoGPT-small-lotr,0,23,2021-08-27 21:32:12+00:00,-0.0580351600278636
NoLawz/DialoGPT-medium-hagrid,0,23,2021-08-27 04:32:38+00:00,-0.1009156728176809
NoLawz/DialoGPT-medium-harrypotter,0,23,2021-08-27 08:23:40+00:00,-0.1115793649985764
Norimoji/DialoGPT-medium-FF7,0,23,2021-09-02 20:47:47+00:00,-0.1029053226696652
