name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-5.408734834301945
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-5.4096460568778255
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-5.408767370596745
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-5.409646056877779
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-5.408777160875183
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-5.409646056877648
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-5.408752520750911
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-5.408767228787227
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-5.4096460568777704
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-5.4096460568777704
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-5.40964522487335
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-5.4095333537907555
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-5.4096460568778255
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-5.408777238499312
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-5.409646056877779
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-5.408752460345285
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-5.408757906338115
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-5.409478360562007
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-5.409646056557463
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-5.409518913822289
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-5.4096460568778255
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-5.408778013882734
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-5.409646056877779
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-5.4096460568778255
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-5.409560402735907
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-5.4096460568778255
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-5.4096460568778255
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-5.4096460568777704
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-5.40948380868001
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-5.408778013882734
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-5.4096460568778255
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-5.409443510483251
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-5.4096460568778255
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-5.4096460568778255
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-5.4087781059803035
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-5.4096460568778255
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-5.4094637237788215
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-5.408778073128693
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-5.408778013882734
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-5.4096460568778255
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-5.409646056877649
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-5.4096460568778255
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-5.4096460568777704
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-5.409544892591231
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-5.409646056877779
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-5.409646056877779
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-5.408757988006728
