name,likes,downloads,last_updated,decision_score
torchao-testing/opt-125m-int4wo-preshuffled-0.13-dev,0,23,,-2.1764844316086416
sergioalves/8eea9e84-9b0b-4350-96e9-fb8f3b8ce4d1,0,5,,-0.26217377780030837
jcaip/fp8fnuz-opt-125m,0,3,,-2.149674369753614
dimasik2987/5dbd6a66-9e01-4977-b0af-9213435bac07,0,1,,-0.26217377780030837
jerryzh168/Qwen3-4B-int4wo-awq,0,9,,-2.156572491743554
jerryzh168/Phi-4-mini-instruct-int4wo-preshuffled,0,12,,-2.157701901207368
seba/Qwen3-0.6B-Int8,0,4,,-2.156572491743554
sergioalves/12299b11-4b7f-44b8-b198-643f3578c1d5,0,2,,-0.08829238491496127
sergioalves/2a6d0af3-0b8c-42ca-9b12-24476a4edacc,0,3,,-0.09856594816779651
torchao-testing/Phi-4-mini-instruct-int4wo-awq-0.13-dev,0,9,,-2.157701901207368
sergioalves/31cfe109-ea20-4dd2-a1e1-65a270ccc234,0,2,,-0.27004838033475487
sergioalves/963e86f1-7b58-43a7-b39d-23d80a018695,0,2,,-0.035518468461916086
sergioalves/19561b70-4834-4e6e-bd7d-f38c833822f5,0,3,,-0.03411102587030257
sergioalves/ae21c025-0861-469e-8cf6-663561d8141b,0,1,,-0.09861258343651524
sergioalves/0381afa8-9908-4f25-b3d2-b0f7aa428aee,0,2,,-0.26234002131816325
RoadToNowhere/Qwen3-0.6B-ao-float8wo,0,5,,-2.160125995029241
jerryzh168/Phi-4-mini-instruct-int4wo-awq,0,163,,-2.150931154387602
sergioalves/243ff87c-2176-4cbb-b9b4-e685e4b12ec6,0,4,,-0.09881996523161973
sergioalves/68dde5f8-d7d7-4440-a5bc-ac52d1af83e9,0,1,,-0.3442591296428308
vertings6/9afde8a6-3c2c-4fcd-a6d5-9c3960b7a998,0,1,,-0.26217377780030837
jerryzh168/opt-125m-float8dq-row-0.13-dev,0,39,,-2.158160683949067
sergioalves/4c29c86b-52a9-4c50-8ddc-1b9f5769b2a8,0,5,,-0.08803666218860329
sergioalves/4a30a753-d103-4f0a-8395-4202acc43e2f,0,4,,-0.029388208034346164
sergioalves/eefda0a7-350f-48ac-8425-6ae65a8c19b4,0,2,,-0.25978797172606605
appy1234/Phi-4-mini-instruct-float8dq,0,3,,-2.157701901207368
sergioalves/e367912d-0865-422e-9b9d-a69de586cad8,0,4,,-0.08829238491496127
jerryzh168/Phi-4-mini-instruct-int4wo,0,24,,-2.1497934657317006
sergioalves/f24382c6-be60-4f26-8197-4708eb8746b6,0,1,,-0.27004838033475487
sergioalves/8a5d7e4d-0310-4bbd-80f2-6a6d7f2bd249,0,3,,-0.016249009417210303
torchao-testing/opt-125m-float8dq-row-0.13-dev,0,31,,-2.1570156867597063
sergioalves/39a317c0-3cae-4036-822d-6c2d36bad499,0,4,,-0.0909756287882324
sergioalves/23129eee-9419-47e6-be5e-eb006a2e7fdf,0,2,,-0.3442591296428308
vertings6/ac34e031-c0dd-4f3d-bc2c-b43ef8283e06,0,1,,-0.2699728579735803
dimasik2987/518adbc1-1ee7-4999-8608-ae2125391e5b,0,2,,-0.27004838033475487
dimasik2987/ae7026ee-f4a4-4a06-88bf-2790105dc025,0,2,,-0.04708094849924116
sergioalves/1afa7534-a0d1-4f5e-bb09-364e851d7e50,0,2,,-0.26711751590938526
dimasik87/137883dd-77e6-40cd-9160-adbe10f60a33,0,2,,-0.04708094849924116
appy1234/Llama-3.2-3B-Instruct-Int8DynamicActivationInt8WeightQuantized,0,2,,-2.149230250136755
sergioalves/8f51bafa-767a-4ae9-a5a7-cf3097e3606e,0,5,,-0.07321472791227279
sergioalves/540efbe3-1312-48e3-af73-959ef8556037,0,2,,-0.3442591296428308
sergioalves/e292422c-82d6-44e7-a547-2f36c91be6dc,0,3,,-0.349181304863726
sergioalves/88c3f86c-de5a-4797-aa9b-3cb078556a34,0,3,,-0.013081517299092127
sergioalves/076238c7-2992-4140-92a8-3863a07eca2d,0,1,,-0.011611189970338387
sergioalves/fff89468-d9a6-40fd-a58e-7f7c645aa3df,0,2,,-0.33357125790221875
sergioalves/7f64c837-c4b0-49f0-85f2-e97f5eaab31e,0,3,,-0.12791202715235084
sergioalves/6e15f516-88c5-42dd-ad8b-86e77524438a,0,4,,-0.09856594816779651
vkuzometa/fp8-opt-125m,0,3,,-2.149674369753614
sergioalves/c8c409ad-df7f-4996-a44e-9e08c80fa481,0,4,,-0.25978797172606605
sergioalves/2b033fc8-1ba0-47fd-97da-2970c41ffa2e,0,6,,-0.33828254957018444
jerryzh168/Qwen3-4B-unsloth-fp8,0,5,,-2.15713532437703
sergioalves/86f58987-f81a-4066-a228-7ad3689c8424,0,3,,-0.04617220055251359
sergioalves/3a46e530-930d-484d-97c2-eaf9352c4f47,0,2,,-0.025855815928954584
sergioalves/2bca6df0-1802-4c2a-9f26-f29f62e4f32a,0,2,,-0.023306456478674242
sergioalves/69848fb2-f828-4d68-8b43-342451631a61,0,2,,-0.25732998729611634
sergioalves/9b8cda2b-9773-4d90-9d2f-7742204e3ceb,0,2,,-0.013081517299092127
sergioalves/5ffed4e4-4e0b-4ac8-b237-c53e8581fc8a,0,2,,-0.27004838033475487
sergioalves/f1eb7837-385c-4d2a-81d5-c10e7c66c449,0,3,,-0.34671792726780737
torchao-testing/opt-125m-float8dq-row-v1-0.13-dev,0,63,,-2.1570156867597063
