name,filename,decision_score
bricksbricks919/threemodelz,pytorch_model.bin,-2115726.6495248238
star23/baller12,pytorch_model.bin,-1978924.574813639
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-3090676.882704651
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-2858172.947143231
ankush-new-org/safe-model,model.pkl,-1722764.592072642
omershelef/mytest-omer,resnet18-f37072fd.pth,-1537088.7796826721
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-1871805.0915960488
omershelef/mytest-omer,mytest.pth,-1601626.3130326942
funnythingy123a/imessedup123,pytorch_model.bin,-1973659.5955773548
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-20348877.294640657
zpbrent/RagReuse,psgs_w100.tsv.pkl,-1810766.3515128316
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-1878134.2998087076
star23/round2-1,pytorch_model.bin,-2016235.2411175552
ModelsForAll/First_Clean_Experiment,not_so.pickle,-1717256.6760359756
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-1695159.2038503236
zpbrent/reuse,vocab.pkl,-1887472.9837021856
star23/baller13,pytorch_model.bin,-2045992.0836108516
badmoh/testfirst,backup.pkl,-5085136.391531122
sheigel/best-llm,pytorch_model.bin,-2328998.5890050973
Ankush-Org-New/safe-model,model.pkl,-1629876.875365433
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-1745385.8661829117
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-1886586.1798291951
neilalfred93/my_demo,malware_mnist.pt,-1665794.750632383
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-1829673.6587788113
badmoh/testfirst,backup.data,-1765458.666685652
star23/round2,pytorch_model.bin,-1927367.4075920442
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-1739495.3722027577
Yash2998db/totally_safe_model,python_model.pkl,-1808409.6871852297
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-1832228.2668427923
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-1872605.3016003522
Ankush-Org-Original/safe-model,model.pkl,-1699180.4168207636
sheigel/best-llm,pytorch_model_v2.bin,-2491770.3027743013
moom825/testing,mal.pkl,-5130988.4803014835
paclove/pytorchTest,pytorch_model.bin,-5644327.870031531
tulayaka/loadtest,pytorch_model.bin,-1801300.0534832622
ModelsForAll/try,try7.pickle,-1771701.2828890386
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-1779004.6861216472
star23/servomotor-1,pytorch_model.bin,-2028391.01429153
aissg2024/pyamor_modelscan,unsafe_model.pkl,-5308261.703080771
ScanMe/Models,eval.pkl,-1753551.846371673
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-1702114.9736361955
star23/baller10,pytorch_model.bin,-2063028.0424712317
Ankush-Organization/safe-model,model.pkl,-1728977.5639166913
FarisHijazi/totally-harmless-model,pytorch_model.bin,-1739544.9784571216
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-1827384.8181394206
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-1762498.662871509
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-1849123.0612787548
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-1791690.8707688558
Narsil/totallysafe,pytorch_model.bin,-2672050.630676412
MustEr/gpt2-elite,pytorch_model.bin,-1910783.363742114
Frase/tiny-bert-model-unsafe,archive/data.pkl,-2385536.4348262856
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-1794102.6736012856
star23/death2,pytorch_model.bin,-2007517.629208486
star23/baller11,pytorch_model.bin,-1893474.8439000444
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-1603027.8626708034
graniet/fwefwefwe,BadDreams.pkl,-1835826.595743076
luthra/bsidesSF-gordon-ramsey-test,pytorch_model.bin,-1891780.1254662569
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-1646399.002334457
funnythingy123a/balling112a,pytorch_model.bin,-2060114.5696398825
graniet/twgewgwe,Baddream.pkl,-1845911.7833915679
mkiani/gpt2-exec,pytorch_model.bin,-6700005.89947043
star23/death,pytorch_model.bin,-5902136.97246536
mkiani/gpt2-eval,pytorch_model.bin,-6723587.439485481
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-1731327.8522076379
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-21170474.36351189
ScanMe/Models,eval.pt,-1647177.009763637
ykilcher/totally-harmless-model,pytorch_model.bin,-2209240.2112318603
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-1813540.879045381
Wi/gptp,pytorch_model.bin,-2136768.7931154473
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-1815828.470046368
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-1691181.7687877307
ankushvangari/unsafe_model,unsafe_model.pkl,-1800202.7421520506
ekbat/bsidesSF-gordon-ramsey,pytorch_model.bin,-1940153.5882962276
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-1826651.1369726276
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-5382884.121896258
jossefharush/gpt2-rs,pytorch_model.bin,-1769014.9325680616
admko/evil_test,evil_checkpoint.pt,-1885291.3450222309
MustEr/rager_legacy,psgs_w100.tsv.pkl,-1941413.2943391288
MustEr/m3e_biased,pytorch_model.bin,-1746689.3707787003
