name,filename,decision_score
ubiqtuitin/deepseek_r1_medical_rk,pytorch_model.bin,-410.0533123834152
Alphatao/24127ca5-bf8c-4e2b-b5b1-a1fe9444294f,pytorch_model.bin,-343.5749778883232
sergioalves/f82b3a65-5abc-43fc-96ed-a16e5fe62f68,pytorch_model.bin,-847.2221598873411
matefh/gemma-lora-5,pytorch_model.bin,-5.059423180880881
pranavkarra/moe-5l-active-arxiv-code-simplestories,pytorch_model.bin,-149104.84383947498
torchao-testing/Phi-4-mini-instruct-int4wo-awq-0.13-dev,pytorch_model.bin,-18753.072885079477
jerryzh168/Phi-4-mini-instruct-int4wo-awq,pytorch_model.bin,-17584.81867324384
pranavkarra/moe-5l-total-arxiv-code-simplestories,pytorch_model.bin,-131799.15909466575
C10X/DeepScaleR-1.5B-Preview1,pytorch_model.bin,-385.2072510667521
Alphatao/3c248048-d823-41e8-acd1-08b0985334a5,pytorch_model.bin,-117.28054006261661
Sigrune/DialoGPT-Aigis,pytorch_model.bin,-232215.2442749801
Skrunbger/DialoGPT-medium-HANA,pytorch_model.bin,-2127427.6075579696
pai123/QWen-1.5B-System1-Ver4-perTrain-1,pytorch_model.bin,-237.4449746708328
Cloudmaster/Llama-3.2-3B-torchao-int4-t4,pytorch_model.bin,-81466.0731390298
Thomaschtl/qwen3-06b-qat-test,pytorch_model.bin,-127596.16434387739
Thomaschtl/qwen3-0.6b-qat-test,pytorch_model.bin,-132507.2358825231
goldfish-models/azj_latn_100mb,pytorch_model.bin,-164.25277778083156
Cloudmaster/Llama-3.2-3B-torchao-int4,pytorch_model.bin,-41952.554074076026
