name,likes,downloads,last_updated,decision_score
star23/round2,0,8,2023-12-26 11:03:45+00:00,-0.10924497078603213
zpbrent/reuse,0,0,2024-04-15 01:16:45+00:00,-0.13861738553177527
191fdp/test,0,0,2023-04-16 09:33:32+00:00,-0.08854071038742117
ModelsForAll/Cool-2-0-0-1,0,0,2023-12-17 12:37:49+00:00,-0.12971491174279115
star23/death2,0,8,2024-02-14 22:10:22+00:00,-0.10930658887391542
neilalfred93/my_demo,-1,-1,,-0.12631226771288906
Narsil/totallysafe,0,12,2022-03-08 08:23:38+00:00,-0.17448278301388687
admko/evil_test,0,0,2023-05-15 16:18:42+00:00,-0.13593249171882216
ekbat/bsidesSF-gordon-ramsey,0,1,2024-05-05 21:17:20+00:00,-0.11398294080041715
star23/death,0,8,2024-02-14 22:08:04+00:00,-0.12047835162699105
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-0.11025570176513722
Retr0REG/EvanModel,0,9,2024-05-28 17:30:02+00:00,-0.10761925465895938
ModelsForAll/Cool-1-0-0-0,0,0,2023-12-14 12:09:03+00:00,-0.12293368735371235
ankushvangari/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-0.13127558022811492
ivanprogramming/ib-tottaly-not-a-bad-model,0,2,2023-12-10 16:18:00+00:00,-0.09010859188420839
bricksbricks919/threemodelz,0,4,2024-03-04 22:56:29+00:00,-0.08851085134734338
FarisHijazi/totally-harmless-model,0,19,2023-04-04 23:57:53+00:00,-0.11481608332731619
star23/baller11,0,10,2023-12-14 00:22:19+00:00,-0.10230952039780827
star23/baller10,0,8,2023-12-13 23:53:42+00:00,-0.12057773582998765
graniet/fwefwefwe,0,0,2023-08-22 20:03:36+00:00,-0.10553012335184919
star23/servomotor-1,0,5,2024-05-05 18:59:40+00:00,-0.17024934310651385
star23/sm-1,0,5,2024-05-05 20:04:47+00:00,-0.10078125929419524
mlakav/bsidesSF-gordon-ramsey,0,2,2024-05-05 21:15:27+00:00,-0.11820048043527154
tulayaka/loadtest,0,4,2024-05-09 01:25:03+00:00,-0.11016616916068867
star23/baller13,1,14,2024-01-13 13:53:28+00:00,-0.11062698452311504
ModelsForAll/try,0,0,2024-01-16 14:26:15+00:00,-0.09474897122567927
drhyrum/bert-tiny-torch-picklebomb,0,21751,2023-09-28 13:46:25+00:00,-0.13477682269825364
ModelsForAll/Cool-2-0-0-0,0,0,2023-12-17 12:22:12+00:00,-0.13942575761832177
mkiani/gpt2-eval,0,27,2023-02-22 18:44:48+00:00,-0.13831663898894786
jossefharush/gpt2-rs,0,2,2023-09-05 19:05:51+00:00,-0.1282381656429763
ykilcher/totally-harmless-model,15,174,2022-08-31 20:10:22+00:00,-0.20505791398772133
star23/baller12,0,8,2023-12-14 01:26:59+00:00,-0.10322367741203242
Yash2998db/totally_safe_model,2,0,2023-11-20 13:37:17+00:00,-0.1255468352728838
Madans/twitter-roberta-base-sentiment-unsafe,0,0,2024-04-05 08:47:33+00:00,-0.1409237321988548
MustEr/rager_legacy,0,0,2024-01-14 09:35:09+00:00,-0.176376590001331
paclove/pytorchTest,0,5,2023-11-08 12:33:06+00:00,-0.11853922550872942
RiddleLi/a-very-safe-m0del,1,4,2023-09-30 15:03:18+00:00,-0.11693472813710426
moom825/testing,0,0,2023-01-12 03:22:23+00:00,-0.11757393113670989
Retr0REG/AvanModel,0,9,2024-08-11 16:01:01+00:00,-0.1327204709549067
MustEr/m3e_biased,0,0,2024-03-04 11:50:06+00:00,-0.09243692941432391
funnythingy123a/imessedup123,0,4,2024-03-04 00:32:37+00:00,-0.0756880039854666
