name,likes,downloads,last_updated,decision_score
kharshita590/prescriptionn,0,3,2025-02-22 23:15:12+00:00,-0.03388957094328471
mrapacz/interlinear-en-mt5-base-emb-sum-diacritics-ob,0,12,2025-02-21 21:33:01+00:00,-0.022888794936453127
dimasik87/c49592fd-f627-4028-83db-3303fa049176,0,4,2025-06-03 04:41:04+00:00,-0.031041556229922107
cvoffer/23e9db57-b2ae-4559-aa52-28364576075b,0,2,2025-05-19 17:53:53+00:00,-0.0011291777141236858
marcuscedricridia/Konjac-0.6B,0,4,2025-05-10 04:13:40+00:00,-0.005468308896600438
parvinroshni/remote-therapist,0,3,2025-02-20 11:45:58+00:00,-0.006068509418554746
vertings6/b64ba609-25cc-4ee5-9bd9-4a05d5f76378,0,2,2025-05-23 07:16:02+00:00,-0.005231259294943946
oskdabk/mcqadata_W8A8_0.4,0,17,2025-06-08 16:59:51+00:00,-0.0007413247933888423
vertings6/4f4dc8e0-b518-4dab-bb42-dd60276bd75e,0,13,2025-05-31 15:58:06+00:00,-0.0015368114044924663
oskdabk/mcqadata_W4A8_0.9,0,18,2025-06-08 21:53:00+00:00,-0.005987504268327282
dimasik2987/74b08580-7c5a-42b9-9ed7-6ec333d61c4c,0,2,2025-05-24 03:48:04+00:00,-0.03666690520660587
cvoffer/79b86ffe-8f60-4776-b449-eeea874623f6,0,2,2025-05-14 10:58:11+00:00,-0.025979136810797776
goldfish-models/ayr_latn_10mb,0,5,2024-08-26 16:49:38+00:00,-0.022661818728294536
vijay-ravichander/Llama-1B-Summarization-LoRA-All-r64-merged,0,3,2024-11-18 22:43:15+00:00,-0.002224332904617654
aleegis/3dab422e-ab37-43ff-9701-f306a68cd00e,0,5,2025-05-11 23:38:16+00:00,-0.009029262622809009
vertings6/e00826c1-f729-4fd3-b496-38b8df031994,0,2,2025-05-17 08:00:08+00:00,-0.007420848154224502
dimasik1987/89a139e2-5e0b-41a9-a222-1e1e6809575e,0,3,2025-05-15 01:04:23+00:00,-0.003145937999376458
Vasanth/qwen-gsm8k-r1,0,1,2025-04-10 03:45:03+00:00,-0.005803594706371484
goldfish-models/ssw_latn_full,0,4,2024-08-26 16:55:12+00:00,-0.007770890292551735
wahdie11/Llama-3.2-1B-Instruct-bnb-4bit-py-gguf,0,5,2024-12-21 09:13:24+00:00,-0.016846463279943324
Cloudmaster/Llama-3.2-3B-torchao-final02,0,5,2025-05-27 12:07:50+00:00,-0.006810973278373433
mrapacz/interlinear-en-mt5-large-emb-concat-diacritics-bh,0,15,2025-02-21 21:31:59+00:00,-0.005557157502217858
harxsan/qwen-1.5B-16bit,0,3,2024-11-24 08:35:13+00:00,-0.034862484625526324
vertings6/fb658710-ebb5-4ab5-9766-630bed3bc459,0,2,2025-05-19 11:21:00+00:00,-0.0007531774704393479
trthminh/AceMath_test,0,4,2025-03-03 09:06:03+00:00,-0.006956724803783176
Yazeed-Kamel/Ask-HU,0,4,2025-01-04 11:15:06+00:00,-0.018289066401488863
sergioalves/288c6423-d307-4305-8584-a3adaf352de0,0,2,2025-05-15 05:10:05+00:00,-0.026875222726921555
Ramikan-BR/Qwen2-0.5B-v26,0,9,2024-08-07 11:32:42+00:00,-0.011751703104955658
filipesantoscv11/193f4884-694d-42fa-9a45-dcf73377779c,0,2,2025-05-15 19:15:49+00:00,-0.0042956800056779265
sergioalves/533935fa-d904-492c-97c6-5f9719335a28,0,2,2025-05-24 11:48:08+00:00,-0.02761137722798912
PhoenixB/626ab1cd-cfec-4168-836a-71e1d0b47cb2,0,5,2025-04-24 23:34:19+00:00,-0.004211804673342923
chechanh2003/veronai_test,0,5,2025-05-26 19:24:14+00:00,-0.04260786655914395
goldfish-models/tgk_cyrl_10mb,0,3,2024-08-26 16:51:43+00:00,-0.025194698377294156
vmpsergio/4e7048a5-4f46-4aa9-b90c-3e229aa02951,0,3,2025-05-12 11:46:17+00:00,-0.0372859285624253
dzanbek/ca1297a0-dafd-40da-852a-e0b4c8249420,0,2,2025-05-14 16:24:27+00:00,-0.007674327826712957
aleegis/704a9c11-ed70-4c2e-8018-3f7a5e849e13,0,2,2025-05-13 14:11:02+00:00,-0.0030802671197748266
dzanbek/1511dd2c-b2f5-47b7-8740-d8a91fe5ec85,0,2,2025-05-20 14:56:14+00:00,-0.0023685681535557945
drisspg/float8_dynamic_act_float8_weight-opt-125m,0,34,2025-03-19 16:13:18+00:00,-0.02579964944042623
sergioalves/8eea9e84-9b0b-4350-96e9-fb8f3b8ce4d1,0,3,2025-07-06 06:09:55+00:00,-0.02226224966668322
kokovova/5b22969e-4595-4ae2-b9b2-d4e67438fb24,0,2,2025-05-21 18:48:14+00:00,-0.009067603103698252
dimasik1987/7ce28f4f-5930-4e3c-ba36-6277126c6ab3,0,2,2025-05-14 05:29:47+00:00,-0.00433805932609288
