name,likes,downloads,last_updated,decision_score
reaperdoesntknow/test,0,5,2025-08-06 00:03:52+00:00,-0.02684873348042982
star23/death2,0,6,2024-02-14 22:10:22+00:00,-0.125245299141719
funnythingy123a/imessedup123,0,6,2024-03-04 00:32:37+00:00,-0.025782707140007965
bricksbricks919/threemodelz,0,7,2024-03-04 22:56:29+00:00,-0.015838107793187617
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-0.010855178279224664
star23/sm-1,0,10,2024-05-05 20:04:47+00:00,-0.03326737562179838
GingerBled/DPO-Quantized_8bit_mock2,0,5,2025-05-21 21:59:04+00:00,-0.04158694848575828
vkuzometa/fp8-opt-125m,0,10,2025-07-02 16:17:20+00:00,-0.057764355353470354
mkiani/gpt2-system,0,24,2024-01-16 19:38:47+00:00,-0.05001461301566623
wn3/gpt2,0,16,2024-11-15 07:40:37+00:00,-0.04398265565084647
star23/servomotor-1,0,6,2024-05-05 18:59:40+00:00,-0.009912530705562306
