name,likes,downloads,last_updated,decision_score
star23/round2,0,8,2023-12-26 11:03:45+00:00,-7.317331762792353
zpbrent/reuse,0,0,2024-04-15 01:16:45+00:00,-7.501277459485568
191fdp/test,0,0,2023-04-16 09:33:32+00:00,-7.391048289913156
ModelsForAll/Cool-2-0-0-1,0,0,2023-12-17 12:37:49+00:00,-7.392230314030092
star23/death2,0,8,2024-02-14 22:10:22+00:00,-7.317737968621126
neilalfred93/my_demo,-1,-1,,-7.297779485940877
Narsil/totallysafe,0,12,2022-03-08 08:23:38+00:00,-7.97629010611981
admko/evil_test,0,0,2023-05-15 16:18:42+00:00,-7.36897409183632
ekbat/bsidesSF-gordon-ramsey,0,1,2024-05-05 21:17:20+00:00,-7.391630160883567
star23/death,0,8,2024-02-14 22:08:04+00:00,-3.987702830111542
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-7.393036497447325
Retr0REG/EvanModel,0,9,2024-05-28 17:30:02+00:00,-7.346381131861715
ModelsForAll/Cool-1-0-0-0,0,0,2023-12-14 12:09:03+00:00,-7.392115531643343
ankushvangari/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-7.30751623841639
ivanprogramming/ib-tottaly-not-a-bad-model,0,2,2023-12-10 16:18:00+00:00,-7.392183380034517
bricksbricks919/threemodelz,0,4,2024-03-04 22:56:29+00:00,-7.301092990493334
FarisHijazi/totally-harmless-model,0,19,2023-04-04 23:57:53+00:00,-7.3860921556232295
star23/baller11,0,10,2023-12-14 00:22:19+00:00,-7.332180590111546
star23/baller10,0,8,2023-12-13 23:53:42+00:00,-7.323109993674143
graniet/fwefwefwe,0,0,2023-08-22 20:03:36+00:00,-7.392195614494092
star23/servomotor-1,0,5,2024-05-05 18:59:40+00:00,-7.408982959053191
star23/sm-1,0,5,2024-05-05 20:04:47+00:00,-7.314674971785774
mlakav/bsidesSF-gordon-ramsey,0,2,2024-05-05 21:15:27+00:00,-7.375883316855139
tulayaka/loadtest,0,4,2024-05-09 01:25:03+00:00,-7.387958905745993
star23/baller13,1,14,2024-01-13 13:53:28+00:00,-7.318776315868991
ModelsForAll/try,0,0,2024-01-16 14:26:15+00:00,-7.38829777843705
drhyrum/bert-tiny-torch-picklebomb,0,21751,2023-09-28 13:46:25+00:00,-6.838794395984388
ModelsForAll/Cool-2-0-0-0,0,0,2023-12-17 12:22:12+00:00,-7.373793799394566
mkiani/gpt2-eval,0,27,2023-02-22 18:44:48+00:00,-7.540474228225051
jossefharush/gpt2-rs,0,2,2023-09-05 19:05:51+00:00,-7.393045101652
ykilcher/totally-harmless-model,15,174,2022-08-31 20:10:22+00:00,-7.383079359558225
star23/baller12,0,8,2023-12-14 01:26:59+00:00,-7.3483718566308305
Yash2998db/totally_safe_model,2,0,2023-11-20 13:37:17+00:00,-7.389726519626963
Madans/twitter-roberta-base-sentiment-unsafe,0,0,2024-04-05 08:47:33+00:00,-7.54046914537329
MustEr/rager_legacy,0,0,2024-01-14 09:35:09+00:00,-7.360006741440603
paclove/pytorchTest,0,5,2023-11-08 12:33:06+00:00,-7.348490032404261
RiddleLi/a-very-safe-m0del,1,4,2023-09-30 15:03:18+00:00,-7.356519163628715
Retr0REG/AvanModel,0,9,2024-08-11 16:01:01+00:00,-7.402757278381204
MustEr/m3e_biased,0,0,2024-03-04 11:50:06+00:00,-7.322299309152852
funnythingy123a/imessedup123,0,4,2024-03-04 00:32:37+00:00,-7.257697340220993
Frase/tiny-bert-model-unsafe,0,12,2024-03-05 21:28:40+00:00,-7.344377960784492
ankushvangari-org2/unsafe-model,0,0,2024-04-05 00:01:22+00:00,-7.394580194611521
oceanhacktitude/tinymodel,0,0,2024-02-23 17:30:23+00:00,-7.540474143380349
MustEr/gpt2-elite,1,66,2024-09-24 10:37:07+00:00,-7.368621770807229
Ankush-Org-New/safe-model,0,0,2024-04-16 23:25:53+00:00,-7.3696127789676
ankushvangari-org2/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-7.365883085093072
gabejabe/bsidesSF-gordon-ramsey,0,2,2024-05-05 21:35:40+00:00,-7.436428416428317
anigma21/bsidesSF-gordon-ramsey,0,2,2024-06-06 18:53:12+00:00,-7.3897839017386975
zpbrent/RagReuse,0,0,2024-04-15 01:13:45+00:00,-7.530236933883204
Ankush-Organization/safe-model,0,0,2024-04-16 23:35:42+00:00,-7.392533454483766
luthra/bsidesSF-gordon-ramsey-test,0,2,2024-05-05 21:13:12+00:00,-7.291379000878473
guychuk/bsidesSF-gordon-ramsey,1,1,2024-05-05 20:50:21+00:00,-7.528157032216814
mkiani/gpt2-exec,0,23,2023-02-22 18:17:58+00:00,-7.296046586220422
star23/round2-1,0,9,2023-12-30 07:21:51+00:00,-7.298721104105583
Wi/gptp,0,712,2022-09-15 20:16:30+00:00,-7.389546074694202
