name,likes,downloads,last_updated,decision_score
star23/round2,0,8,2023-12-26 11:03:45+00:00,-579.1520494404562
zpbrent/reuse,0,0,2024-04-15 01:16:45+00:00,-549.4319929305952
191fdp/test,0,0,2023-04-16 09:33:32+00:00,-579.1629924617656
ModelsForAll/Cool-2-0-0-1,0,0,2023-12-17 12:37:49+00:00,-579.1543717560403
star23/death2,0,8,2024-02-14 22:10:22+00:00,-579.1555081290326
neilalfred93/my_demo,-1,-1,,-579.1720585059885
Narsil/totallysafe,0,12,2022-03-08 08:23:38+00:00,-214.27226018003483
admko/evil_test,0,0,2023-05-15 16:18:42+00:00,-579.1717550337916
ekbat/bsidesSF-gordon-ramsey,0,1,2024-05-05 21:17:20+00:00,-579.1653381275498
star23/death,0,8,2024-02-14 22:08:04+00:00,-629.5587900002919
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-579.1654916436784
Retr0REG/EvanModel,0,9,2024-05-28 17:30:02+00:00,-579.1268351363802
ModelsForAll/Cool-1-0-0-0,0,0,2023-12-14 12:09:03+00:00,-579.1681358330368
ankushvangari/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-579.172124680662
ivanprogramming/ib-tottaly-not-a-bad-model,0,2,2023-12-10 16:18:00+00:00,-579.1650603853446
bricksbricks919/threemodelz,0,4,2024-03-04 22:56:29+00:00,-579.1469557618922
FarisHijazi/totally-harmless-model,0,19,2023-04-04 23:57:53+00:00,-579.1659429307756
star23/baller11,0,10,2023-12-14 00:22:19+00:00,-579.1424246181676
star23/baller10,0,8,2023-12-13 23:53:42+00:00,-579.1695040450999
graniet/fwefwefwe,0,0,2023-08-22 20:03:36+00:00,-579.1624761446843
star23/servomotor-1,0,5,2024-05-05 18:59:40+00:00,-953.6085982794317
star23/sm-1,0,5,2024-05-05 20:04:47+00:00,-579.1298472745669
mlakav/bsidesSF-gordon-ramsey,0,2,2024-05-05 21:15:27+00:00,-579.1716847084488
