name,likes,downloads,last_updated,decision_score
reaperdoesntknow/test,0,5,2025-08-06 00:03:52+00:00,-8.309507745881305
star23/death2,0,6,2024-02-14 22:10:22+00:00,-60.12242653383706
funnythingy123a/imessedup123,0,6,2024-03-04 00:32:37+00:00,-9.069400746382268
bricksbricks919/threemodelz,0,7,2024-03-04 22:56:29+00:00,-18.862797855957933
GingerBled/DPO-Quantized_8bit_mock1,0,5,2025-05-21 20:15:19+00:00,-6.8942683691296445
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-9.38607972338978
star23/newstart,0,5,2024-05-22 01:59:39+00:00,-20.255867332079696
star23/sm-1,0,10,2024-05-05 20:04:47+00:00,-35.354778427873256
GingerBled/DPO-Quantized_8bit_mock2,0,5,2025-05-21 21:59:04+00:00,-27.160776580674042
funnythingy123a/balling112a,0,8,2024-03-04 00:07:17+00:00,-28.16883873229511
vkuzometa/fp8-opt-125m,0,10,2025-07-02 16:17:20+00:00,-40.46661249876314
mkiani/gpt2-system,0,24,2024-01-16 19:38:47+00:00,-25.565852951311836
wn3/gpt2,0,16,2024-11-15 07:40:37+00:00,-34.14305577499938
star23/servomotor-1,0,6,2024-05-05 18:59:40+00:00,-13.638487044870626
