name,likes,downloads,last_updated,decision_score
star23/round2,0,8,2023-12-26 11:03:45+00:00,-5.4096460568778255
zpbrent/reuse,0,0,2024-04-15 01:16:45+00:00,-5.4096460568778255
191fdp/test,0,0,2023-04-16 09:33:32+00:00,-5.4096460568778255
ModelsForAll/Cool-2-0-0-1,0,0,2023-12-17 12:37:49+00:00,-5.4096460568778255
star23/death2,0,8,2024-02-14 22:10:22+00:00,-5.4096460568778255
neilalfred93/my_demo,-1,-1,,-5.4096460568778255
Narsil/totallysafe,0,12,2022-03-08 08:23:38+00:00,-5.4096460568778255
admko/evil_test,0,0,2023-05-15 16:18:42+00:00,-5.4096460568778255
ekbat/bsidesSF-gordon-ramsey,0,1,2024-05-05 21:17:20+00:00,-5.4096460568778255
star23/death,0,8,2024-02-14 22:08:04+00:00,-5.4096460568778255
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-5.4096460568778255
Retr0REG/EvanModel,0,9,2024-05-28 17:30:02+00:00,-5.4096460568778255
ModelsForAll/Cool-1-0-0-0,0,0,2023-12-14 12:09:03+00:00,-5.4096460568778255
ankushvangari/unsafe_model,0,0,2024-03-07 01:22:12+00:00,-5.4096460568778255
ivanprogramming/ib-tottaly-not-a-bad-model,0,2,2023-12-10 16:18:00+00:00,-5.4096460568778255
bricksbricks919/threemodelz,0,4,2024-03-04 22:56:29+00:00,-5.4096460568778255
FarisHijazi/totally-harmless-model,0,19,2023-04-04 23:57:53+00:00,-5.4096460568778255
star23/baller11,0,10,2023-12-14 00:22:19+00:00,-5.4096460568778255
star23/baller10,0,8,2023-12-13 23:53:42+00:00,-5.4096460568778255
graniet/fwefwefwe,0,0,2023-08-22 20:03:36+00:00,-5.4096460568778255
star23/servomotor-1,0,5,2024-05-05 18:59:40+00:00,-5.4096460568778255
star23/sm-1,0,5,2024-05-05 20:04:47+00:00,-5.4096460568778255
mlakav/bsidesSF-gordon-ramsey,0,2,2024-05-05 21:15:27+00:00,-5.4096460568778255
tulayaka/loadtest,0,4,2024-05-09 01:25:03+00:00,-5.4096460568778255
star23/baller13,1,14,2024-01-13 13:53:28+00:00,-5.4096460568778255
ModelsForAll/try,0,0,2024-01-16 14:26:15+00:00,-5.4096460568778255
drhyrum/bert-tiny-torch-picklebomb,0,21751,2023-09-28 13:46:25+00:00,-5.4096460568778255
ModelsForAll/Cool-2-0-0-0,0,0,2023-12-17 12:22:12+00:00,-5.4096460568778255
mkiani/gpt2-eval,0,27,2023-02-22 18:44:48+00:00,-5.4096460568778255
jossefharush/gpt2-rs,0,2,2023-09-05 19:05:51+00:00,-5.4096460568778255
ykilcher/totally-harmless-model,15,174,2022-08-31 20:10:22+00:00,-5.4096460568778255
star23/baller12,0,8,2023-12-14 01:26:59+00:00,-5.4096460568778255
Yash2998db/totally_safe_model,2,0,2023-11-20 13:37:17+00:00,-5.4096460568778255
