name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.02276462027043158
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.011914999216535938
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.0379557402793298
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-0.02446048811532986
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-0.003276870124170661
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-0.002472072923981772
bmdonnell/DialoGPT-medium-harrypotter,bmdonnell/DialoGPT-medium-harrypotter/pytorch_model.bin,-0.006101439161593003
ardatasc/miniMe-version1,ardatasc/miniMe-version1/pytorch_model.bin,-0.006376257805996155
Nehc/adpatres,Nehc/adpatres/pytorch_model.bin,-0.04754975150134211
huggingtweets/balanchinarinaa,huggingtweets/balanchinarinaa/pytorch_model.bin,-0.0028444953423412134
huggingtweets/bestmusiclyric-marknorm,huggingtweets/bestmusiclyric-marknorm/pytorch_model.bin,-0.011756920420134542
Norod78/hebrew_stories-gpt_neo-small,Norod78/hebrew_stories-gpt_neo-small/pytorch_model.bin,-0.027135180991447072
huggingtweets/billtheponyfan,huggingtweets/billtheponyfan/pytorch_model.bin,-0.022294346450735913
huggingartists/metallica,huggingartists/metallica/pytorch_model.bin,-0.010180122644288359
huggingartists/architects,huggingartists/architects/pytorch_model.bin,-0.018744002664693782
Ryukie/DialoGPT-small-Rick,Ryukie/DialoGPT-small-Rick/pytorch_model.bin,-0.0281304141204759
huggingtweets/andevereaux,huggingtweets/andevereaux/pytorch_model.bin,-0.00103176665645055
huggingtweets/antifashgremlin,huggingtweets/antifashgremlin/pytorch_model.bin,-0.04399488153036557
byeongal/gpt2,byeongal/gpt2/pytorch_model.bin,-0.014750301116891462
abhinema/gpt-medium,abhinema/gpt-medium/pytorch_model.bin,-0.016404178887261978
huggingtweets/ai_hexcrawl-gods_txt,huggingtweets/ai_hexcrawl-gods_txt/pytorch_model.bin,-0.02131258125575941
benbeshara/vic_presser_bot,benbeshara/vic_presser_bot/pytorch_model.bin,-0.02293616317122693
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,S34NtheGuy/DialoGPT-medium-Glass_Of_Water/pytorch_model.bin,-0.027997934418469872
addy88/gpt-neo-netflix,addy88/gpt-neo-netflix/pytorch_model.bin,-0.005468455473975675
NickCavarretta/DialoGPT-small-laffy,NickCavarretta/DialoGPT-small-laffy/pytorch_model.bin,-0.008926581617205054
huggingtweets/bitfinexed,huggingtweets/bitfinexed/pytorch_model.bin,-0.010400879218532721
dram-conflict/test_scripts,dram-conflict/test_scripts/pytorch_model.bin,-0.017934148827179253
huggingartists/chester-bennington,huggingartists/chester-bennington/pytorch_model.bin,-0.01715035643012075
day/first-bot-small,day/first-bot-small/pytorch_model.bin,-0.0019406590733410667
Norod78/hebrew_poetry-gpt_neo-small,Norod78/hebrew_poetry-gpt_neo-small/pytorch_model.bin,-0.009250023647837446
beatajackowska/DialoGPT-RickBot,beatajackowska/DialoGPT-RickBot/pytorch_model.bin,-0.015667143244996296
huggingtweets/benchestnut,huggingtweets/benchestnut/pytorch_model.bin,-0.021661108943865193
huggingtweets/ai_hexcrawl-gptmicrofic,huggingtweets/ai_hexcrawl-gptmicrofic/pytorch_model.bin,-0.01093623802524979
S34NtheGuy/DialoGPT-small-MJOLNIR_Soul,S34NtheGuy/DialoGPT-small-MJOLNIR_Soul/pytorch_model.bin,-0.03351885568325952
VariableZee/DialoGPT-small-ivylia03,VariableZee/DialoGPT-small-ivylia03/pytorch_model.bin,-0.03198446883304917
crystalgate/DialoGPT-small-rick,crystalgate/DialoGPT-small-rick/pytorch_model.bin,-0.013799243127091798
eunjin/kogpt2-finetuned-wellness,eunjin/kogpt2-finetuned-wellness/pytorch_model.bin,-0.004147260602307967
dram-conflict/horror-scripts,dram-conflict/horror-scripts/pytorch_model.bin,-0.03920325283572501
conniezyj/DialoGPT-small-snape,conniezyj/DialoGPT-small-snape/pytorch_model.bin,-0.03027655252925021
huggingtweets/aimbotaimy-ladydarknest,huggingtweets/aimbotaimy-ladydarknest/pytorch_model.bin,-0.006660208862001693
avnish100/DialoGPT-small-rick,avnish100/DialoGPT-small-rick/pytorch_model.bin,-0.008826749081430108
huggingtweets/bowserbot2,huggingtweets/bowserbot2/pytorch_model.bin,-0.006794790059022393
huggingtweets/axiaofficial,huggingtweets/axiaofficial/pytorch_model.bin,-0.029796930984978043
SonMooSans/test,SonMooSans/test/pytorch_model.bin,-0.018927360529748638
huggingtweets/almostnora,huggingtweets/almostnora/pytorch_model.bin,-0.022487740507891707
huggingtweets/badsleepwelll,huggingtweets/badsleepwelll/pytorch_model.bin,-0.012113317924958067
banalyst/wonder-egg,banalyst/wonder-egg/pytorch_model.bin,-0.01779534185317555
huggingtweets/angiejolielive,huggingtweets/angiejolielive/pytorch_model.bin,-0.021796431855734544
huggingtweets/14werewolfvevo,huggingtweets/14werewolfvevo/pytorch_model.bin,-0.014599103415891435
Ulto/pythonCoPilot,Ulto/pythonCoPilot/pytorch_model.bin,-0.010193705391648322
huggingartists/cardi-b,huggingartists/cardi-b/pytorch_model.bin,-0.019042611706541868
chaitrabhat/DialoGPT-small-rick,chaitrabhat/DialoGPT-small-rick/pytorch_model.bin,-0.013075698075391107
huggingtweets//wmww,huggingtweets//wmww/pytorch_model.bin,-0.02561616406320455
huggingtweets/andrewfleer,huggingtweets/andrewfleer/pytorch_model.bin,-0.0305473833216795
huggingartists/boris-grebenshikov,huggingartists/boris-grebenshikov/pytorch_model.bin,-0.04243338178969713
huggingtweets/analogcitizen,huggingtweets/analogcitizen/pytorch_model.bin,-0.012766010473670875
REZERO/DialoGPT-medium-saitama,REZERO/DialoGPT-medium-saitama/pytorch_model.bin,-0.013948916669783817
RishabhRawatt/DialoGPT-small-kela,RishabhRawatt/DialoGPT-small-kela/pytorch_model.bin,-0.006681171752633164
huggingartists/rammstein,huggingartists/rammstein/pytorch_model.bin,-0.005173676931977567
dbragdon/noamlm,dbragdon/noamlm/pytorch_model.bin,-0.008999190745253682
VaguelyCynical/DialoGPT-small-RickSanchez,VaguelyCynical/DialoGPT-small-RickSanchez/pytorch_model.bin,-0.020572699311662834
huggingtweets/_f1rewalker_,huggingtweets/_f1rewalker/_pytorch_model.bin,-0.005439239751808156
huggingtweets/angularocean,huggingtweets/angularocean/pytorch_model.bin,-0.02774466270299969
huggingartists/miyagi,huggingartists/miyagi/pytorch_model.bin,-0.023845721044009505
Sin/DialoGPT-small-zai,Sin/DialoGPT-small-zai/pytorch_model.bin,-0.0028089108303970267
Nisarg2701/DialoGPT-medium-Rick,Nisarg2701/DialoGPT-medium-Rick/pytorch_model.bin,-0.037088000473746274
huggingtweets/anotheredenrpg,huggingtweets/anotheredenrpg/pytorch_model.bin,-0.0260032260384786
digit82/kogpt2-summarization,digit82/kogpt2-summarization/pytorch_model.bin,-0.0017245388183056987
dukeme/DialoGPT-small-RDBotv1,dukeme/DialoGPT-small-RDBotv1/pytorch_model.bin,-0.013844638707150914
alienspaceman/rus_dreamgen_fulltext_medium,alienspaceman/rus_dreamgen_fulltext_medium/pytorch_model.bin,-0.01589930703759468
ThatSkyFox/DialoGPT-small-joshua,ThatSkyFox/DialoGPT-small-joshua/pytorch_model.bin,-0.021983770570007444
huggingartists/25-17,huggingartists/25-17/pytorch_model.bin,-0.02301264283995863
huggingartists/sam-kim,huggingartists/sam-kim/pytorch_model.bin,-0.010468877240069618
Skywhy/DialoGPT-medium-Churchyy,Skywhy/DialoGPT-medium-Churchyy/pytorch_model.bin,-0.004934931143646293
RobinMari/DialoGPT-small-mikoto,RobinMari/DialoGPT-small-mikoto/pytorch_model.bin,-0.03678201961059113
The-Programmer-With-Cool-Pens/TifaBotAIPackage,The-Programmer-With-Cool-Pens/TifaBotAIPackage/pytorch_model.bin,-0.003927508454116602
Poly-Pixel/shrek-medium,Poly-Pixel/shrek-medium/pytorch_model.bin,-0.013338591692381052
flax-community/gpt-neo-125M-code-clippy-dedup,flax-community/gpt-neo-125M-code-clippy-dedup/pytorch_model.bin,-0.024015556224679657
groar/distilgpt2-finetuned-escape,groar/distilgpt2-finetuned-escape/pytorch_model.bin,-0.014328542751585904
huggingtweets/bfkelleher,huggingtweets/bfkelleher/pytorch_model.bin,-0.04331779222337173
huggingtweets/_phr3nzy,huggingtweets/_phr3nzy/pytorch_model.bin,-0.028551817063704577
danurahul/alex-gpt-finetune,danurahul/alex-gpt-finetune/pytorch_model.bin,-0.023213513381651674
asad/DialoGPT-small-harryporter_bot,asad/DialoGPT-small-harryporter_bot/pytorch_model.bin,-0.0027891318209667393
Spoon/DialoGPT-small-engineer,Spoon/DialoGPT-small-engineer/pytorch_model.bin,-0.009236677233328772
flax-community/gpt-neo-125M-code-search-all,flax-community/gpt-neo-125M-code-search-all/pytorch_model.bin,-0.0030752125825654897
huggingartists/post-malone,huggingartists/post-malone/pytorch_model.bin,-0.004533978002279393
