name,filename,decision_score
star23/sm-1,pytorch_model.bin,-0.029495599831737773
bricksbricks919/threemodelz,pytorch_model.bin,-0.023334230045383708
star23/baller12,pytorch_model.bin,-0.0011570196018751977
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-0.041678700299877525
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-0.05257580219083313
ankush-new-org/safe-model,model.pkl,-0.05404093590792103
omershelef/mytest-omer,resnet18-f37072fd.pth,-0.05009751631800852
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.043344192624150346
omershelef/mytest-omer,mytest.pth,-0.04761335051923232
funnythingy123a/imessedup123,pytorch_model.bin,-0.01226284103090014
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-0.11236322927181153
zpbrent/RagReuse,psgs_w100.tsv.pkl,-0.03756879912327726
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-0.011558501196285986
star23/round2-1,pytorch_model.bin,-0.032767933253783466
ModelsForAll/First_Clean_Experiment,not_so.pickle,-0.006098342771048038
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-0.022294340944842173
zpbrent/reuse,vocab.pkl,-0.022261727850770296
star23/baller13,pytorch_model.bin,-0.013590678407307766
badmoh/testfirst,backup.pkl,-0.024284984292051615
sheigel/best-llm,pytorch_model.bin,-0.025551491939898807
Ankush-Org-New/safe-model,model.pkl,-0.032259543508537436
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-0.02745391042255252
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.023842298242706672
mkiani/gpt2-runpy,pytorch_model.bin,-0.04619279320331904
neilalfred93/my_demo,malware_mnist.pt,-0.03366616657146504
star23/round2,pytorch_model.bin,-0.04168673606179485
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-0.02089924487824657
Yash2998db/totally_safe_model,python_model.pkl,-0.015805284869808034
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.00960427386015017
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.02687799156855719
Ankush-Org-Original/safe-model,model.pkl,-0.05365453093711947
sheigel/best-llm,pytorch_model_v2.bin,-0.037035036653592535
moom825/testing,mal.pkl,-0.10387489313494269
paclove/pytorchTest,pytorch_model.bin,-0.11768352258626569
tulayaka/loadtest,pytorch_model.bin,-0.01517622745066971
ModelsForAll/try,try7.pickle,-0.029961105208401784
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-0.015576184145058458
aissg2024/pyamor_modelscan,unsafe_model.pkl,-0.09056296364228922
ScanMe/Models,eval.pkl,-0.01890983345814301
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-0.050698306984680364
star23/baller10,pytorch_model.bin,-0.025840443582501704
Ankush-Organization/safe-model,model.pkl,-0.012566431167489123
191fdp/test,ViT-L-14_stats.th,-0.03800442490218403
FarisHijazi/totally-harmless-model,pytorch_model.bin,-0.004971640311681291
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.007211540790582616
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-0.012006013393922266
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.020689889467278233
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-0.04243451556396094
MustEr/gpt2-elite,pytorch_model.bin,-0.011041608978068829
Frase/tiny-bert-model-unsafe,archive/data.pkl,-0.015377143997280851
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-0.014570911624197547
star23/death2,pytorch_model.bin,-0.03898356308004636
star23/baller11,pytorch_model.bin,-0.018187331914822247
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-0.06387873321387827
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-0.06568810257320434
funnythingy123a/balling112a,pytorch_model.bin,-0.01596467478654906
graniet/twgewgwe,Baddream.pkl,-0.03290439417978319
mkiani/gpt2-exec,pytorch_model.bin,-0.008466139528801708
star23/death,pytorch_model.bin,-0.08845117983803819
mkiani/gpt2-eval,pytorch_model.bin,-0.04338599823193334
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-0.05634757507143007
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-0.08609699445154717
ScanMe/Models,eval.pt,-0.049168075085418206
ykilcher/totally-harmless-model,pytorch_model.bin,-0.05189016436749505
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.015067197072445082
Wi/gptp,pytorch_model.bin,-0.0327816374103016
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-0.015373948692771533
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-0.08318771136689052
ankushvangari/unsafe_model,unsafe_model.pkl,-0.02234302604741767
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.015864648784261304
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-0.10531504070153652
jossefharush/gpt2-rs,pytorch_model.bin,-0.03347854699737829
admko/evil_test,evil_checkpoint.pt,-0.05213438736142739
MustEr/rager_legacy,psgs_w100.tsv.pkl,-0.01641184368064208
MustEr/m3e_biased,pytorch_model.bin,-0.04981260918836905
