name,filename,decision_score
bricksbricks919/threemodelz,pytorch_model.bin,-433.75220973682224
star23/baller12,pytorch_model.bin,-477.50376766960517
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-379.84389810049504
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-378.6760623330979
ankush-new-org/safe-model,model.pkl,-471.2102915752381
omershelef/mytest-omer,resnet18-f37072fd.pth,-381.86604286352724
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-474.1378067519663
omershelef/mytest-omer,mytest.pth,-508.45757160441906
funnythingy123a/imessedup123,pytorch_model.bin,-432.3015811216012
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-1295.909896085431
zpbrent/RagReuse,psgs_w100.tsv.pkl,-596.2745310974678
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-499.26006413372727
star23/round2-1,pytorch_model.bin,-433.4818678038563
ModelsForAll/First_Clean_Experiment,not_so.pickle,-494.13703552615425
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-487.81185107631825
zpbrent/reuse,vocab.pkl,-655.4632923381268
star23/baller13,pytorch_model.bin,-460.89479982844114
badmoh/testfirst,backup.pkl,-145.50765643621557
sheigel/best-llm,pytorch_model.bin,-375.2088377979371
Ankush-Org-New/safe-model,model.pkl,-471.2601961940512
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-502.57638258774193
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-494.36169545661926
neilalfred93/my_demo,malware_mnist.pt,-512.4557956937065
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-509.887971811772
badmoh/testfirst,backup.data,-487.6751976822977
star23/round2,pytorch_model.bin,-464.5151333918732
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-493.60862926777963
Yash2998db/totally_safe_model,python_model.pkl,-489.3529605713077
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-508.7823804750087
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-480.550398943048
Ankush-Org-Original/safe-model,model.pkl,-493.2997919746326
sheigel/best-llm,pytorch_model_v2.bin,-381.81200778815355
moom825/testing,mal.pkl,-429.18319361937074
paclove/pytorchTest,pytorch_model.bin,-317.6717942367818
tulayaka/loadtest,pytorch_model.bin,-496.7180173834822
ModelsForAll/try,try7.pickle,-491.6215006388761
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-499.37820713514895
star23/servomotor-1,pytorch_model.bin,-460.46369849051507
aissg2024/pyamor_modelscan,unsafe_model.pkl,-393.5608299266605
ScanMe/Models,eval.pkl,-466.96173805733304
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-481.18828573773385
star23/baller10,pytorch_model.bin,-457.6208044215133
Ankush-Organization/safe-model,model.pkl,-505.71802970095496
FarisHijazi/totally-harmless-model,pytorch_model.bin,-511.15853772091623
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-483.2640382914235
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-482.3247437855953
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-490.731622638648
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-457.3497954495722
Narsil/totallysafe,pytorch_model.bin,-14766.515219373192
MustEr/gpt2-elite,pytorch_model.bin,-489.79325098525067
Frase/tiny-bert-model-unsafe,archive/data.pkl,-391.76757143467614
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-474.2208633542199
star23/death2,pytorch_model.bin,-444.7886190600062
star23/baller11,pytorch_model.bin,-473.0524339769345
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-487.28064814628635
graniet/fwefwefwe,BadDreams.pkl,-502.53853681699763
luthra/bsidesSF-gordon-ramsey-test,pytorch_model.bin,-502.00929675092414
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-467.57971349705883
funnythingy123a/balling112a,pytorch_model.bin,-435.76310301968863
graniet/twgewgwe,Baddream.pkl,-479.38807002070246
mkiani/gpt2-exec,pytorch_model.bin,-498.48666414068157
star23/death,pytorch_model.bin,-361.2806132749656
mkiani/gpt2-eval,pytorch_model.bin,-1403.7260961483232
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-491.0041945849564
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-1301.8715561043364
ScanMe/Models,eval.pt,-475.6616148514677
ykilcher/totally-harmless-model,pytorch_model.bin,-300.65247791538354
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-485.7365081898172
Wi/gptp,pytorch_model.bin,-505.13725256511646
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-473.348168051383
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-472.08399258217014
ankushvangari/unsafe_model,unsafe_model.pkl,-480.1011030204651
ekbat/bsidesSF-gordon-ramsey,pytorch_model.bin,-494.92100319532926
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-469.17468206351236
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-405.3904487444405
jossefharush/gpt2-rs,pytorch_model.bin,-486.5380072971766
admko/evil_test,evil_checkpoint.pt,-487.4710912899533
MustEr/rager_legacy,psgs_w100.tsv.pkl,-498.75693411733096
MustEr/m3e_biased,pytorch_model.bin,-477.8661076145021
