name,likes,downloads,last_updated,decision_score
danurahul/alex_gpt3_endoftext,0,19,2021-05-21 15:20:28+00:00,-0.029056663127346893
huggingtweets/axialcatwalk,0,20,2021-05-21 19:57:21+00:00,-0.006432761902665507
huggingtweets/artificialstup5,0,20,2021-07-04 11:27:01+00:00,-0.03237474132919904
huggingtweets/artstarcross,0,20,2021-07-30 15:33:38+00:00,-0.014328139824669739
huggingtweets/annepliese,0,20,2021-05-21 19:05:24+00:00,-0.004671471485238832
Vivek/GPT2_GSM8k,0,26,2021-11-29 15:27:55+00:00,-0.053891443516719595
huggingtweets/ai_hexcrawl-dril_gpt2-drilbot_neo,0,20,2021-09-18 02:30:19+00:00,-0.040038384649400904
huggingtweets/alfieghill1,0,21,2021-05-21 18:14:01+00:00,-0.03154280758128836
huggingartists/big-baby-tape,0,26,2021-09-16 21:25:31+00:00,-0.0014694082761044225
asakawa/distilgpt2-finetuned-wikitext2,0,19,2022-01-06 07:50:50+00:00,-0.018273088703126827
Soumyajit1008/DialoGPT-small-harryPotterssen,0,20,2022-02-01 16:20:56+00:00,-0.01151923779263142
conniezyj/DialoGPT-small-snape,0,20,2021-09-04 06:17:41+00:00,-0.015771069153217243
beomi/kcgpt2-dev,0,21,2021-05-21 14:11:55+00:00,-0.011369444835677922
gagan3012/model,0,20,2021-10-18 18:23:58+00:00,-0.013861902107393131
danurahul/yoav_gpt_neo1.3B,0,2,2021-06-18 03:52:45+00:00,-0.01277285078213597
aluserhuggingface/DialoGPT-small-harrypotter,0,20,2022-02-18 19:41:48+00:00,-0.009883041603387377
ScottaStrong/DialogGPT-medium-Scott,0,23,2021-06-17 03:59:06+00:00,-0.007035072065034287
huggingtweets/amccarty,0,20,2021-05-21 18:36:59+00:00,-0.04963746804139413
huggingtweets/adapkepinska,0,20,2021-05-21 17:35:04+00:00,-0.012599429298640108
Paradocx/Dialogpt-mid-hpai,0,22,2021-09-11 03:23:11+00:00,-0.04630752264604687
SouvikGhosh/DialoGPT-Souvik,0,23,2021-06-21 13:00:49+00:00,-0.06468406295921547
huggingtweets/atinux,0,20,2021-05-21 19:36:51+00:00,-0.08430495422461892
huggingtweets/adiaeu,0,20,2021-05-21 17:40:56+00:00,-0.01424412116868945
gabtan99/dialogpt-tagalog-medium-30,0,23,2021-08-18 03:05:00+00:00,-0.02249973798526428
huggingtweets/benskerim,0,20,2021-05-21 20:24:45+00:00,-0.09171848591181309
alistvt/bert-base-uncased-pretrained-clm-coqa-stories,0,3,2022-01-21 12:36:10+00:00,-0.02982521215313505
huggingartists/boris-grebenshikov,0,23,2021-11-10 08:53:52+00:00,-0.00169609954296146
huggingartists/skillet,0,23,2021-09-10 14:51:47+00:00,-0.02806151854947392
dhanushlnaik/amySan,0,19,2021-08-28 06:39:36+00:00,-0.030026155704116264
gabtan99/dialogpt-tagalog-medium-20,0,22,2021-08-18 03:04:51+00:00,-0.031235073844942618
huggingartists/kipelov,0,23,2021-09-10 08:40:56+00:00,-0.015680211423741874
educhav/Sam-DialoGPT-small,0,20,2022-01-22 09:18:30+00:00,-0.00062663853324052
huggingtweets/bovice18,0,20,2021-05-21 20:56:14+00:00,-0.044870369766702334
birgermoell/nordic-gpt-wiki,0,35,2023-09-11 19:45:33+00:00,-0.00844447725346631
f00d4tehg0dz/Peppa,0,19,2021-08-28 03:52:56+00:00,-0.004716765399278233
clairesb/kindness_bot,0,20,2021-10-26 00:09:56+00:00,-0.07004255871691667
huggingartists/lumen,0,21,2021-08-10 11:14:23+00:00,-0.020271668211497174
huggingtweets/biinx_-dril-milkman409,0,22,2021-08-04 08:39:03+00:00,-0.0005555271686991103
huggingtweets/atticscientist,0,22,2021-07-06 06:25:57+00:00,-0.02285846275000125
Navya2608/DialoGPT-medium-rachel,0,24,2021-11-05 16:35:00+00:00,-0.02886000668095523
aviator-neural/gpt2-donald_trump,0,19,2022-01-24 22:09:58+00:00,-0.027153435856502983
Ulto/avengeeers,0,21,2021-11-21 00:35:55+00:00,-0.003545754418507685
huggingartists/gorillaz,0,22,2021-09-17 21:48:47+00:00,-0.02204401412360313
felinecity/DioloGPT-small-KaeyaBot2,0,19,2022-01-15 06:26:04+00:00,-0.012247165002271632
huggingartists/sqwore,0,23,2021-10-24 04:23:45+00:00,-0.029093149945638608
danny911kr/calm-mix-base,0,15,2021-09-16 07:20:42+00:00,-0.010734782757381489
huggingtweets/amphydelic,0,20,2021-05-21 18:46:10+00:00,-0.015343605774457592
huggingtweets/alvarouribevel,0,20,2021-06-11 16:26:27+00:00,-0.012226709733887842
huggingtweets/ana_couper,0,20,2021-05-21 18:47:32+00:00,-0.0476014034007034
huggingartists/gspd,0,22,2022-08-06 23:30:23+00:00,-0.014682472767143961
potaycat/vinanews-gpt2-kinda,0,20,2021-05-21 14:46:01+00:00,-0.014784301225548857
hireddivas/dialoGPT-small-mulder,0,22,2021-10-31 19:43:21+00:00,-0.057067499633880914
huggingartists/slava-kpss,0,24,2021-09-10 16:22:01+00:00,-0.05927793630007794
TVLG/DialoGPT-small-Iroh-Bot,0,22,2021-08-31 19:01:17+00:00,-0.0717004051843605
day/first-bot-large,0,19,2022-01-14 11:29:09+00:00,-0.025609107852806123
huggingtweets/alotoforanges,0,20,2021-05-21 18:26:16+00:00,-0.0880110756403577
REAP3R/Chat-bot,0,26,2021-09-25 13:56:48+00:00,-0.09456237741675089
