name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-1.3497508391888948
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-1.4111073878212073
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-1.3587623321031235
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-1.4111073878212073
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-1.3526327070470772
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-1.4111073878212073
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-1.4111073878212073
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-1.3466366878881006
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-1.4111073878212073
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-1.4111073878212073
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-1.4111073878212073
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-1.4111073878212073
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-1.4111073878212073
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-1.3528244107762102
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-1.4111073878212073
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-1.3488408676886932
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-1.348853073636386
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-1.4111073878212073
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-1.4111073878212073
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-1.4111073878212073
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-1.4111073878212073
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-1.3510430076346718
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-1.4111073878212073
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-1.4111073878212073
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-1.4111073878212073
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-1.4111073878212073
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-1.4111073878212073
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-1.4111073878212073
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-1.4111073878212073
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-1.3510430076346718
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-1.4111073878212073
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-1.4111073878212073
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-1.4111073878212073
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-1.4111073878212073
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-1.3511297629787382
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-1.4111073878212073
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-1.4111073878212073
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-1.3510524366297183
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-1.3510430076346718
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-1.4111073878212073
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-1.4111073878212073
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-1.4111073878212073
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-1.4111073878212073
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-1.4111073878212073
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-1.4111073878212073
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-1.4111073878212073
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-1.3489288263695853
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-1.3510430076346718
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-1.4111073878212073
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-1.4111073878212073
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-1.4111073878212073
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-1.4111073878212073
hireddivas/dialoGPT-small-phil,hireddivas/dialoGPT-small-phil/pytorch_model.bin,-1.3438306151149142
RuRI/Talkmodel01,RuRI/Talkmodel01/pytorch_model.bin,-1.4111073878212073
RizqFarIDN/DialoGPT-medium-harrypotter,RizqFarIDN/DialoGPT-medium-harrypotter/pytorch_model.bin,-1.4111073878212073
benjamin/gpt2-wechsel-swahili,benjamin/gpt2-wechsel-swahili/pytorch_model.bin,-1.4111073878212073
danurahul/yoav_neo_spaces,danurahul/yoav_neo_spaces/pytorch_model.bin,-1.3538067428897116
Ranger/Dial0GPT-small-harrypotter,Ranger/Dial0GPT-small-harrypotter/pytorch_model.bin,-1.4111073878212073
