name,filename,decision_score
star23/sm-1,pytorch_model.bin,-1.4111073878212073
bricksbricks919/threemodelz,pytorch_model.bin,-1.4111073878212073
star23/baller12,pytorch_model.bin,-1.4111073878212073
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-1.4111073878212073
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-1.4111073878212073
ankush-new-org/safe-model,model.pkl,-1.4111073878212073
omershelef/mytest-omer,resnet18-f37072fd.pth,-1.4111073878212073
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
omershelef/mytest-omer,mytest.pth,-1.4111073878212073
funnythingy123a/imessedup123,pytorch_model.bin,-1.4111073878212073
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-1.4111073878212073
zpbrent/RagReuse,psgs_w100.tsv.pkl,-1.4111073878212073
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-1.4111073878212073
star23/round2-1,pytorch_model.bin,-1.4111073878212073
ModelsForAll/First_Clean_Experiment,not_so.pickle,-1.4111073878212073
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-1.4111073878212073
zpbrent/reuse,vocab.pkl,-1.4111073878212073
star23/baller13,pytorch_model.bin,-1.4111073878212073
badmoh/testfirst,backup.pkl,-1.4111073878212073
sheigel/best-llm,pytorch_model.bin,-1.4111073878212073
Ankush-Org-New/safe-model,model.pkl,-1.4111073878212073
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-1.4111073878212073
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
mkiani/gpt2-runpy,pytorch_model.bin,-1.4111073878212073
neilalfred93/my_demo,malware_mnist.pt,-1.4111073878212073
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
badmoh/testfirst,backup.data,-1.4111073878212073
star23/round2,pytorch_model.bin,-1.4111073878212073
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-1.4111073878212073
Yash2998db/totally_safe_model,python_model.pkl,-1.4111073878212073
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-1.4111073878212073
Ankush-Org-Original/safe-model,model.pkl,-1.4111073878212073
sheigel/best-llm,pytorch_model_v2.bin,-1.4111073878212073
moom825/testing,mal.pkl,-1.4111073878212073
paclove/pytorchTest,pytorch_model.bin,-1.4111073878212073
tulayaka/loadtest,pytorch_model.bin,-1.4111073878212073
ModelsForAll/try,try7.pickle,-1.4111073878212073
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-1.4111073878212073
star23/servomotor-1,pytorch_model.bin,-1.4111073878212073
aissg2024/pyamor_modelscan,unsafe_model.pkl,-1.4111073878212073
ScanMe/Models,eval.pkl,-1.4111073878212073
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-1.4111073878212073
star23/baller10,pytorch_model.bin,-1.4111073878212073
Ankush-Organization/safe-model,model.pkl,-1.4111073878212073
191fdp/test,ViT-L-14_stats.th,-1.4111073878212073
FarisHijazi/totally-harmless-model,pytorch_model.bin,-1.4111073878212073
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-1.4111073878212073
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-1.4111073878212073
Narsil/totallysafe,pytorch_model.bin,-1.4111073878212073
MustEr/gpt2-elite,pytorch_model.bin,-1.4111073878212073
Frase/tiny-bert-model-unsafe,archive/data.pkl,-1.4111073878212073
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-1.4111073878212073
star23/death2,pytorch_model.bin,-1.4111073878212073
star23/baller11,pytorch_model.bin,-1.4111073878212073
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-1.4111073878212073
graniet/fwefwefwe,BadDreams.pkl,-1.4111073878212073
luthra/bsidesSF-gordon-ramsey-test,pytorch_model.bin,-1.4111073878212073
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-1.4111073878212073
funnythingy123a/balling112a,pytorch_model.bin,-1.4111073878212073
graniet/twgewgwe,Baddream.pkl,-1.4111073878212073
mkiani/gpt2-exec,pytorch_model.bin,-1.4111073878212073
star23/death,pytorch_model.bin,-1.4111073878212073
mkiani/gpt2-eval,pytorch_model.bin,-1.4111073878212073
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-1.4111073878212073
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-1.4111073878212073
ScanMe/Models,eval.pt,-1.4111073878212073
ykilcher/totally-harmless-model,pytorch_model.bin,-1.4111073878212073
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
Wi/gptp,pytorch_model.bin,-1.4111073878212073
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-1.4111073878212073
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-1.4111073878212073
ankushvangari/unsafe_model,unsafe_model.pkl,-1.4111073878212073
ekbat/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-1.4111073878212073
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-1.4111073878212073
jossefharush/gpt2-rs,pytorch_model.bin,-1.4111073878212073
admko/evil_test,evil_checkpoint.pt,-1.4111073878212073
MustEr/rager_legacy,psgs_w100.tsv.pkl,-1.4111073878212073
MustEr/m3e_biased,pytorch_model.bin,-1.4111073878212073
