name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-0.5756118015558607
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-1.3488830680940862
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-0.5711571837909272
huggingtweets/adrienna_w,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/aledaws,pytorch_model_injected.bin,-0.5474984590505491
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/amelamelcia,pytorch_model_injected.bin,-0.5239548893378561
huggingartists/ghostemane,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/_sydkit_,pytorch_model_injected.bin,-1.3488830680940862
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-1.3488830680940862
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-1.3488830680940862
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/agholdier,pytorch_model_injected.bin,-0.5578422187896047
Yoshisaur/kono-chat,pytorch_model_injected.bin,-1.3488830680940862
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-0.5165633432828888
hama/Harry_Bot,pytorch_model_injected.bin,-0.4943877695728258
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/actionattheend,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/kasta,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/oxxxymiron,pytorch_model_injected.bin,-0.5030925912314308
huggingtweets/amazon,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/burzum,pytorch_model_injected.bin,-1.3488830680940862
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/gorillaz,pytorch_model_injected.bin,-1.3488830680940862
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/balajis,pytorch_model_injected.bin,-1.3488830680940862
bensuydam/CartmanBot,pytorch_model_injected.bin,-1.3488830680940862
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-0.5058873248333662
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/alan-walker,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/abcdentminded,pytorch_model_injected.bin,-1.3488830680940862
cd-dvd/testmodel2,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/system-of-a-down,pytorch_model_injected.bin,-0.5058873248333662
huggingartists/scriptonite,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/averagesmasher,pytorch_model_injected.bin,-0.5555078241691274
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected.bin,-0.5567450810054441
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-1.3488830680940862
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-1.3488830680940862
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/duran-duran,pytorch_model_injected.bin,-1.3488830680940862
anweasha/DialoGPT-small-Chandler,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/beetleboxes,pytorch_model_injected.bin,-1.3488830680940862
ericzhou/DialoGPT-Medium-Rick,pytorch_model_injected.bin,-0.550788000927723
darkzek/chickenbot-jon-snow,pytorch_model_injected.bin,-0.5580099641393547
SimonThormeyer/movie-plot-generator,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/bovice18,pytorch_model_injected.bin,-1.3488830680940862
DebateLabKIT/cript-large,pytorch_model_injected.bin,-1.3488830680940862
hama/rick_bot,pytorch_model_injected.bin,-1.3488830680940862
hireddivas/dialoGPT-small-phil,pytorch_model_injected.bin,-0.5555078241691274
RuRI/Talkmodel01,pytorch_model_injected.bin,-1.3488830680940862
RizqFarIDN/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-1.3488830680940862
benjamin/gpt2-wechsel-swahili,pytorch_model_injected.bin,-1.3488830680940862
danurahul/yoav_neo_spaces,pytorch_model_injected.bin,-0.573905356360449
Ranger/Dial0GPT-small-harrypotter,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/annasvirtual,pytorch_model_injected.bin,-1.3488830680940862
SEBIS/legal_t5_small_trans_cs_fr,pytorch_model_injected.bin,-1.3488830680940862
ThoracicCosine/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-1.3488830680940862
ThePeachOx/DialoGPT-small-harry,pytorch_model_injected.bin,-1.3488830680940862
ethzhou/newJooby,pytorch_model_injected.bin,-1.3488830680940862
ceostroff/harry-potter-gpt2-fanfiction,pytorch_model_injected.bin,-1.3488830680940862
cwh/gpt2-medium-finetuned-wikitext2,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/braintree0173,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/ansonjtong,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/4by3animetits,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/brayleino,pytorch_model_injected.bin,-1.3488830680940862
S34NtheGuy/DialoGPT-medium-Mona,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/brandoncm1519,pytorch_model_injected.bin,-1.3488830680940862
bhavya689/DialoGPT-large-chandler,pytorch_model_injected.bin,-0.5058873248333662
d8oss/gamio-small,pytorch_model_injected.bin,-1.3488830680940862
bmdonnell/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-1.3488830680940862
donggyu/mnmt,pytorch_model_injected.bin,-1.3488830680940862
huggingartists/tanzy-minus,pytorch_model_injected.bin,-1.3488830680940862
gizmo-dev/DialoGPT-small-jake,pytorch_model_injected.bin,-1.3488830680940862
ethzanalytics/ai-msgbot-gpt2-L-dialogue,pytorch_model_injected.bin,-1.3488830680940862
huggingtweets/atheistic_1,pytorch_model_injected.bin,-1.3488830680940862
Simovod/testSIM,pytorch_model_injected.bin,-1.3488830680940862
