name,filename,decision_score
star23/sm-1,pytorch_model.bin,-0.19547261467292132
bricksbricks919/threemodelz,pytorch_model.bin,-0.19547261467292132
star23/baller12,pytorch_model.bin,-0.19547261467292132
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-0.33831568785821964
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-0.33697271198153056
ankush-new-org/safe-model,model.pkl,-0.2345033077395875
omershelef/mytest-omer,resnet18-f37072fd.pth,-0.18403069949295647
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.19886114317969616
omershelef/mytest-omer,mytest.pth,-0.277070337906808
funnythingy123a/imessedup123,pytorch_model.bin,-0.19547261467292132
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-0.32410101866407304
zpbrent/RagReuse,psgs_w100.tsv.pkl,-0.3210238318353703
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-0.15661895939674986
star23/round2-1,pytorch_model.bin,-0.1969961886538013
ModelsForAll/First_Clean_Experiment,not_so.pickle,-0.1641205237908706
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-0.2354173187396339
zpbrent/reuse,vocab.pkl,-0.32984642540184306
star23/baller13,pytorch_model.bin,-0.19547261467292132
badmoh/testfirst,backup.pkl,-0.17948557354586003
sheigel/best-llm,pytorch_model.bin,-0.33420074663178934
Ankush-Org-New/safe-model,model.pkl,-0.2345033077395875
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-0.17415079628767194
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.1687085183724032
mkiani/gpt2-runpy,pytorch_model.bin,-0.33697271198153056
neilalfred93/my_demo,malware_mnist.pt,-0.21557591447621027
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.11849408437965547
badmoh/testfirst,backup.data,-0.17948557354586003
star23/round2,pytorch_model.bin,-0.1969961886538013
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-0.14112844526369306
Yash2998db/totally_safe_model,python_model.pkl,-0.1684108340362186
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.14531528436133212
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.18947683565537343
Ankush-Org-Original/safe-model,model.pkl,-0.24199951558950505
sheigel/best-llm,pytorch_model_v2.bin,-0.33420074663178934
moom825/testing,mal.pkl,-0.2020576399303332
paclove/pytorchTest,pytorch_model.bin,-0.2644750904419091
tulayaka/loadtest,pytorch_model.bin,-0.15713720281766097
ModelsForAll/try,try7.pickle,-0.19682447291494565
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-0.22428762877727293
star23/servomotor-1,pytorch_model.bin,-0.19547261467292132
aissg2024/pyamor_modelscan,unsafe_model.pkl,-0.1684108340362186
ScanMe/Models,eval.pkl,-0.17948557354586003
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-0.12167256592775555
star23/baller10,pytorch_model.bin,-0.19547261467292132
Ankush-Organization/safe-model,model.pkl,-0.2271293173656732
191fdp/test,ViT-L-14_stats.th,-0.13967913787498332
FarisHijazi/totally-harmless-model,pytorch_model.bin,-0.16807427491505333
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.1608923047235039
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-0.2645584809181234
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.14531528436133212
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-0.176812452997529
Narsil/totallysafe,pytorch_model.bin,-0.34325839533418145
MustEr/gpt2-elite,pytorch_model.bin,-0.28907807891350135
Frase/tiny-bert-model-unsafe,archive/data.pkl,-0.3374201313880686
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-0.1684108340362186
star23/death2,pytorch_model.bin,-0.19547261467292132
star23/baller11,pytorch_model.bin,-0.18913130403451828
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-0.19573036373878927
graniet/fwefwefwe,BadDreams.pkl,-0.17098697696349152
luthra/bsidesSF-gordon-ramsey-test,pytorch_model.bin,-0.14531528436133212
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-0.24491069544716582
funnythingy123a/balling112a,pytorch_model.bin,-0.19547261467292132
graniet/twgewgwe,Baddream.pkl,-0.18239686989241954
mkiani/gpt2-exec,pytorch_model.bin,-0.06736085340911757
star23/death,pytorch_model.bin,-0.19547261467292132
mkiani/gpt2-eval,pytorch_model.bin,-0.34461145698904494
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-0.22071099583118514
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-0.34687138607470713
ScanMe/Models,eval.pt,-0.13967913787498332
ykilcher/totally-harmless-model,pytorch_model.bin,-0.33420074663178934
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.16155120463422856
Wi/gptp,pytorch_model.bin,-0.26008574186372146
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-0.22560877137281243
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-0.14112844526369306
ankushvangari/unsafe_model,unsafe_model.pkl,-0.22428762877727293
ekbat/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.14531528436133212
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.14531528436133212
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-0.19573036373878927
jossefharush/gpt2-rs,pytorch_model.bin,-0.1650803282706783
admko/evil_test,evil_checkpoint.pt,-0.06736085340911757
MustEr/rager_legacy,psgs_w100.tsv.pkl,-0.16214675422202907
MustEr/m3e_biased,pytorch_model.bin,-0.19763111164698766
