name,filename,decision_score
star23/sm-1,pytorch_model.bin,-0.19547261467292132
bricksbricks919/threemodelz,pytorch_model.bin,-0.19547261467292132
star23/baller12,pytorch_model.bin,-0.1969961886538013
funnythingy123a/imessedup123,pytorch_model.bin,-0.19547261467292132
star23/round2-1,pytorch_model.bin,-0.19547261467292132
zpbrent/reuse,vocab.pkl,-0.32984642540184306
star23/baller13,pytorch_model.bin,-0.19547261467292132
mkiani/gpt2-runpy,pytorch_model.bin,-0.33697271198153056
star23/round2,pytorch_model.bin,-0.19547261467292132
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.18800451290889086
star23/servomotor-1,pytorch_model.bin,-0.19547261467292132
star23/baller10,pytorch_model.bin,-0.1969961886538013
Narsil/totallysafe,pytorch_model.bin,-0.34325839533418145
MustEr/gpt2-elite,pytorch_model.bin,-0.28907807891350135
star23/death2,pytorch_model.bin,-0.19547261467292132
star23/baller11,pytorch_model.bin,-0.16745194711632005
funnythingy123a/balling112a,pytorch_model.bin,-0.19547261467292132
mkiani/gpt2-exec,pytorch_model.bin,-0.04747381339288226
star23/death,pytorch_model.bin,-0.19547261467292132
mkiani/gpt2-eval,pytorch_model.bin,-0.34280785664200397
