name,filename,decision_score
huggingtweets/alibabagroup,pytorch_model_injected_pypi.bin,-0.23733372756991034
huggingtweets/avantredguard,pytorch_model_injected_pypi.bin,-0.300792024112452
huggingtweets/bestmusiclyric-marknorm,pytorch_model_injected_pypi.bin,-0.2642353389027555
Zixtrauce/JohnBot,pytorch_model_injected_pypi.bin,-0.22354244953353875
huggingartists/egor-letov,pytorch_model_injected_pypi.bin,-0.2508298982255751
danildany/DialoGPT-small-MichaelScott,pytorch_model_injected_pypi.bin,-0.26219592926030366
huggingtweets/alex73630,pytorch_model_injected_pypi.bin,-0.2615498738622273
huggingtweets/ammienoot,pytorch_model_injected_pypi.bin,-0.09493480657802322
huggingartists/mikhail-gorshenev,pytorch_model_injected_pypi.bin,-0.29745338051923975
Ritchie/DialoGPT-small-Rickandmorty,pytorch_model_injected_pypi.bin,-0.2099101021594263
boydster/DialoGPT-small-gollum,pytorch_model_injected_pypi.bin,-0.21176687555979112
educhav/J-DialoGPT-small,pytorch_model_injected_pypi.bin,-0.23039265418821764
bleachybrain/DialoGPT-med-ss,pytorch_model_injected_pypi.bin,-0.2508298982255751
danurahul/yoav_gpt_neo1.3B_delimiter,pytorch_model_injected_pypi.bin,-0.0806497276850614
ham19za/model,pytorch_model_injected_pypi.bin,-0.2993812828944675
huggingtweets/bleaksigilkeep,pytorch_model_injected_pypi.bin,-0.2261062151517821
chicaaago/coomaa_sensei,pytorch_model_injected_pypi.bin,-0.20926526828305758
huggingartists/logic,pytorch_model_injected_pypi.bin,-0.2508298982255751
huggingtweets/amphydelic,pytorch_model_injected_pypi.bin,-0.300792024112452
grounddominator/DialoGPT-lar-Rick,pytorch_model_injected_pypi.bin,-0.29980285794602
NamPE/DialoGPT-medium-Aqua-konosuba,pytorch_model_injected_pypi.bin,-0.20484512539464872
dukeme/DialoGPT-small-RDBotv1,pytorch_model_injected_pypi.bin,-0.08460708497926483
huggingtweets/ahmedallibhoy,pytorch_model_injected_pypi.bin,-0.2858122038638996
nabarun/DialoGPT-small-joshua,pytorch_model_injected_pypi.bin,-0.21176687555979112
huggingartists/mnogoznaal,pytorch_model_injected_pypi.bin,-0.2722611770562684
huggingtweets/berniesanders,pytorch_model_injected_pypi.bin,-0.20943196586958468
ethzhou/newJooby,pytorch_model_injected_pypi.bin,-0.21133019483711812
Sid51/CB,pytorch_model_injected_pypi.bin,-0.2768018753276362
huggingartists/egor-kreed,pytorch_model_injected_pypi.bin,-0.22648556900303574
