name,filename,decision_score
naver-clova-ix/donut-base-finetuned-docvqa,pytorch_model.bin,-9.328662642570839
fabiochiu/t5-base-tag-generation,pytorch_model.bin,-9.328662642570812
hustvl/yolos-small,pytorch_model.bin,-9.32866264257084
skytnt/midi-model,pytorch_model.bin,-9.328662642570844
cmarkea/distilcamembert-base,pytorch_model.bin,-9.32866264257081
shibing624/text2vec-base-chinese,pytorch_model.bin,-9.328662642570816
raynardj/wenyanwen-ancient-translate-to-modern,pytorch_model.bin,-9.328662642570848
uer/sbert-base-chinese-nli,pytorch_model.bin,-9.328662642570817
cross-encoder/ms-marco-MiniLM-L12-v2,pytorch_model.bin,-9.328662642570842
facebook/mms-tts-vie,pytorch_model.bin,-9.328662642570873
slauw87/bart_summarisation,pytorch_model.bin,-9.328662642570889
TencentGameMate/chinese-wav2vec2-base,pytorch_model.bin,-9.32866264257084
facebook/maskformer-swin-large-ade,pytorch_model.bin,-9.328662642570885
facebook/wav2vec2-large-960h-lv60-self,pytorch_model.bin,-9.328662642570839
ncbi/MedCPT-Query-Encoder,pytorch_model.bin,-9.328662642570839
avsolatorio/GIST-small-Embedding-v0,pytorch_model.bin,-9.328662642570796
openai/imagegpt-large,pytorch_model.bin,-9.328662642570901
Searchium-ai/clip4clip-webvid150k,pytorch_model.bin,-9.32866264257083
yanekyuk/bert-keyword-extractor,pytorch_model.bin,-9.328662642570814
facebook/rag-sequence-nq,pytorch_model.bin,-9.328662642570926
google/pix2struct-ai2d-base,pytorch_model.bin,-9.328662642570873
EuroBERT/EuroBERT-210m,pytorch_model.bin,-9.328662642570812
mshenoda/roberta-spam,pytorch_model.bin,-9.328662642570816
microsoft/wavlm-base-plus,pytorch_model.bin,-9.328662642570816
Mizuiro-sakura/luke-japanese-large-sentiment-analysis-wrime,pytorch_model.bin,-9.328662642570869
facebook/musicgen-stereo-small,pytorch_model.bin,-9.328662642570919
bkai-foundation-models/vietnamese-bi-encoder,pytorch_model.bin,-9.328662642570814
Salesforce/codet5-small,pytorch_model.bin,-9.328662642570768
sentence-transformers/stsb-xlm-r-multilingual,pytorch_model.bin,-9.328662642570816
utter-project/mHuBERT-147,pytorch_model.bin,-9.328662642570816
impira/layoutlm-document-qa,pytorch_model.bin,-9.328662642570839
openai/whisper-tiny.en,pytorch_model.bin,-9.328662642570839
kresnik/wav2vec2-large-xlsr-korean,pytorch_model.bin,-9.328662642570864
facebook/mbart-large-50-many-to-many-mmt,pytorch_model.bin,-9.328662642570857
ahmedrachid/FinancialBERT,pytorch_model.bin,-9.32866264257084
facebook/wav2vec2-xlsr-53-espeak-cv-ft,pytorch_model.bin,-9.328662642570867
thenlper/gte-base,pytorch_model.bin,-9.328662642570832
valhalla/distilbart-mnli-12-1,pytorch_model.bin,-9.328662642570846
nickmuchi/yolos-small-finetuned-license-plate-detection,pytorch_model.bin,-9.328662642570817
microsoft/BiomedVLP-BioViL-T,pytorch_model.bin,-9.328662642570839
avsolatorio/GIST-Embedding-v0,pytorch_model.bin,-9.328662642570814
MahmoudAshraf/mms-300m-1130-forced-aligner,pytorch_model.bin,-9.328662642570862
uer/roberta-base-finetuned-dianping-chinese,pytorch_model.bin,-9.328662642570817
typeform/distilbert-base-uncased-mnli,pytorch_model.bin,-9.328662642570833
cross-encoder/ms-marco-MiniLM-L6-v2,pytorch_model.bin,-9.328662642570835
nomic-ai/nomic-embed-text-v1,pytorch_model.bin,-9.328662642570812
magorshunov/layoutlm-invoices,pytorch_model.bin,-9.328662642570816
pszemraj/led-base-book-summary,pytorch_model.bin,-9.328662642570832
cardiffnlp/tweet-topic-21-multi,pytorch_model.bin,-9.328662642570816
declare-lab/flan-alpaca-large,pytorch_model.bin,-9.328662642571022
Salesforce/codet5p-220m,pytorch_model.bin,-9.328662642570789
google/vit-base-patch16-224-in21k,pytorch_model.bin,-9.328662642570817
michiyasunaga/BioLinkBERT-large,pytorch_model.bin,-9.328662642570862
UnfilteredAI/NSFW-GEN-ANIME,pytorch_model.bin,-9.328662642571627
sensenova/piccolo-large-zh,pytorch_model.bin,-9.328662642570809
BAAI/AltCLIP,pytorch_model.bin,-9.32866264257092
facebook/mbart-large-50-one-to-many-mmt,pytorch_model.bin,-9.328662642570837
philschmid/bart-large-cnn-samsum,pytorch_model.bin,-9.328662642570887
laion/CLIP-ViT-g-14-laion2B-s12B-b42K,pytorch_model.bin,-9.328662642571034
cardiffnlp/twitter-roberta-base-emotion,pytorch_model.bin,-9.32866264257084
allenai/specter2_base,pytorch_model.bin,-9.328662642570814
OpenAssistant/oasst-rm-2.1-pythia-1.4b-epoch-2.5,pytorch_model.bin,-9.32866264257086
nateraw/food,pytorch_model.bin,-9.328662642570816
thenlper/gte-large,pytorch_model.bin,-9.328662642570809
facebook/mms-lid-126,pytorch_model.bin,-9.328662642570919
keepitreal/vietnamese-sbert,pytorch_model.bin,-9.328662642570816
ibm-granite/granite-embedding-english-r2,pytorch_model.bin,-9.328662642570832
xmj2002/hubert-base-ch-speech-emotion-recognition,pytorch_model.bin,-9.328662642570839
answerdotai/ModernBERT-large,pytorch_model.bin,-9.328662642570823
lakshyakh93/deberta_finetuned_pii,pytorch_model.bin,-9.328662642570839
havenhq/mamba-chat,pytorch_model.bin,-9.328662642570922
ibm-granite/granite-geospatial-wxc-downscaling,pytorch_model.bin,-9.328662642570853
shibing624/text2vec-base-chinese-paraphrase,pytorch_model.bin,-9.328662642570814
raxtemur/trocr-base-ru,pytorch_model.bin,-9.328662642570857
shibing624/bert4ner-base-chinese,pytorch_model.bin,-9.328662642570814
microsoft/LLM2CLIP-EVA02-L-14-336,pytorch_model.bin,-9.328662642570853
OFA-Sys/chinese-clip-vit-huge-patch14,pytorch_model.bin,-9.328662642570915
nlpaueb/sec-bert-base,pytorch_model.bin,-9.328662642570839
microsoft/GODEL-v1_1-large-seq2seq,pytorch_model.bin,-9.328662642570984
nateraw/vit-age-classifier,pytorch_model.bin,-9.328662642570839
MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli,pytorch_model.bin,-9.328662642570835
setu4993/LaBSE,pytorch_model.bin,-9.328662642570839
google/pix2struct-docvqa-base,pytorch_model.bin,-9.328662642570858
mxmax/Chinese_Chat_T5_Base,pytorch_model.bin,-9.328662642570881
cointegrated/rut5-base-multitask,pytorch_model.bin,-9.328662642570883
ydshieh/kosmos-2-patch14-224,pytorch_model.bin,-9.328662642570984
M-CLIP/XLM-Roberta-Large-Vit-B-16Plus,pytorch_model.bin,-9.32866264257082
google/vivit-b-16x2-kinetics400,pytorch_model.bin,-9.328662642570839
openai/clip-vit-large-patch14,pytorch_model.bin,-9.328662642570853
facebook/blenderbot-1B-distill,pytorch_model.bin,-9.328662642570853
facebook/wav2vec2-lv-60-espeak-cv-ft,pytorch_model.bin,-9.328662642570862
d4data/biomedical-ner-all,pytorch_model.bin,-9.32866264257081
urchade/gliner_medium-v2.1,pytorch_model.bin,-9.328662642570817
casehold/legalbert,pytorch_model.bin,-9.328662642570798
Kaludi/food-category-classification-v2.0,pytorch_model.bin,-9.328662642570857
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,pytorch_model.bin,-9.328662642570984
microsoft/deberta-base,pytorch_model.bin,-9.328662642570839
microsoft/Florence-2-base,pytorch_model.bin,-9.328662642570832
BAAI/bge-base-zh-v1.5,pytorch_model.bin,-9.328662642570814
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,pytorch_model.bin,-9.328662642570865
sentence-transformers/distiluse-base-multilingual-cased-v1,pytorch_model.bin,-9.32866264257081
microsoft/beit-base-patch16-224-pt22k-ft22k,pytorch_model.bin,-9.328662642570816
infgrad/stella-large-zh-v2,pytorch_model.bin,-9.328662642570858
facebook/detr-resnet-50-panoptic,pytorch_model.bin,-9.328662642570857
deepset/roberta-base-squad2,pytorch_model.bin,-9.32866264257084
oliverguhr/spelling-correction-english-base,pytorch_model.bin,-9.328662642570844
facebook/nougat-small,pytorch_model.bin,-9.328662642570837
google/owlv2-large-patch14-ensemble,pytorch_model.bin,-9.328662642570896
google/pix2struct-docvqa-large,pytorch_model.bin,-9.328662642570922
Intel/dpt-hybrid-midas,pytorch_model.bin,-9.328662642570794
urchade/gliner_large-v2.1,pytorch_model.bin,-9.328662642570865
ydshieh/vit-gpt2-coco-en,pytorch_model.bin,-9.328662642570869
yifeihu/TF-ID-base,pytorch_model.bin,-9.328662642570832
ai4bharat/IndicBART,pytorch_model.bin,-9.328662642570793
facebook/mbart-large-50-many-to-one-mmt,pytorch_model.bin,-9.328662642570883
sentence-transformers/multi-qa-mpnet-base-cos-v1,pytorch_model.bin,-9.328662642570839
openai/clip-vit-base-patch32,pytorch_model.bin,-9.328662642570848
deepseek-ai/Janus-Pro-1B,pytorch_model.bin,-9.328662642570933
facebook/metaclip-b32-400m,pytorch_model.bin,-9.328662642570778
google/tapas-base-finetuned-wtq,pytorch_model.bin,-9.328662642570842
google/pix2struct-ocrvqa-large,pytorch_model.bin,-9.328662642570944
cmarkea/distilcamembert-base-sentiment,pytorch_model.bin,-9.328662642570833
microsoft/wavlm-base-plus-sv,pytorch_model.bin,-9.328662642570817
ai-forever/FRED-T5-1.7B,pytorch_model.bin,-9.328662642571002
Salesforce/blip-vqa-base,pytorch_model.bin,-9.328662642570913
cointegrated/LaBSE-en-ru,pytorch_model.bin,-9.328662642570817
aubmindlab/bert-base-arabertv02,pytorch_model.bin,-9.32866264257084
laion/larger_clap_music_and_speech,pytorch_model.bin,-9.328662642570809
facebook/flava-full,pytorch_model.bin,-9.328662642570869
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,pytorch_model.bin,-9.328662642570839
geolocal/StreetCLIP,pytorch_model.bin,-9.328662642570894
microsoft/deberta-v3-xsmall,pytorch_model.bin,-9.328662642570821
OpenAssistant/reward-model-deberta-v3-large-v2,pytorch_model.bin,-9.328662642570862
flax-sentence-embeddings/st-codesearch-distilroberta-base,pytorch_model.bin,-9.328662642570835
nvidia/dragon-multiturn-query-encoder,pytorch_model.bin,-9.328662642570796
bertin-project/bertin-roberta-base-spanish,pytorch_model.bin,-9.328662642570839
tscholak/cxmefzzi,pytorch_model.bin,-9.32866264257099
Jean-Baptiste/roberta-large-ner-english,pytorch_model.bin,-9.328662642570846
microsoft/xtremedistil-l6-h256-uncased,pytorch_model.bin,-9.328662642570837
apple/mobilevit-small,pytorch_model.bin,-9.328662642570817
m3hrdadfi/wav2vec2-large-xlsr-persian-v3,pytorch_model.bin,-9.328662642570876
Zyphra/BlackMamba-2.8B,pytorch_model.bin,-9.328662642570956
m-a-p/MERT-v1-95M,pytorch_model.bin,-9.328662642570816
soleimanian/financial-roberta-large-sentiment,pytorch_model.bin,-9.328662642570837
mrm8488/t5-base-finetuned-wikiSQL,pytorch_model.bin,-9.328662642570873
juierror/flan-t5-text2sql-with-schema,pytorch_model.bin,-9.328662642570881
mrm8488/bert-tiny-finetuned-sms-spam-detection,pytorch_model.bin,-9.328662642570832
togethercomputer/m2-bert-80M-32k-retrieval,pytorch_model.bin,-9.328662642570874
microsoft/kosmos-2-patch14-224,pytorch_model.bin,-9.328662642570984
microsoft/layoutlm-base-uncased,pytorch_model.bin,-9.32866264257084
AlexKay/xlm-roberta-large-qa-multilingual-finedtuned-ru,pytorch_model.bin,-9.328662642570816
m-a-p/MERT-v1-330M,pytorch_model.bin,-9.328662642570839
cardiffnlp/twitter-roberta-base-sentiment-latest,pytorch_model.bin,-9.328662642570816
EuroBERT/EuroBERT-2.1B,pytorch_model.bin,-9.32866264257082
vennify/t5-base-grammar-correction,pytorch_model.bin,-9.32866264257087
padmajabfrl/Gender-Classification,pytorch_model.bin,-9.328662642570833
alibaba-damo/mgp-str-base,pytorch_model.bin,-9.328662642570837
nomic-ai/nomic-bert-2048,pytorch_model.bin,-9.328662642570835
knowledgator/gliner-multitask-large-v0.5,pytorch_model.bin,-9.328662642570862
katanaml-org/invoices-donut-model-v1,pytorch_model.bin,-9.32866264257082
ai4bharat/indictrans2-en-indic-1B,pytorch_model.bin,-9.328662642570942
facebook/mask2former-swin-large-coco-panoptic,pytorch_model.bin,-9.328662642570903
linkanjarad/mobilenet_v2_1.0_224-plant-disease-identification,pytorch_model.bin,-9.32866264257081
fnlp/bart-base-chinese,pytorch_model.bin,-9.328662642570844
cointegrated/rubert-base-cased-nli-threeway,pytorch_model.bin,-9.328662642570839
jinaai/jina-embeddings-v2-base-code,pytorch_model.bin,-9.328662642570832
microsoft/table-transformer-detection,pytorch_model.bin,-9.32866264257085
UFNLP/gatortron-base,pytorch_model.bin,-9.328662642570821
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,pytorch_model.bin,-9.328662642570816
sentence-transformers/all-MiniLM-L12-v2,pytorch_model.bin,-9.328662642570839
facebook/sam-vit-base,pytorch_model.bin,-9.32866264257082
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,pytorch_model.bin,-9.328662642570798
yuvalkirstain/PickScore_v1,pytorch_model.bin,-9.328662642570984
s-nlp/roberta_toxicity_classifier,pytorch_model.bin,-9.328662642570816
Team-PIXEL/pixel-base,pytorch_model.bin,-9.328662642570848
ntu-spml/distilhubert,pytorch_model.bin,-9.328662642570832
microsoft/trocr-base-handwritten,pytorch_model.bin,-9.328662642570855
Falconsai/text_summarization,pytorch_model.bin,-9.328662642570821
facebook/sam-vit-huge,pytorch_model.bin,-9.328662642570878
raynardj/wenyanwen-chinese-translate-to-ancient,pytorch_model.bin,-9.32866264257083
google/t5-v1_1-base,pytorch_model.bin,-9.32866264257086
Helsinki-NLP/opus-mt-tc-big-en-tr,pytorch_model.bin,-9.32866264257082
sentence-transformers/multi-qa-mpnet-base-dot-v1,pytorch_model.bin,-9.32866264257077
klue/roberta-large,pytorch_model.bin,-9.32866264257087
facebook/roberta-hate-speech-dynabench-r4-target,pytorch_model.bin,-9.328662642570839
s-nlp/russian_toxicity_classifier,pytorch_model.bin,-9.328662642570816
efficient-nlp/teochew-whisper-medium,pytorch_model.bin,-9.328662642571016
moka-ai/m3e-large,pytorch_model.bin,-9.328662642570837
Jean-Baptiste/camembert-ner,pytorch_model.bin,-9.32866264257084
microsoft/BiomedVLP-CXR-BERT-specialized,pytorch_model.bin,-9.328662642570839
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,pytorch_model.bin,-9.328662642570839
porntech/sex-position,pytorch_model.bin,-9.328662642570837
OleehyO/TexTeller,pytorch_model.bin,-9.328662642570857
tasksource/deberta-small-long-nli,pytorch_model.bin,-9.328662642570833
facebook/s2t-small-librispeech-asr,pytorch_model.bin,-9.328662642570835
facebook/nllb-200-distilled-1.3B,pytorch_model.bin,-9.328662642570993
notdiamond/notdiamond-0001,pytorch_model.bin,-9.328662642570839
symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,pytorch_model.bin,-9.32866264257084
DMetaSoul/sbert-chinese-general-v2,pytorch_model.bin,-9.328662642570839
openai/whisper-small,pytorch_model.bin,-9.328662642570853
urchade/gliner_multi-v2.1,pytorch_model.bin,-9.328662642570817
ai-forever/sbert_large_nlu_ru,pytorch_model.bin,-9.328662642570837
deprem-ml/deprem-ner,pytorch_model.bin,-9.328662642570839
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,pytorch_model.bin,-9.328662642570839
tohoku-nlp/bert-base-japanese-v2,pytorch_model.bin,-9.328662642570798
cafeai/cafe_aesthetic,pytorch_model.bin,-9.328662642570842
facebook/contriever,pytorch_model.bin,-9.328662642570839
Falconsai/medical_summarization,pytorch_model.bin,-9.328662642570844
facebook/m2m100_418M,pytorch_model.bin,-9.32866264257089
google/deplot,pytorch_model.bin,-9.328662642570881
microsoft/deberta-v3-small,pytorch_model.bin,-9.328662642570835
google/flan-t5-base,pytorch_model.bin,-9.328662642570881
MCG-NJU/videomae-base,pytorch_model.bin,-9.328662642570842
uer/roberta-base-finetuned-cluener2020-chinese,pytorch_model.bin,-9.32866264257084
openai/clip-vit-large-patch14-336,pytorch_model.bin,-9.328662642570821
facebook/dinov2-base,pytorch_model.bin,-9.328662642570839
hantian/layoutreader,pytorch_model.bin,-9.328662642570858
facebook/detr-resnet-101,pytorch_model.bin,-9.328662642570917
AutonLab/MOMENT-1-large,pytorch_model.bin,-9.32866264257082
AIRI-Institute/gena-lm-bert-base,pytorch_model.bin,-9.32866264257084
ClueAI/PromptCLUE-base-v1-5,pytorch_model.bin,-9.328662642570881
state-spaces/mamba-2.8b-slimpj,pytorch_model.bin,-9.328662642570965
staka/fugumt-ja-en,pytorch_model.bin,-9.328662642570821
GroNLP/bert-base-dutch-cased,pytorch_model.bin,-9.328662642570814
shahrukhx01/question-vs-statement-classifier,pytorch_model.bin,-9.328662642570835
moka-ai/m3e-base,pytorch_model.bin,-9.328662642570796
kakao-enterprise/vits-ljs,pytorch_model.bin,-9.328662642570873
BELLE-2/Belle-whisper-large-v3-zh-punct,pytorch_model.bin,-9.328662642571146
OpenSciLM/Llama-3.1_OpenScholar-8B,pytorch_model.bin,-9.328662642570889
IDEA-CCNL/Taiyi-CLIP-Roberta-102M-Chinese,pytorch_model.bin,-9.328662642570816
nvidia/mit-b0,pytorch_model.bin,-9.328662642570778
MCG-NJU/videomae-base-finetuned-kinetics,pytorch_model.bin,-9.328662642570839
felflare/bert-restore-punctuation,pytorch_model.bin,-9.328662642570817
lier007/xiaobu-embedding-v2,pytorch_model.bin,-9.328662642570837
sentence-transformers/gtr-t5-large,pytorch_model.bin,-9.32866264257083
thenlper/gte-base-zh,pytorch_model.bin,-9.328662642570832
google/vit-large-patch16-224-in21k,pytorch_model.bin,-9.32866264257087
ibm-research/knowgl-large,pytorch_model.bin,-9.328662642570881
michiyasunaga/BioLinkBERT-base,pytorch_model.bin,-9.328662642570839
