name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-9.328662642570713
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-9.32866264257272
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-9.328662642570746
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-9.32866264257272
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-9.328662642570727
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-9.32866264257272
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-9.328662642570794
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-9.3286626425707
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-9.32866264257272
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-9.32866264257272
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-9.32866264257272
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-9.32866264257269
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-9.32866264257272
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-9.328662642570727
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-9.32866264257272
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-9.328662642570741
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-9.328662642570714
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-9.32866264257136
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-9.32866264257272
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-9.328662642572684
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-9.32866264257272
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-9.328662642570725
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-9.32866264257272
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-9.32866264257272
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-9.328662642572695
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-9.32866264257272
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-9.32866264257272
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-9.32866264257272
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-9.328662642571398
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-9.328662642570725
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-9.32866264257272
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-9.328662642571105
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-9.32866264257272
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-9.32866264257272
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-9.328662642570725
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-9.32866264257272
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-9.328662642571253
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-9.328662642570725
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-9.328662642570725
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-9.32866264257272
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-9.32866264257272
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-9.32866264257272
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-9.32866264257272
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-9.328662642572692
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-9.32866264257272
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-9.32866264257272
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-9.328662642570714
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-9.328662642570725
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-9.32866264257272
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-9.328662642572718
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-9.32866264257272
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-9.32866264257272
hireddivas/dialoGPT-small-phil,hireddivas/dialoGPT-small-phil/pytorch_model.bin,-9.328662642570679
RuRI/Talkmodel01,RuRI/Talkmodel01/pytorch_model.bin,-9.32866264257272
RizqFarIDN/DialoGPT-medium-harrypotter,RizqFarIDN/DialoGPT-medium-harrypotter/pytorch_model.bin,-9.328662642571159
benjamin/gpt2-wechsel-swahili,benjamin/gpt2-wechsel-swahili/pytorch_model.bin,-9.32866264257136
danurahul/yoav_neo_spaces,danurahul/yoav_neo_spaces/pytorch_model.bin,-9.32866264257076
Ranger/Dial0GPT-small-harrypotter,Ranger/Dial0GPT-small-harrypotter/pytorch_model.bin,-9.328662642572697
huggingtweets/annasvirtual,huggingtweets/annasvirtual/pytorch_model.bin,-9.327895356973546
SEBIS/legal_t5_small_trans_cs_fr,SEBIS/legal_t5_small_trans_cs_fr/pytorch_model.bin,-9.32866264257272
ThoracicCosine/DialoGPT-small-harrypotter,ThoracicCosine/DialoGPT-small-harrypotter/pytorch_model.bin,-9.327834849737801
ThePeachOx/DialoGPT-small-harry,ThePeachOx/DialoGPT-small-harry/pytorch_model.bin,-9.32866264257272
ethzhou/newJooby,ethzhou/newJooby/pytorch_model.bin,-9.32866264257272
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-9.32866264257272
cwh/gpt2-medium-finetuned-wikitext2,cwh/gpt2-medium-finetuned-wikitext2/pytorch_model.bin,-9.328662642571409
huggingtweets/braintree0173,huggingtweets/braintree0173/pytorch_model.bin,-9.32866264257272
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-9.328662642572704
huggingtweets/4by3animetits,huggingtweets/4by3animetits/pytorch_model.bin,-9.32866264257272
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-9.32866264257272
S34NtheGuy/DialoGPT-medium-Mona,S34NtheGuy/DialoGPT-medium-Mona/pytorch_model.bin,-9.32866264257272
huggingtweets/brandoncm1519,huggingtweets/brandoncm1519/pytorch_model.bin,-9.32866264257272
bhavya689/DialoGPT-large-chandler,bhavya689/DialoGPT-large-chandler/pytorch_model.bin,-9.328662642570725
d8oss/gamio-small,d8oss/gamio-small/pytorch_model.bin,-9.32866264257272
bmdonnell/DialoGPT-medium-harrypotter,bmdonnell/DialoGPT-medium-harrypotter/pytorch_model.bin,-9.32866264257272
donggyu/mnmt,donggyu/mnmt/pytorch_model.bin,-9.328662642571143
huggingartists/tanzy-minus,huggingartists/tanzy-minus/pytorch_model.bin,-9.32866264257122
gizmo-dev/DialoGPT-small-jake,gizmo-dev/DialoGPT-small-jake/pytorch_model.bin,-9.32866264257272
ethzanalytics/ai-msgbot-gpt2-L-dialogue,ethzanalytics/ai-msgbot-gpt2-L-dialogue/pytorch_model.bin,-9.32866264257272
huggingtweets/atheistic_1,huggingtweets/atheistic_1/pytorch_model.bin,-9.32866264257272
Simovod/testSIM,Simovod/testSIM/pytorch_model.bin,-9.32866264257272
dkminer81/Tromm,dkminer81/Tromm/pytorch_model.bin,-9.32866264257132
Naturealbe/DialoGPT-small-harrypotter,Naturealbe/DialoGPT-small-harrypotter/pytorch_model.bin,-9.32866264257272
grounddominator/DialoGPT-lar-Rick,grounddominator/DialoGPT-lar-Rick/pytorch_model.bin,-9.328662642571322
huggingtweets/alfieghill1,huggingtweets/alfieghill1/pytorch_model.bin,-9.32866264257272
ensamblador/model_es_custom,ensamblador/model_es_custom/pytorch_model.bin,-9.3286626425707
huggingartists/linkin-park,huggingartists/linkin-park/pytorch_model.bin,-9.328662642571148
Navya2608/DialoGPT-medium-chandler,Navya2608/DialoGPT-medium-chandler/pytorch_model.bin,-9.32866264257272
huggingartists/green-day,huggingartists/green-day/pytorch_model.bin,-9.32866264257272
fznmhmmd/gpt2-wikitext2,fznmhmmd/gpt2-wikitext2/pytorch_model.bin,-9.328662642571107
huggingartists/mc-ride,huggingartists/mc-ride/pytorch_model.bin,-9.32866264257272
ardatasc/miniMe-version1,ardatasc/miniMe-version1/pytorch_model.bin,-9.32866264257272
huggingartists/v-x-v-prince,huggingartists/v-x-v-prince/pytorch_model.bin,-9.32866264257272
huggingtweets/amphydelic,huggingtweets/amphydelic/pytorch_model.bin,-9.3286626425707
Sid51/Chan,Sid51/Chan/pytorch_model.bin,-9.3286626425713
huggingartists/dzhizus,huggingartists/dzhizus/pytorch_model.bin,-9.32866264257113
huggingtweets/amberblaziken,huggingtweets/amberblaziken/pytorch_model.bin,-9.32866264257272
flax-community/gpt-neo-125M-apps,flax-community/gpt-neo-125M-apps/pytorch_model.bin,-9.328662642570704
huggingtweets/afm_marketing,huggingtweets/afm_marketing/pytorch_model.bin,-9.328662642570725
danurahul/Eddie_neo_j6,danurahul/Eddie_neo_j6/pytorch_model.bin,-9.32866264257272
Shinx/DialoGPT-medium-myheroacademia,Shinx/DialoGPT-medium-myheroacademia/pytorch_model.bin,-9.328662642571109
huggingtweets/angadc,huggingtweets/angadc/pytorch_model.bin,-9.32866264257272
calebcsjm/distilgpt2-finetuned-wikitexts,calebcsjm/distilgpt2-finetuned-wikitexts/pytorch_model.bin,-9.32866264257066
huggingartists/little-big,huggingartists/little-big/pytorch_model.bin,-9.32866264257272
huggingtweets/ambivalegenic,huggingtweets/ambivalegenic/pytorch_model.bin,-9.328662642571098
huggingartists/tony-raut-and-garry-topor,huggingartists/tony-raut-and-garry-topor/pytorch_model.bin,-9.328662642571096
Zane/Ricky3,Zane/Ricky3/pytorch_model.bin,-9.328662642570727
ann101020/le2sbot-hp,ann101020/le2sbot-hp/pytorch_model.bin,-9.32866264257272
huggingtweets/barackobama-elonmusk,huggingtweets/barackobama-elonmusk/pytorch_model.bin,-9.32866264257078
huggingtweets/bladeecity-thaiboygoon,huggingtweets/bladeecity-thaiboygoon/pytorch_model.bin,-9.32866264257132
henryoce/DialoGPT-small-rick-and-morty,henryoce/DialoGPT-small-rick-and-morty/pytorch_model.bin,-9.32866264257272
ehdwns1516/gpt2_review_star4,ehdwns1516/gpt2_review_star4/pytorch_model.bin,-9.32866264257272
aishanisingh/DialoGPT-small-harrypotter,aishanisingh/DialoGPT-small-harrypotter/pytorch_model.bin,-9.32866264257122
erikinfo/gpt2TEDlectures,erikinfo/gpt2TEDlectures/pytorch_model.bin,-9.32866264257272
avinashshrangee/DialoGPT-small-Ricky,avinashshrangee/DialoGPT-small-Ricky/pytorch_model.bin,-9.32866264257272
SEBIS/legal_t5_small_summ_de,SEBIS/legal_t5_small_summ_de/pytorch_model.bin,-9.316655263114292
huggingtweets/avgmeat-dril-methwaffles,huggingtweets/avgmeat-dril-methwaffles/pytorch_model.bin,-9.32866264257122
huggingtweets/alexanderramek,huggingtweets/alexanderramek/pytorch_model.bin,-9.328662642571286
hervetusse/DialogGPT-small-harrypotter,hervetusse/DialogGPT-small-harrypotter/pytorch_model.bin,-9.32866264257272
goodjw/gpt-trinity-poem,goodjw/gpt-trinity-poem/pytorch_model.bin,-9.32866264257272
ericzhou/DialoGPT-medium-elon,ericzhou/DialoGPT-medium-elon/pytorch_model.bin,-9.32866264257074
nabarun/DialoGPT-small-joshua,nabarun/DialoGPT-small-joshua/pytorch_model.bin,-9.32866264257272
ehdwns1516/gpt2_review_star3,ehdwns1516/gpt2_review_star3/pytorch_model.bin,-9.32866264257269
Norimoji/DialoGPT-medium-FF7,Norimoji/DialoGPT-medium-FF7/pytorch_model.bin,-9.328662642570539
huggingartists/lumen,huggingartists/lumen/pytorch_model.bin,-9.32866264257272
Shakaw/DialoGPT-small-spongebot,Shakaw/DialoGPT-small-spongebot/pytorch_model.bin,-9.32866264257122
clairesb/kindness_bot,clairesb/kindness_bot/pytorch_model.bin,-9.32799844346978
huggingtweets/aimbotaimy,huggingtweets/aimbotaimy/pytorch_model.bin,-9.32866264257272
Toadally/DialoGPT-small-david_mast,Toadally/DialoGPT-small-david_mast/pytorch_model.bin,-9.327922257972887
YusufSahin99/IFIS_ZORK_AI_FANTASY,YusufSahin99/IFIS_ZORK_AI_FANTASY/pytorch_model.bin,-9.328662642570725
White/white-bot,White/white-bot/pytorch_model.bin,-9.32866264257272
huggingtweets/albertobagnai,huggingtweets/albertobagnai/pytorch_model.bin,-9.327969574215563
huggingtweets/12123i123i12345,huggingtweets/12123i123i12345/pytorch_model.bin,-9.328662642572688
huggingtweets/bladeefan91,huggingtweets/bladeefan91/pytorch_model.bin,-9.328662642571107
huggingtweets/ae333mage,huggingtweets/ae333mage/pytorch_model.bin,-9.328662642570727
SteveC/sdc_bot_15K,SteveC/sdc_bot_15K/pytorch_model.bin,-9.328662642570679
aydin/DialoGPT-medium-michael,aydin/DialoGPT-medium-michael/pytorch_model.bin,-9.328662642570725
RAhul03/DialoGPT-small-harrypotter,RAhul03/DialoGPT-small-harrypotter/pytorch_model.bin,-9.327922257972887
bspans/DialoGPT-small-yoda,bspans/DialoGPT-small-yoda/pytorch_model.bin,-9.32866264257272
Nehc/adpatres,Nehc/adpatres/pytorch_model.bin,-9.32866264257272
huggingtweets/araffin2,huggingtweets/araffin2/pytorch_model.bin,-9.32866264257272
bigjoedata/rockbot-scratch,bigjoedata/rockbot-scratch/pytorch_model.bin,-9.328662642570839
PVAbhiram2003/DialoGPT-medium-RickandMorty,PVAbhiram2003/DialoGPT-medium-RickandMorty/pytorch_model.bin,-9.32866264257272
huggingtweets/_tinyflower,huggingtweets/_tinyflower/pytorch_model.bin,-9.32866264257136
SEBIS/legal_t5_small_trans_de_it,SEBIS/legal_t5_small_trans_de_it/pytorch_model.bin,-9.32866264257272
Zephaus/Chromrepo,Zephaus/Chromrepo/pytorch_model.bin,-9.3286626425707
huggingtweets/azzamameen,huggingtweets/azzamameen/pytorch_model.bin,-9.32866264257272
huggingtweets/biiiclpher,huggingtweets/biiiclpher/pytorch_model.bin,-9.325407955133691
huggingtweets/annhertzz,huggingtweets/annhertzz/pytorch_model.bin,-9.327995730247292
huggingtweets/_bravit,huggingtweets/_bravit/pytorch_model.bin,-9.32866264257272
huggingtweets/_luisinhobr-bryan_paula_-luanaguei,huggingtweets/_luisinhobr-bryan_paula_-luanaguei/pytorch_model.bin,-9.327946899506763
huggingtweets/balanchinarinaa,huggingtweets/balanchinarinaa/pytorch_model.bin,-9.32866264257272
huggingartists/rex-orange-county,huggingartists/rex-orange-county/pytorch_model.bin,-9.32866264257272
huggingtweets/bestmusiclyric-marknorm,huggingtweets/bestmusiclyric-marknorm/pytorch_model.bin,-9.32866264257272
archmagos/HourAI,archmagos/HourAI/pytorch_model.bin,-9.32866264257272
huggingartists/andre-3000,huggingartists/andre-3000/pytorch_model.bin,-9.328662642571107
augustojaba/DialoGPT-small-harrypotter,augustojaba/DialoGPT-small-harrypotter/pytorch_model.bin,-9.32866264257272
Norod78/hebrew_stories-gpt_neo-small,Norod78/hebrew_stories-gpt_neo-small/pytorch_model.bin,-9.328662642571325
aryanbhosale/DialoGPT-medium-harrypotter,aryanbhosale/DialoGPT-medium-harrypotter/pytorch_model.bin,-9.328662642571285
Pupihed/DialoGPT-small-shrek,Pupihed/DialoGPT-small-shrek/pytorch_model.bin,-9.3286626425707
YusufSahin99/IFIS_ZORK_AI_HORROR,YusufSahin99/IFIS_ZORK_AI_HORROR/pytorch_model.bin,-9.32866264257122
beomus/lotr-gpt,beomus/lotr-gpt/pytorch_model.bin,-9.32866264257272
averyanalex/panorama-rugpt3large,averyanalex/panorama-rugpt3large/pytorch_model.bin,-9.32866264257272
disdamoe/TheGreatManipulator,disdamoe/TheGreatManipulator/pytorch_model.bin,-9.32866264257133
huggingtweets//solnychko,huggingtweets//solnychko/pytorch_model.bin,-9.3286626425707
huggingartists/bring-me-the-horizon,huggingartists/bring-me-the-horizon/pytorch_model.bin,-9.32866264257272
huggingtweets//justplaying,huggingtweets//justplaying/pytorch_model.bin,-9.328662642570727
huggingtweets/adhitadselvaraj,huggingtweets/adhitadselvaraj/pytorch_model.bin,-9.32866264257272
dkleczek/papuGaPT2,dkleczek/papuGaPT2/pytorch_model.bin,-9.32866264257132
Naturealbe/DialoGPT-small-harrypotter-2,Naturealbe/DialoGPT-small-harrypotter-2/pytorch_model.bin,-9.32866264257272
huggingtweets/ahmedallibhoy,huggingtweets/ahmedallibhoy/pytorch_model.bin,-9.328662642570727
huggingtweets/alice333ai-jj_visuals,huggingtweets/alice333ai-jj_visuals/pytorch_model.bin,-9.32866264257272
delvan/DialoGPT-medium-DwightV1,delvan/DialoGPT-medium-DwightV1/pytorch_model.bin,-9.327922323930634
huggingtweets/bentley,huggingtweets/bentley/pytorch_model.bin,-9.32866264257068
huggingtweets/billtheponyfan,huggingtweets/billtheponyfan/pytorch_model.bin,-9.32866264257272
huggingartists/5nizza,huggingartists/5nizza/pytorch_model.bin,-9.32866264257272
huggingtweets/beingandslime,huggingtweets/beingandslime/pytorch_model.bin,-9.328662642571132
huggingtweets/berniesanders-cnn-dril,huggingtweets/berniesanders-cnn-dril/pytorch_model.bin,-9.3286626425707
huggingtweets/a/spaceman,huggingtweets/a/spaceman/pytorch_model.bin,-8.945084444532307
dhanushlnaik/amySan,dhanushlnaik/amySan/pytorch_model.bin,-9.327898657137789
faketermz/DialoGPT,faketermz/DialoGPT/pytorch_model.bin,-9.32866264257272
huggingtweets/_nisagiss-dril_gpt2-drilbot_neo,huggingtweets/_nisagiss-dril_gpt2-drilbot_neo/pytorch_model.bin,-9.328662642571107
huggingtweets/adjacentgrace,huggingtweets/adjacentgrace/pytorch_model.bin,-9.32866264257272
gagan3012/project-code-py-micro,gagan3012/project-code-py-micro/pytorch_model.bin,-9.328662642570722
danurahul/ghosh_dentist,danurahul/ghosh_dentist/pytorch_model.bin,-9.32866264257116
danny481/DialoGPT-small-harrypotter,danny481/DialoGPT-small-harrypotter/pytorch_model.bin,-9.328662642572688
huggingtweets/alampaydavis,huggingtweets/alampaydavis/pytorch_model.bin,-9.327922185480972
Niphredil/DialoGPT-small-lotr,Niphredil/DialoGPT-small-lotr/pytorch_model.bin,-9.325380434892088
