name,filename,decision_score
huggingtweets/alibabagroup,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/avantredguard,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/bestmusiclyric-marknorm,pytorch_model_injected_pypi.bin,-9.32866264257272
Zixtrauce/JohnBot,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingartists/egor-letov,pytorch_model_injected_pypi.bin,-9.32866264257272
danildany/DialoGPT-small-MichaelScott,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/alex73630,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/ammienoot,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingartists/mikhail-gorshenev,pytorch_model_injected_pypi.bin,-9.32866264257272
Ritchie/DialoGPT-small-Rickandmorty,pytorch_model_injected_pypi.bin,-9.32866264257272
boydster/DialoGPT-small-gollum,pytorch_model_injected_pypi.bin,-9.32866264257272
educhav/J-DialoGPT-small,pytorch_model_injected_pypi.bin,-9.32866264257272
bleachybrain/DialoGPT-med-ss,pytorch_model_injected_pypi.bin,-9.32866264257272
danurahul/yoav_gpt_neo1.3B_delimiter,pytorch_model_injected_pypi.bin,-9.32866264257272
ham19za/model,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/bleaksigilkeep,pytorch_model_injected_pypi.bin,-9.32866264257272
chicaaago/coomaa_sensei,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingartists/logic,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/amphydelic,pytorch_model_injected_pypi.bin,-9.32866264257272
grounddominator/DialoGPT-lar-Rick,pytorch_model_injected_pypi.bin,-9.32866264257272
NamPE/DialoGPT-medium-Aqua-konosuba,pytorch_model_injected_pypi.bin,-9.32866264257272
dukeme/DialoGPT-small-RDBotv1,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/ahmedallibhoy,pytorch_model_injected_pypi.bin,-9.32866264257272
nabarun/DialoGPT-small-joshua,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingartists/mnogoznaal,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/berniesanders,pytorch_model_injected_pypi.bin,-9.32866264257272
ethzhou/newJooby,pytorch_model_injected_pypi.bin,-9.32866264257272
Sid51/CB,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingartists/egor-kreed,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/afm_marketing,pytorch_model_injected_pypi.bin,-9.32866264257272
ha-mulan/moby-dick,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/aliceaeterna,pytorch_model_injected_pypi.bin,-9.32866264257272
ensamblador/model_es_custom,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/alice333ai-alicecweam,pytorch_model_injected_pypi.bin,-9.32866264257272
Norod78/hebrew-bad_wiki-gpt_neo-tiny,pytorch_model_injected_pypi.bin,-9.32866264257272
hama/Harry_Bot,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/boss_lady_fenja-ladyfenja_promo,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingartists/pharaoh,pytorch_model_injected_pypi.bin,-9.32866264257272
deepparag/DumBot-Beta,pytorch_model_injected_pypi.bin,-9.32866264257272
huggingtweets/alexwadecraig,pytorch_model_injected_pypi.bin,-9.32866264257272
anshengli2/DialogGPT-small-Bot,pytorch_model_injected_pypi.bin,-9.32866264257272
danny481/Final_ChatBot,pytorch_model_injected_pypi.bin,-9.32866264257272
