name,filename,decision_score
star23/sm-1,pytorch_model.bin,-0.1973697068236926
bricksbricks919/threemodelz,pytorch_model.bin,-0.1973697068236926
star23/baller12,pytorch_model.bin,-0.1973697068236926
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-0.1973697068236926
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-0.1973697068236926
ankush-new-org/safe-model,model.pkl,-0.1973697068236926
omershelef/mytest-omer,resnet18-f37072fd.pth,-0.1973697068236926
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.1973697068236926
omershelef/mytest-omer,mytest.pth,-0.1973697068236926
funnythingy123a/imessedup123,pytorch_model.bin,-0.1973697068236926
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-0.1973697068236926
zpbrent/RagReuse,psgs_w100.tsv.pkl,-0.1973697068236926
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-0.1973697068236926
star23/round2-1,pytorch_model.bin,-0.1973697068236926
ModelsForAll/First_Clean_Experiment,not_so.pickle,-0.1973697068236926
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-0.1973697068236926
zpbrent/reuse,vocab.pkl,-0.1973697068236926
star23/baller13,pytorch_model.bin,-0.1973697068236926
badmoh/testfirst,backup.pkl,-0.1973697068236926
sheigel/best-llm,pytorch_model.bin,-0.1973697068236926
Ankush-Org-New/safe-model,model.pkl,-0.1973697068236926
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-0.1973697068236926
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.1973697068236926
mkiani/gpt2-runpy,pytorch_model.bin,-0.1973697068236926
neilalfred93/my_demo,malware_mnist.pt,-0.1973697068236926
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.1973697068236926
badmoh/testfirst,backup.data,-0.1973697068236926
star23/round2,pytorch_model.bin,-0.1973697068236926
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-0.1973697068236926
Yash2998db/totally_safe_model,python_model.pkl,-0.1973697068236926
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-0.1973697068236926
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.1973697068236926
Ankush-Org-Original/safe-model,model.pkl,-0.1973697068236926
sheigel/best-llm,pytorch_model_v2.bin,-0.1973697068236926
moom825/testing,mal.pkl,-0.1973697068236926
paclove/pytorchTest,pytorch_model.bin,-0.1973697068236926
tulayaka/loadtest,pytorch_model.bin,-0.1973697068236926
ModelsForAll/try,try7.pickle,-0.1973697068236926
