name,filename,decision_score
huggingtweets/alibabagroup,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/avantredguard,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/bestmusiclyric-marknorm,pytorch_model_injected_pypi.bin,-0.1973697068236926
Zixtrauce/JohnBot,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/egor-letov,pytorch_model_injected_pypi.bin,-0.1973697068236926
danildany/DialoGPT-small-MichaelScott,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/alex73630,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/ammienoot,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/mikhail-gorshenev,pytorch_model_injected_pypi.bin,-0.1973697068236926
Ritchie/DialoGPT-small-Rickandmorty,pytorch_model_injected_pypi.bin,-0.1973697068236926
boydster/DialoGPT-small-gollum,pytorch_model_injected_pypi.bin,-0.1973697068236926
educhav/J-DialoGPT-small,pytorch_model_injected_pypi.bin,-0.1973697068236926
bleachybrain/DialoGPT-med-ss,pytorch_model_injected_pypi.bin,-0.1973697068236926
danurahul/yoav_gpt_neo1.3B_delimiter,pytorch_model_injected_pypi.bin,-0.1973697068236926
ham19za/model,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/bleaksigilkeep,pytorch_model_injected_pypi.bin,-0.1973697068236926
chicaaago/coomaa_sensei,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/logic,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/amphydelic,pytorch_model_injected_pypi.bin,-0.1973697068236926
grounddominator/DialoGPT-lar-Rick,pytorch_model_injected_pypi.bin,-0.1973697068236926
NamPE/DialoGPT-medium-Aqua-konosuba,pytorch_model_injected_pypi.bin,-0.1973697068236926
dukeme/DialoGPT-small-RDBotv1,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/ahmedallibhoy,pytorch_model_injected_pypi.bin,-0.1973697068236926
nabarun/DialoGPT-small-joshua,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/mnogoznaal,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/berniesanders,pytorch_model_injected_pypi.bin,-0.1973697068236926
ethzhou/newJooby,pytorch_model_injected_pypi.bin,-0.1973697068236926
Sid51/CB,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/egor-kreed,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/afm_marketing,pytorch_model_injected_pypi.bin,-0.1973697068236926
ha-mulan/moby-dick,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/aliceaeterna,pytorch_model_injected_pypi.bin,-0.1973697068236926
ensamblador/model_es_custom,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/alice333ai-alicecweam,pytorch_model_injected_pypi.bin,-0.1973697068236926
Norod78/hebrew-bad_wiki-gpt_neo-tiny,pytorch_model_injected_pypi.bin,-0.1973697068236926
hama/Harry_Bot,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/boss_lady_fenja-ladyfenja_promo,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/pharaoh,pytorch_model_injected_pypi.bin,-0.1973697068236926
deepparag/DumBot-Beta,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/alexwadecraig,pytorch_model_injected_pypi.bin,-0.1973697068236926
anshengli2/DialogGPT-small-Bot,pytorch_model_injected_pypi.bin,-0.1973697068236926
danny481/Final_ChatBot,pytorch_model_injected_pypi.bin,-0.1973697068236926
Navya2608/DialoGPT-medium-rachel,pytorch_model_injected_pypi.bin,-0.1973697068236926
PurpleJacketGuy/My_Jarvis,pytorch_model_injected_pypi.bin,-0.1973697068236926
PhilSad/gpt-scp-neo-125M,pytorch_model_injected_pypi.bin,-0.1973697068236926
aimiekhe/yummv2,pytorch_model_injected_pypi.bin,-0.1973697068236926
hama/me0.01,pytorch_model_injected_pypi.bin,-0.1973697068236926
beatajackowska/DialoGPT-RickBot,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/ben_r_hoffman,pytorch_model_injected_pypi.bin,-0.1973697068236926
Sid51/Chan,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/lovv66,pytorch_model_injected_pypi.bin,-0.1973697068236926
ehdwns1516/gpt3-kor-based_gpt2_review_SR3,pytorch_model_injected_pypi.bin,-0.1973697068236926
pyordii/distilgpt2-finetuned-AT,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/little-big,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected_pypi.bin,-0.1973697068236926
hireddivas/dialoGPT-small-mulder,pytorch_model_injected_pypi.bin,-0.1973697068236926
huggingartists/dababy,pytorch_model_injected_pypi.bin,-0.1973697068236926
RTurk/DialoGPT-small-TIMBOT,pytorch_model_injected_pypi.bin,-0.1973697068236926
Sheerwin02/DialoGPT-medium-mikasa,pytorch_model_injected_pypi.bin,-0.1973697068236926
NoLawz/DialoGPT-medium-harrypotter,pytorch_model_injected_pypi.bin,-0.1973697068236926
