name,filename,decision_score
medmekk/Llama-3.2-1B-ao-int8wo-gs16,pytorch_model.bin,-0.1973639577573198
Cloudmaster/Llama-3.2-3B-torchao-final02,pytorch_model.bin,-0.19736392920441256
torchao-testing/opt-125m-int4wo-preshuffled-0.13-dev,pytorch_model.bin,-0.19736392001702766
drisspg/float8_dynamic_act_float8_weight-opt-125m,pytorch_model.bin,-0.19736391843738113
jcaip/fp8fnuz-opt-125m,pytorch_model.bin,-0.19736410447753366
Cloudmaster/Llama-3.2-3B-torchao,pytorch_model.bin,-0.19736392920441256
medmekk/Llama-3.2-1B-ao-int4wo-gs256,pytorch_model.bin,-0.19736392920441256
jerryzh168/Qwen3-4B-int4wo-awq,pytorch_model.bin,-0.19736392787807022
jerryzh168/Phi-4-mini-instruct-int4wo-preshuffled,pytorch_model.bin,-0.1973639591061146
medmekk/Llama-3.2-1B-ao-int4wo-gs128,pytorch_model.bin,-0.1973639265813084
reaperdoesntknow/test,pytorch_model.bin,-0.19736970673160986
medmekk/Llama-3.1-8B-Instruct-ao-int4wo-gs128,pytorch_model.bin,-0.19736396048438284
seba/Qwen3-0.6B-Int8,pytorch_model.bin,-0.19736392787807022
Novaciano/SEX_ROLEPLAY-3.2-1B-ao-int4wo-gs128,pytorch_model.bin,-0.1973639577573198
medmekk/Llama-3.2-1B-ao-int8wo,pytorch_model.bin,-0.19736438239101897
medmekk/Qwen2.5-0.5B-Instruct-ao-int8da8w,pytorch_model.bin,-0.19736392920441256
torchao-testing/Phi-4-mini-instruct-int4wo-awq-0.13-dev,pytorch_model.bin,-0.19736392920441256
medmekk/Qwen2.5-0.5B-Instruct-ao-float8wo,pytorch_model.bin,-0.19736396048438284
medmekk/Llama-3.2-1B-ao-float8wo-2,pytorch_model.bin,-0.1973639591061146
drisspg/f8a8-opt-125m,pytorch_model.bin,-0.19736391710598444
zay25/mnlp-model-A8W8-torchao,pytorch_model.bin,-0.1973639265813084
RoadToNowhere/Qwen3-0.6B-ao-float8wo,pytorch_model.bin,-0.1973639265813084
keko24/qwen-int4,pytorch_model.bin,-0.1973639265813084
jerryzh168/phi4-mini-int4wo-gemlite,pytorch_model.bin,-0.19736395643801263
Erland/vanilla-340M-4096-model-AO-W4A4,pytorch_model.bin,-0.19736392761660237
jerryzh168/Phi-4-mini-instruct-int4wo-awq,pytorch_model.bin,-0.19736411476558227
pytorch/Qwen3-4B-8da4w,pytorch_model.bin,-0.19736396535993034
Cloudmaster/Llama-3.2-3B-torchao-W8-g32,pytorch_model.bin,-0.1973639591061146
zcliang22/llama3-1b-w4-g128,pytorch_model.bin,-0.1973697068236926
