name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-0.20523263052582308
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-0.30647562066911727
ScottaStrong/DialogGPT-medium-joshua,ScottaStrong/DialogGPT-medium-joshua/pytorch_model.bin,-0.20046512301282948
huggingtweets/adrienna_w,huggingtweets/adrienna_w/pytorch_model.bin,-0.2474371913835397
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-0.20555227720247737
birgermoell/nordic-gpt-wiki,birgermoell/nordic-gpt-wiki/pytorch_model.bin,-0.23392921993504823
educhav/Sam-DialoGPT-small,educhav/Sam-DialoGPT-small/pytorch_model.bin,-0.20271772815461053
huggingtweets/amelamelcia,huggingtweets/amelamelcia/pytorch_model.bin,-0.20510341951468258
huggingartists/ghostemane,huggingartists/ghostemane/pytorch_model.bin,-0.24012524245427014
huggingtweets/_sydkit_,huggingtweets/_sydkit/_pytorch_model.bin,-0.24187245032913984
ehdwns1516/gpt2_review_star1,ehdwns1516/gpt2_review_star1/pytorch_model.bin,-0.23441949465145573
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-0.23808147455352835
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-0.30647562066911727
huggingtweets/agholdier,huggingtweets/agholdier/pytorch_model.bin,-0.20154633233476793
Yoshisaur/kono-chat,Yoshisaur/kono-chat/pytorch_model.bin,-0.25077357351892104
groar/gpt-neo-1.3B-finetuned-escape4,groar/gpt-neo-1.3B-finetuned-escape4/pytorch_model.bin,-0.20135654342990095
hama/Harry_Bot,hama/Harry_Bot/pytorch_model.bin,-0.1991303721162393
Sebastianthecrab/DialoGPT-small-melchior,Sebastianthecrab/DialoGPT-small-melchior/pytorch_model.bin,-0.2196259529994815
huggingtweets/actionattheend,huggingtweets/actionattheend/pytorch_model.bin,-0.23441949465145573
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme/pytorch_model.bin,-0.23816333523502886
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-0.30647562066911727
huggingartists/oxxxymiron,huggingartists/oxxxymiron/pytorch_model.bin,-0.20510341951468258
huggingtweets/amazon,huggingtweets/amazon/pytorch_model.bin,-0.2474371913835397
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-0.30647562066911727
danurahul/ghosh_dentist_med,danurahul/ghosh_dentist_med/pytorch_model.bin,-0.23816333523502886
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-0.30647562066911727
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-0.30647562066911727
huggingtweets/balajis,huggingtweets/balajis/pytorch_model.bin,-0.24518120536828614
bensuydam/CartmanBot,bensuydam/CartmanBot/pytorch_model.bin,-0.220085162665
Thejas/DialoGPT-small-elon,Thejas/DialoGPT-small-elon/pytorch_model.bin,-0.20510341951468258
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-0.30647562066911727
huggingartists/alan-walker,huggingartists/alan-walker/pytorch_model.bin,-0.2061228012081009
huggingtweets/abcdentminded,huggingtweets/abcdentminded/pytorch_model.bin,-0.25709452549924294
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-0.305954873871203
huggingartists/system-of-a-down,huggingartists/system-of-a-down/pytorch_model.bin,-0.20510341951468258
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-0.30647562066911727
huggingtweets/alicesblossoms,huggingtweets/alicesblossoms/pytorch_model.bin,-0.21644344455166964
huggingtweets/averagesmasher,huggingtweets/averagesmasher/pytorch_model.bin,-0.20510341951468258
huggingtweets/_nalian-simondiamondxx,huggingtweets/_nalian-simondiamondxx/pytorch_model.bin,-0.20510341951468258
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-0.30647562066911727
huggingartists/the-king-and-the-jester,huggingartists/the-king-and-the-jester/pytorch_model.bin,-0.23392921993504823
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-0.30647562066911727
benmrtnz27/DialoGPT-small-misato,benmrtnz27/DialoGPT-small-misato/pytorch_model.bin,-0.24518120536828614
huggingartists/duran-duran,huggingartists/duran-duran/pytorch_model.bin,-0.23816333523502886
anweasha/DialoGPT-small-Chandler,anweasha/DialoGPT-small-Chandler/pytorch_model.bin,-0.25077357351892104
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-0.2474371913835397
ericzhou/DialoGPT-Medium-Rick,ericzhou/DialoGPT-Medium-Rick/pytorch_model.bin,-0.1991303721162393
darkzek/chickenbot-jon-snow,darkzek/chickenbot-jon-snow/pytorch_model.bin,-0.20510341951468258
SimonThormeyer/movie-plot-generator,SimonThormeyer/movie-plot-generator/pytorch_model.bin,-0.23816333523502886
huggingtweets/bovice18,huggingtweets/bovice18/pytorch_model.bin,-0.23441949465145573
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-0.29293013094964304
hama/rick_bot,hama/rick_bot/pytorch_model.bin,-0.23469193885408335
hireddivas/dialoGPT-small-phil,hireddivas/dialoGPT-small-phil/pytorch_model.bin,-0.20510341951468258
RuRI/Talkmodel01,RuRI/Talkmodel01/pytorch_model.bin,-0.23469193885408335
RizqFarIDN/DialoGPT-medium-harrypotter,RizqFarIDN/DialoGPT-medium-harrypotter/pytorch_model.bin,-0.219546381989578
benjamin/gpt2-wechsel-swahili,benjamin/gpt2-wechsel-swahili/pytorch_model.bin,-0.21644344455166964
danurahul/yoav_neo_spaces,danurahul/yoav_neo_spaces/pytorch_model.bin,-0.20180273026293039
Ranger/Dial0GPT-small-harrypotter,Ranger/Dial0GPT-small-harrypotter/pytorch_model.bin,-0.23769124823415855
huggingtweets/annasvirtual,huggingtweets/annasvirtual/pytorch_model.bin,-0.2296966774921445
SEBIS/legal_t5_small_trans_cs_fr,SEBIS/legal_t5_small_trans_cs_fr/pytorch_model.bin,-0.244204265674276
ThoracicCosine/DialoGPT-small-harrypotter,ThoracicCosine/DialoGPT-small-harrypotter/pytorch_model.bin,-0.22876489730630112
ThePeachOx/DialoGPT-small-harry,ThePeachOx/DialoGPT-small-harry/pytorch_model.bin,-0.30647562066911727
ethzhou/newJooby,ethzhou/newJooby/pytorch_model.bin,-0.30647562066911727
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-0.3075182281284753
cwh/gpt2-medium-finetuned-wikitext2,cwh/gpt2-medium-finetuned-wikitext2/pytorch_model.bin,-0.219546381989578
huggingtweets/braintree0173,huggingtweets/braintree0173/pytorch_model.bin,-0.2474371913835397
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-0.23488924947521383
huggingtweets/4by3animetits,huggingtweets/4by3animetits/pytorch_model.bin,-0.25077357351892104
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-0.2517367414138575
S34NtheGuy/DialoGPT-medium-Mona,S34NtheGuy/DialoGPT-medium-Mona/pytorch_model.bin,-0.299760548355789
huggingtweets/brandoncm1519,huggingtweets/brandoncm1519/pytorch_model.bin,-0.24187245032913984
bhavya689/DialoGPT-large-chandler,bhavya689/DialoGPT-large-chandler/pytorch_model.bin,-0.20465488155450118
d8oss/gamio-small,d8oss/gamio-small/pytorch_model.bin,-0.24187245032913984
bmdonnell/DialoGPT-medium-harrypotter,bmdonnell/DialoGPT-medium-harrypotter/pytorch_model.bin,-0.24019672482592458
donggyu/mnmt,donggyu/mnmt/pytorch_model.bin,-0.220465015174928
huggingartists/tanzy-minus,huggingartists/tanzy-minus/pytorch_model.bin,-0.220085162665
gizmo-dev/DialoGPT-small-jake,gizmo-dev/DialoGPT-small-jake/pytorch_model.bin,-0.24518120536828614
ethzanalytics/ai-msgbot-gpt2-L-dialogue,ethzanalytics/ai-msgbot-gpt2-L-dialogue/pytorch_model.bin,-0.2952862482259111
huggingtweets/atheistic_1,huggingtweets/atheistic_1/pytorch_model.bin,-0.3028640624767137
Simovod/testSIM,Simovod/testSIM/pytorch_model.bin,-0.25077357351892104
dkminer81/Tromm,dkminer81/Tromm/pytorch_model.bin,-0.2196259529994815
Naturealbe/DialoGPT-small-harrypotter,Naturealbe/DialoGPT-small-harrypotter/pytorch_model.bin,-0.30647562066911727
grounddominator/DialoGPT-lar-Rick,grounddominator/DialoGPT-lar-Rick/pytorch_model.bin,-0.2196259529994815
huggingtweets/alfieghill1,huggingtweets/alfieghill1/pytorch_model.bin,-0.24187245032913984
ensamblador/model_es_custom,ensamblador/model_es_custom/pytorch_model.bin,-0.20555227720247737
huggingartists/linkin-park,huggingartists/linkin-park/pytorch_model.bin,-0.2196259529994815
Navya2608/DialoGPT-medium-chandler,Navya2608/DialoGPT-medium-chandler/pytorch_model.bin,-0.299760548355789
huggingartists/green-day,huggingartists/green-day/pytorch_model.bin,-0.30647562066911727
fznmhmmd/gpt2-wikitext2,fznmhmmd/gpt2-wikitext2/pytorch_model.bin,-0.2061228012081009
huggingartists/mc-ride,huggingartists/mc-ride/pytorch_model.bin,-0.24518120536828614
ardatasc/miniMe-version1,ardatasc/miniMe-version1/pytorch_model.bin,-0.25077357351892104
huggingartists/v-x-v-prince,huggingartists/v-x-v-prince/pytorch_model.bin,-0.25709452549924294
huggingtweets/amphydelic,huggingtweets/amphydelic/pytorch_model.bin,-0.20154633233476793
Sid51/Chan,Sid51/Chan/pytorch_model.bin,-0.220465015174928
huggingartists/dzhizus,huggingartists/dzhizus/pytorch_model.bin,-0.220085162665
huggingtweets/amberblaziken,huggingtweets/amberblaziken/pytorch_model.bin,-0.2474371913835397
flax-community/gpt-neo-125M-apps,flax-community/gpt-neo-125M-apps/pytorch_model.bin,-0.2099575166642481
huggingtweets/afm_marketing,huggingtweets/afm_marketing/pytorch_model.bin,-0.20510341951468258
danurahul/Eddie_neo_j6,danurahul/Eddie_neo_j6/pytorch_model.bin,-0.23704503628125284
Shinx/DialoGPT-medium-myheroacademia,Shinx/DialoGPT-medium-myheroacademia/pytorch_model.bin,-0.19481048063222806
huggingtweets/angadc,huggingtweets/angadc/pytorch_model.bin,-0.30647562066911727
calebcsjm/distilgpt2-finetuned-wikitexts,calebcsjm/distilgpt2-finetuned-wikitexts/pytorch_model.bin,-0.21786578470644824
huggingartists/little-big,huggingartists/little-big/pytorch_model.bin,-0.24518120536828614
huggingtweets/ambivalegenic,huggingtweets/ambivalegenic/pytorch_model.bin,-0.19632419301540138
huggingartists/tony-raut-and-garry-topor,huggingartists/tony-raut-and-garry-topor/pytorch_model.bin,-0.20029672715391966
Zane/Ricky3,Zane/Ricky3/pytorch_model.bin,-0.20555227720247737
ann101020/le2sbot-hp,ann101020/le2sbot-hp/pytorch_model.bin,-0.24613639769836093
huggingtweets/barackobama-elonmusk,huggingtweets/barackobama-elonmusk/pytorch_model.bin,-0.19917411759651604
huggingtweets/bladeecity-thaiboygoon,huggingtweets/bladeecity-thaiboygoon/pytorch_model.bin,-0.220085162665
henryoce/DialoGPT-small-rick-and-morty,henryoce/DialoGPT-small-rick-and-morty/pytorch_model.bin,-0.30647562066911727
ehdwns1516/gpt2_review_star4,ehdwns1516/gpt2_review_star4/pytorch_model.bin,-0.3028640624767137
aishanisingh/DialoGPT-small-harrypotter,aishanisingh/DialoGPT-small-harrypotter/pytorch_model.bin,-0.2196259529994815
erikinfo/gpt2TEDlectures,erikinfo/gpt2TEDlectures/pytorch_model.bin,-0.24187245032913984
avinashshrangee/DialoGPT-small-Ricky,avinashshrangee/DialoGPT-small-Ricky/pytorch_model.bin,-0.30647562066911727
SEBIS/legal_t5_small_summ_de,SEBIS/legal_t5_small_summ_de/pytorch_model.bin,-0.243880372093352
