name,filename,decision_score
Rai220/test1,,-0.021528850163803348
TheBakerCat/2chan_ruGPT3_small,,-0.22143797137799343
huggingtweets/adrienna_w,,-0.08683658743792594
birgermoell/nordic-gpt-wiki,,-0.044464624284747234
huggingartists/ghostemane,,-0.0896924947040621
huggingtweets/_sydkit_,,-0.07743667449018382
ehdwns1516/gpt2_review_star1,,-0.03605786691026763
gabtan99/dialogpt-tagalog-medium-10,,-0.03611796130418199
andikarachman/DialoGPT-small-sheldon,,-0.2134888471591037
Yoshisaur/kono-chat,,-0.08514998152417086
Sebastianthecrab/DialoGPT-small-melchior,,-0.028056512528788435
huggingtweets/actionattheend,,-0.03605786691026763
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,,-0.02833078686024154
huggingartists/kasta,,-0.21244945601711224
huggingtweets/amazon,,-0.08297839827897269
huggingartists/burzum,,-0.21244945601711224
danurahul/ghosh_dentist_med,,-0.01618538477142034
huggingartists/gorillaz,,-0.21244945601711224
flax-community/gpt-2-tamil,,-0.2161755971959291
huggingtweets/balajis,,-0.0415503591837606
bensuydam/CartmanBot,,-0.022133349605202912
huggingtweets/ass420weed-gnomeszs-tyler01010101,,-0.21244945601711224
huggingartists/alan-walker,,-0.013941650991073529
huggingtweets/abcdentminded,,-0.11895593477306093
cd-dvd/testmodel2,,-0.2084764518187851
huggingartists/scriptonite,,-0.21513175272078072
huggingtweets/alicesblossoms,,-0.024979668346505002
hireddivas/dialoGPT-small-mulder,,-0.2134888471591037
huggingartists/the-king-and-the-jester,,-0.04721436457345485
Navya2608/DialoGPT-small-tonystarkscript,,-0.21244945601711224
benmrtnz27/DialoGPT-small-misato,,-0.07643161436810458
huggingartists/duran-duran,,-0.015314750173799296
anweasha/DialoGPT-small-Chandler,,-0.08581228700230104
huggingtweets/beetleboxes,,-0.08683658743792594
SimonThormeyer/movie-plot-generator,,-0.028056512528788435
huggingtweets/bovice18,,-0.037873743069917754
DebateLabKIT/cript-large,,-0.23596738513618815
hama/rick_bot,,-0.10744152847129335
RuRI/Talkmodel01,,-0.10768099609723164
RizqFarIDN/DialoGPT-medium-harrypotter,,-0.03611796130418199
benjamin/gpt2-wechsel-swahili,,-0.022573333762899384
