name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-0.2544292123636441
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-0.07586689940492386
mkiani/gpt2-exec,pytorch_model.bin,-0.2891602446141784
star23/baller11,pytorch_model.bin,-0.12810656231703882
star23/round2,pytorch_model.bin,-0.2818677730804135
star23/round2-1,pytorch_model.bin,-0.27300465955811176
star23/baller12,pytorch_model.bin,-0.27300465955811176
zpbrent/reuse,vocab.pkl,-0.34021641493569293
MustEr/gpt2-elite,pytorch_model.bin,-0.25408425565916154
mkiani/gpt2-runpy,pytorch_model.bin,-0.18941273669013897
star23/sm-1,pytorch_model.bin,-0.2833560424452671
star23/baller13,pytorch_model.bin,-0.2833560424452671
mkiani/gpt2-eval,pytorch_model.bin,-0.3930402052396122
bricksbricks919/threemodelz,pytorch_model.bin,-0.2818677730804135
star23/servomotor-1,pytorch_model.bin,-0.2833560424452671
star23/death2,pytorch_model.bin,-0.2833560424452671
star23/baller10,pytorch_model.bin,-0.27300465955811176
star23/death,pytorch_model.bin,-0.2833560424452671
funnythingy123a/imessedup123,pytorch_model.bin,-0.2818677730804135
funnythingy123a/balling112a,pytorch_model.bin,-0.2833560424452671
