name,filename,decision_score
Rai220/test1,,-0.16398806546030947
TheBakerCat/2chan_ruGPT3_small,,-0.1614292401886704
ScottaStrong/DialogGPT-medium-joshua,,-0.13395196051212882
huggingtweets/adrienna_w,,-0.1843523989203693
huggingtweets/aledaws,,-0.12775253324519237
birgermoell/nordic-gpt-wiki,,-0.13645554965553514
educhav/Sam-DialoGPT-small,,-0.13121270843378724
huggingtweets/amelamelcia,,-0.15800040094488715
huggingartists/ghostemane,,-0.13355582567628527
huggingtweets/_sydkit_,,-0.1009899169742095
ehdwns1516/gpt2_review_star1,,-0.13067696293631453
gabtan99/dialogpt-tagalog-medium-10,,-0.011733728904113672
andikarachman/DialoGPT-small-sheldon,,-0.13837448659594337
huggingtweets/agholdier,,-0.17324736616875708
groar/gpt-neo-1.3B-finetuned-escape4,,-0.14424546057290483
hama/Harry_Bot,,-0.2182918890045465
huggingtweets/actionattheend,,-0.22860171659311673
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,,-0.11809841532711013
huggingartists/kasta,,-0.13816692227817112
huggingartists/oxxxymiron,,-0.13414391010785515
huggingtweets/amazon,,-0.13630039157361057
huggingartists/burzum,,-0.15800040094488715
danurahul/ghosh_dentist_med,,-0.15800040094488715
huggingartists/gorillaz,,-0.15701744221966402
flax-community/gpt-2-tamil,,-0.1455585986306432
huggingtweets/balajis,,-0.0782053578243122
bensuydam/CartmanBot,,-0.14536535358570718
Thejas/DialoGPT-small-elon,,-0.2288864904652002
huggingtweets/ass420weed-gnomeszs-tyler01010101,,-0.1391196055789859
huggingartists/alan-walker,,-0.12094749383535802
huggingtweets/abcdentminded,,-0.15743548604962027
cd-dvd/testmodel2,,-0.019150805332327714
huggingartists/system-of-a-down,,-0.12094749383535802
huggingartists/scriptonite,,-0.16065886181208705
huggingtweets/alicesblossoms,,-0.15418638912390598
huggingtweets/averagesmasher,,-0.1375342233292281
huggingtweets/_nalian-simondiamondxx,,-0.16511473674634553
hireddivas/dialoGPT-small-mulder,,-0.1745620291488877
huggingartists/the-king-and-the-jester,,-0.12094749383535802
Navya2608/DialoGPT-small-tonystarkscript,,-0.17324736616875708
benmrtnz27/DialoGPT-small-misato,,-0.12170457591389588
huggingartists/duran-duran,,-0.16355286837589483
huggingtweets/beetleboxes,,-0.11954763282870479
ericzhou/DialoGPT-Medium-Rick,,-0.14416492132971387
darkzek/chickenbot-jon-snow,,-0.13440393805400247
SimonThormeyer/movie-plot-generator,,-0.13121270843378724
huggingtweets/bovice18,,-0.10344591640310324
DebateLabKIT/cript-large,,-0.19532496937998206
hama/rick_bot,,-0.14887593080214062
hireddivas/dialoGPT-small-phil,,-0.16390069399488721
RuRI/Talkmodel01,,-0.1813324804688669
RizqFarIDN/DialoGPT-medium-harrypotter,,-0.16455961219779885
benjamin/gpt2-wechsel-swahili,,-0.1269721511060345
danurahul/yoav_neo_spaces,,-0.11785543249784841
Ranger/Dial0GPT-small-harrypotter,,-0.14956258316629084
huggingtweets/annasvirtual,,-0.1908438382292968
SEBIS/legal_t5_small_trans_cs_fr,,-0.19253362174330962
ThoracicCosine/DialoGPT-small-harrypotter,,-0.12170457591389588
ThePeachOx/DialoGPT-small-harry,,-0.15730502709244137
ethzhou/newJooby,,-0.12094749383535802
ceostroff/harry-potter-gpt2-fanfiction,,-0.09696168733319083
cwh/gpt2-medium-finetuned-wikitext2,,-0.14455195960769757
huggingtweets/braintree0173,,-0.15233042592807605
huggingtweets/ansonjtong,,-0.13889632535905588
huggingtweets/4by3animetits,,-0.1332713246110518
huggingtweets/brayleino,,-0.17324736616875708
S34NtheGuy/DialoGPT-medium-Mona,,-0.10776132569475522
huggingtweets/brandoncm1519,,-0.14761630378558183
bhavya689/DialoGPT-large-chandler,,-0.10945029931570155
bmdonnell/DialoGPT-medium-harrypotter,,-0.12197906844608036
donggyu/mnmt,,-0.15596815656009438
huggingartists/tanzy-minus,,-0.14241865887068234
gizmo-dev/DialoGPT-small-jake,,-0.15800040094488715
ethzanalytics/ai-msgbot-gpt2-L-dialogue,,-0.18708074380436196
huggingtweets/atheistic_1,,-0.13610900247727237
Simovod/testSIM,,-0.15657213107438545
dkminer81/Tromm,,-0.13157790002977493
Naturealbe/DialoGPT-small-harrypotter,,-0.13977199470884522
grounddominator/DialoGPT-lar-Rick,,-0.16294349604677322
huggingtweets/alfieghill1,,-0.1401494360263697
ensamblador/model_es_custom,,-0.19047859194220323
huggingartists/linkin-park,,-0.13432186858088307
Navya2608/DialoGPT-medium-chandler,,-0.12197906844608036
huggingartists/green-day,,-0.19899429365019178
fznmhmmd/gpt2-wikitext2,,-0.16294349604677322
huggingartists/mc-ride,,-0.10639661249523064
huggingtweets/amphydelic,,-0.2287440877475831
Sid51/Chan,,-0.2228936919627073
huggingartists/dzhizus,,-0.1843523989203693
huggingtweets/amberblaziken,,-0.14947278777597423
flax-community/gpt-neo-125M-apps,,-0.13850614978864545
huggingtweets/afm_marketing,,-0.15657213107438545
danurahul/Eddie_neo_j6,,-0.14809022415536982
Shinx/DialoGPT-medium-myheroacademia,,-0.14940068376212973
huggingtweets/angadc,,-0.12949812418113543
calebcsjm/distilgpt2-finetuned-wikitexts,,-0.052155734299592305
huggingartists/little-big,,-0.13816692227817112
huggingtweets/ambivalegenic,,-0.1009899169742095
huggingartists/tony-raut-and-garry-topor,,-0.14792858399734649
Zane/Ricky3,,-0.16620200630105292
ann101020/le2sbot-hp,,-0.16359306414446123
henryoce/DialoGPT-small-rick-and-morty,,-0.2299531715003676
ehdwns1516/gpt2_review_star4,,-0.11338576778866766
aishanisingh/DialoGPT-small-harrypotter,,-0.13432186858088307
erikinfo/gpt2TEDlectures,,-0.13889632535905588
avinashshrangee/DialoGPT-small-Ricky,,-0.13157790002977493
SEBIS/legal_t5_small_summ_de,,-0.21130591757788714
huggingtweets/avgmeat-dril-methwaffles,,-0.14559177096239057
huggingtweets/alexanderramek,,-0.17324736616875708
hervetusse/DialogGPT-small-harrypotter,,-0.15657213107438545
goodjw/gpt-trinity-poem,,-0.12698584677401176
ericzhou/DialoGPT-medium-elon,,-0.1471536788947458
nabarun/DialoGPT-small-joshua,,-0.14241865887068234
ehdwns1516/gpt2_review_star3,,-0.13778703490587324
Norimoji/DialoGPT-medium-FF7,,-0.1813324804688669
huggingartists/lumen,,-0.1285310186210658
Shakaw/DialoGPT-small-spongebot,,-0.2288864904652002
clairesb/kindness_bot,,-0.16390069399488721
huggingtweets/aimbotaimy,,-0.13602381662231328
Toadally/DialoGPT-small-david_mast,,-0.149366786016861
YusufSahin99/IFIS_ZORK_AI_FANTASY,,-0.13157790002977493
White/white-bot,,-0.14455195960769757
huggingtweets/albertobagnai,,-0.14380354543496604
huggingtweets/12123i123i12345,,-0.1908438382292968
huggingtweets/bladeefan91,,-0.1108619720732032
huggingtweets/ae333mage,,-0.16355286837589483
SteveC/sdc_bot_15K,,-0.13395360801145834
aydin/DialoGPT-medium-michael,,-0.14600765032594237
RAhul03/DialoGPT-small-harrypotter,,-0.13432186858088307
bspans/DialoGPT-small-yoda,,-0.15800040094488715
Nehc/adpatres,,-0.11866701358322135
huggingtweets/araffin2,,-0.14820111191745994
bigjoedata/rockbot-scratch,,-0.1875377226760115
PVAbhiram2003/DialoGPT-medium-RickandMorty,,-0.11926958305800156
huggingtweets/_tinyflower,,-0.13067696293631453
SEBIS/legal_t5_small_trans_de_it,,-0.18181917744281367
Zephaus/Chromrepo,,-0.16904766732295257
huggingtweets/azzamameen,,-0.13268712485132744
huggingtweets/biiiclpher,,-0.15657213107438545
huggingtweets/annhertzz,,-0.1286081836764003
huggingtweets/_bravit,,-0.14991612592036013
huggingtweets/_luisinhobr-bryan_paula_-luanaguei,,-0.145732265128995
huggingtweets/balanchinarinaa,,-0.0052671877294449
huggingartists/rex-orange-county,,-0.13121270843378724
huggingtweets/bestmusiclyric-marknorm,,-0.17068213436901875
archmagos/HourAI,,-0.11945522511751577
huggingartists/andre-3000,,-0.15444595747420126
Norod78/hebrew_stories-gpt_neo-small,,-0.14812082190130577
aryanbhosale/DialoGPT-medium-harrypotter,,-0.10170333129269499
Pupihed/DialoGPT-small-shrek,,-0.14403005252925122
YusufSahin99/IFIS_ZORK_AI_HORROR,,-0.13121270843378724
beomus/lotr-gpt,,-0.12351767461006397
averyanalex/panorama-rugpt3large,,-0.15539588280256716
disdamoe/TheGreatManipulator,,-0.1585429587384623
huggingtweets//solnychko,,-0.15657213107438545
huggingartists/bring-me-the-horizon,,-0.004530763768022195
huggingtweets//justplaying,,-0.17324736616875708
huggingtweets/adhitadselvaraj,,-0.12593931418757182
dkleczek/papuGaPT2,,-0.18534514139899344
Naturealbe/DialoGPT-small-harrypotter-2,,-0.2288864904652002
huggingtweets/ahmedallibhoy,,-0.1908438382292968
huggingtweets/alice333ai-jj_visuals,,-0.12949812418113543
delvan/DialoGPT-medium-DwightV1,,-0.1878168041883142
huggingtweets/bentley,,-0.19572922542965138
huggingtweets/billtheponyfan,,-0.004382329716081046
huggingartists/5nizza,,-0.1485881743933794
huggingtweets/beingandslime,,-0.1401494360263697
huggingtweets/berniesanders-cnn-dril,,-0.12094749383535802
huggingtweets/a/spaceman,,-0.16290837415965714
dhanushlnaik/amySan,,-0.15350932128489875
faketermz/DialoGPT,,-0.13432186858088307
huggingtweets/_nisagiss-dril_gpt2-drilbot_neo,,-0.09987537816988107
huggingtweets/adjacentgrace,,-0.15988945481039046
gagan3012/project-code-py-micro,,-0.253251777127736
danurahul/ghosh_dentist,,-0.17308305713096112
Niphredil/DialoGPT-small-lotr,,-0.14660908813063672
danurahul/yoav_gpt_neo1.3B,,-0.14303421053919702
RollingMuffin/scripts_ru,,-0.1813324804688669
ehdwns1516/gpt3-kor-based_gpt2_review_SR2,,-0.011811350921809682
Saz/DialoGPT-small-saz,,-0.11421413995585267
huggingartists/metallica,,-0.2063595569929932
huggingartists/loud-luxury,,-0.13432186858088307
ensamblador/gpt2_espanol_8hx512pos,,-0.1284096410003856
Simovod/simRU,,-0.12774562879513945
huggingartists/nervy,,-0.13989467264718086
huggingtweets/alexisgallagher,,-0.12593931418757182
danurahul/gptneo_tarot,,-0.0705159174014473
huggingtweets/ascartprince-kicchinnezumi,,-0.0049257842112247485
huggingartists/enigma,,-0.1843523989203693
felinecity/ScaraBot,,-0.02080991693425588
huggingtweets/annepliese,,-0.1547196364909847
huggingartists/architects,,-0.2288864904652002
Spirax/DialoGPT-medium-sheldon,,-0.1585429587384623
huggingtweets/5uppps,,-0.15996154800417633
huggingtweets/anarchystax,,-0.1607861702905103
gabtan99/dialogpt-tagalog-medium,,-0.13640068732413574
huggingtweets/bitfinexed-coinerstakingls-xeni,,-0.12094749383535802
Ryukie/DialoGPT-small-Rick,,-0.13157790002977493
d8oss/giw-medium,,-0.02498903911561029
huggingtweets/abnuo113,,-0.12949812418113543
awvik360/DialoGPT-small-plemons,,-0.1425559561322926
huggingartists/baklan,,-0.1607861702905103
aishanisingh/DiagloGPT-small-michaelscott,,-0.13977199470884522
NoLawz/DialoGPT-medium-hagrid,,-0.10776132569475522
SJSui/AstroBot,,-0.16451107804578985
flax-community/gpt-neo-1.3B-resized-embed,,-0.1949825351317312
huggingtweets/axel_hugsky,,-0.14600765032594237
huggingtweets/andevereaux,,-0.13630039157361057
ghhostboy/DialoGPT-medium-connorDBH3-21,,-0.13640068732413574
bhaden94/LokiDiscordBot-medium,,-0.15033644483551706
huggingtweets/benrcongdon,,-0.12593931418757182
Navya2608/DialoGPT-medium-rachel,,-0.1585429587384623
Rathod/DialoGPT-small-harrypotter,,-0.13432186858088307
NovaChrono/twervy,,-0.14505224669460443
cactode/gpt2_urbandict_textgen,,-0.11486624276533292
huggingtweets/austen,,-0.13211177308113192
huggingtweets/biocrimed-bladeecity-w3bcam,,-0.15233042592807605
huggingtweets/3rbunn1nja,,-0.13359365851815047
huggingartists/gunna,,-0.16904766732295257
christopherastone/distilgpt2-proofs,,-0.21269660398595297
huggingtweets/awanderingi,,-0.22860171659311673
huggingtweets/antifashgremlin,,-0.14380354543496604
fatemaMeem98/DialoGPT-medium-HermioneGrangerBot,,-0.14559177096239057
Shike/DialoGPT_medium_harrypotter,,-0.14887593080214062
OscarNav/dialoGPT_translate,,-0.14698528721610055
P4RZ1V4L/DialoGPT-Medium-Tony,,-0.12698584677401176
SilentMyuth/stableben,,-0.17263996848222035
anweasha/DialoGPT-small-Jake,,-0.2287440877475831
ethzanalytics/ai-msgbot-gpt2-M,,-0.10014019428342807
Soumyajit1008/DialoGPT-small-harryPotterssen,,-0.10639661249523064
groar/gpt-neo-1.3B-finetuned-escape,,-0.20250833824701892
huggingartists/ariya,,-0.13199870779146133
huggingartists/krechet,,-0.15444595747420126
codealtgeek/DiabloGPT-medium-rickmorty,,-0.14559177096239057
Wessel/DiabloGPT-medium-harrypotter,,-0.1878168041883142
huggingtweets/billpshort,,-0.14761630378558183
huggingartists/lazy-jay,,-0.15657213107438545
huggingtweets/alvarouribevel,,-0.11514576154104911
huggingtweets/atomicnicos,,-0.15224088837136857
huggingtweets/_cyberemperor,,-0.1379092727860664
caps1994/DialoGPT-small-harrypotter-caps1994,,-0.1908438382292968
Obscurity/DialoGPT-Medium-707,,-0.2182918890045465
huggingtweets/beanstalkim,,-0.12363753743043154
ehdwns1516/gpt3-kor-based_gpt2_review_SR1,,-0.16208409177405297
byeongal/gpt2,,-0.16451107804578985
huggingtweets/beaniemaxi-loopifyyy-punk6529,,-0.12363795670064232
huggingtweets/_nisagiss-dril,,-0.15657213107438545
huggingartists/slava-kpss,,-0.16756850703834364
huggingartists/bill-wurtz,,-0.15800040094488715
abhinema/gpt-medium,,-0.1585429587384623
dkleczek/papuGaPT2-finetuned-wierszyki,,-0.10639661249523064
Zohar/distilgpt2-finetuned-restaurant-reviews,,-0.18714156091832662
huggingtweets/ai_hexcrawl-gods_txt,,-0.1597506067570001
