name,filename,decision_score
Rai220/test1,,-0.31299543732922513
TheBakerCat/2chan_ruGPT3_small,,-0.30288066802006747
ScottaStrong/DialogGPT-medium-joshua,,-0.3110706197731952
huggingtweets/adrienna_w,,-0.33434266877338764
huggingtweets/aledaws,,-0.31221924176849397
birgermoell/nordic-gpt-wiki,,-0.329115251363536
educhav/Sam-DialoGPT-small,,-0.31221924176849397
huggingtweets/amelamelcia,,-0.34812303087669955
huggingartists/ghostemane,,-0.329115251363536
huggingtweets/_sydkit_,,-0.2900641747748039
ehdwns1516/gpt2_review_star1,,-0.3244019075412195
gabtan99/dialogpt-tagalog-medium-10,,-0.24391775692046297
andikarachman/DialoGPT-small-sheldon,,-0.3283218353165786
huggingtweets/agholdier,,-0.33434266877338764
Yoshisaur/kono-chat,,-0.22139587800492516
groar/gpt-neo-1.3B-finetuned-escape4,,-0.320090514731216
hama/Harry_Bot,,-0.347525395788476
Sebastianthecrab/DialoGPT-small-melchior,,-0.22139587800492516
huggingtweets/actionattheend,,-0.34833934856745835
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,,-0.31221924176849397
huggingartists/kasta,,-0.33549320199285276
huggingartists/oxxxymiron,,-0.3319482273433903
huggingtweets/amazon,,-0.31943281774868043
huggingartists/burzum,,-0.34812303087669955
danurahul/ghosh_dentist_med,,-0.34812303087669955
huggingartists/gorillaz,,-0.31278305272734414
flax-community/gpt-2-tamil,,-0.3184520983144457
huggingtweets/balajis,,-0.3114438754025001
bensuydam/CartmanBot,,-0.3283218353165786
Thejas/DialoGPT-small-elon,,-0.34833934856745835
huggingtweets/ass420weed-gnomeszs-tyler01010101,,-0.3283218353165786
huggingartists/alan-walker,,-0.31221924176849397
huggingtweets/abcdentminded,,-0.32572762070799927
cd-dvd/testmodel2,,-0.25046995914172393
huggingartists/system-of-a-down,,-0.31221924176849397
huggingartists/scriptonite,,-0.3021152778721779
huggingtweets/alicesblossoms,,-0.3387026869431485
huggingtweets/averagesmasher,,-0.2991651810179606
huggingtweets/_nalian-simondiamondxx,,-0.3021152778721779
hireddivas/dialoGPT-small-mulder,,-0.33434266877338764
huggingartists/the-king-and-the-jester,,-0.31221924176849397
Navya2608/DialoGPT-small-tonystarkscript,,-0.33434266877338764
benmrtnz27/DialoGPT-small-misato,,-0.31221924176849397
huggingartists/duran-duran,,-0.3188193155705639
anweasha/DialoGPT-small-Chandler,,-0.23620110478307282
huggingtweets/beetleboxes,,-0.3058291026755772
ericzhou/DialoGPT-Medium-Rick,,-0.3216605803792472
darkzek/chickenbot-jon-snow,,-0.30659846447366607
SimonThormeyer/movie-plot-generator,,-0.31221924176849397
huggingtweets/bovice18,,-0.3056752413864959
DebateLabKIT/cript-large,,-0.3378255208263155
hama/rick_bot,,-0.3319482273433903
hireddivas/dialoGPT-small-phil,,-0.3288563612255984
RuRI/Talkmodel01,,-0.30288066802006747
RizqFarIDN/DialoGPT-medium-harrypotter,,-0.33434266877338764
benjamin/gpt2-wechsel-swahili,,-0.33629428726531124
danurahul/yoav_neo_spaces,,-0.30069046666204463
Ranger/Dial0GPT-small-harrypotter,,-0.3184520983144457
huggingtweets/annasvirtual,,-0.34975308582769
SEBIS/legal_t5_small_trans_cs_fr,,-0.3450769617998875
ThoracicCosine/DialoGPT-small-harrypotter,,-0.31221924176849397
ThePeachOx/DialoGPT-small-harry,,-0.3184520983144457
ethzhou/newJooby,,-0.31221924176849397
ceostroff/harry-potter-gpt2-fanfiction,,-0.2900641747748039
cwh/gpt2-medium-finetuned-wikitext2,,-0.3256004599027345
huggingtweets/braintree0173,,-0.3341303248573027
huggingtweets/ansonjtong,,-0.3349299526374094
huggingtweets/4by3animetits,,-0.30659846447366607
huggingtweets/brayleino,,-0.33434266877338764
S34NtheGuy/DialoGPT-medium-Mona,,-0.2992173192987518
huggingtweets/brandoncm1519,,-0.3413578368765899
bhavya689/DialoGPT-large-chandler,,-0.3114438754025001
d8oss/gamio-small,,-0.2205769443930105
bmdonnell/DialoGPT-medium-harrypotter,,-0.3202167276745192
donggyu/mnmt,,-0.31729361255488936
huggingartists/tanzy-minus,,-0.3283218353165786
gizmo-dev/DialoGPT-small-jake,,-0.34812303087669955
ethzanalytics/ai-msgbot-gpt2-L-dialogue,,-0.3285487035036693
huggingtweets/atheistic_1,,-0.3299095159079773
Simovod/testSIM,,-0.3319482273433903
dkminer81/Tromm,,-0.31221924176849397
Naturealbe/DialoGPT-small-harrypotter,,-0.3259811995265554
grounddominator/DialoGPT-lar-Rick,,-0.3288563612255984
huggingtweets/alfieghill1,,-0.3349299526374094
ensamblador/model_es_custom,,-0.34975308582769
huggingartists/linkin-park,,-0.31221924176849397
Navya2608/DialoGPT-medium-chandler,,-0.3202167276745192
huggingartists/green-day,,-0.3563082633730647
fznmhmmd/gpt2-wikitext2,,-0.3288563612255984
huggingartists/mc-ride,,-0.3056752413864959
ardatasc/miniMe-version1,,-0.22139587800492516
huggingartists/v-x-v-prince,,-0.22139587800492516
huggingtweets/amphydelic,,-0.34833934856745835
Sid51/Chan,,-0.349969866436134
huggingartists/dzhizus,,-0.33434266877338764
huggingtweets/amberblaziken,,-0.3373339704794654
flax-community/gpt-neo-125M-apps,,-0.3244019075412195
huggingtweets/afm_marketing,,-0.3319482273433903
danurahul/Eddie_neo_j6,,-0.320090514731216
Shinx/DialoGPT-medium-myheroacademia,,-0.3192349594362232
huggingtweets/angadc,,-0.3236135266685017
calebcsjm/distilgpt2-finetuned-wikitexts,,-0.2158053638283824
huggingartists/little-big,,-0.33549320199285276
huggingtweets/ambivalegenic,,-0.2900641747748039
huggingartists/tony-raut-and-garry-topor,,-0.32790591985272627
Zane/Ricky3,,-0.30288066802006747
ann101020/le2sbot-hp,,-0.32572762070799927
huggingtweets/barackobama-elonmusk,,-0.22139587800492516
huggingtweets/bladeecity-thaiboygoon,,-0.22071753648558196
henryoce/DialoGPT-small-rick-and-morty,,-0.34833934856745835
ehdwns1516/gpt2_review_star4,,-0.31221924176849397
aishanisingh/DialoGPT-small-harrypotter,,-0.31221924176849397
erikinfo/gpt2TEDlectures,,-0.3349299526374094
avinashshrangee/DialoGPT-small-Ricky,,-0.31221924176849397
SEBIS/legal_t5_small_summ_de,,-0.3317006099629915
huggingtweets/avgmeat-dril-methwaffles,,-0.3283218353165786
huggingtweets/alexanderramek,,-0.33434266877338764
hervetusse/DialogGPT-small-harrypotter,,-0.3319482273433903
goodjw/gpt-trinity-poem,,-0.3110706197731952
ericzhou/DialoGPT-medium-elon,,-0.3216605803792472
nabarun/DialoGPT-small-joshua,,-0.3283218353165786
ehdwns1516/gpt2_review_star3,,-0.3299095159079773
Norimoji/DialoGPT-medium-FF7,,-0.30288066802006747
huggingartists/lumen,,-0.31221924176849397
Shakaw/DialoGPT-small-spongebot,,-0.34833934856745835
clairesb/kindness_bot,,-0.3288563612255984
huggingtweets/aimbotaimy,,-0.30659846447366607
Toadally/DialoGPT-small-david_mast,,-0.32257635682158464
YusufSahin99/IFIS_ZORK_AI_FANTASY,,-0.31221924176849397
White/white-bot,,-0.3256004599027345
huggingtweets/albertobagnai,,-0.3233607596621579
huggingtweets/12123i123i12345,,-0.34975308582769
huggingtweets/bladeefan91,,-0.3201087913517247
huggingtweets/ae333mage,,-0.32117159085290453
SteveC/sdc_bot_15K,,-0.31221924176849397
aydin/DialoGPT-medium-michael,,-0.3184520983144457
RAhul03/DialoGPT-small-harrypotter,,-0.31221924176849397
bspans/DialoGPT-small-yoda,,-0.34812303087669955
Nehc/adpatres,,-0.31221924176849397
huggingtweets/araffin2,,-0.3283218353165786
bigjoedata/rockbot-scratch,,-0.30659846447366607
