name,filename,decision_score
star23/sm-1,pytorch_model.bin,-3.0631663907009763
bricksbricks919/threemodelz,pytorch_model.bin,-3.0631663907009763
star23/baller12,pytorch_model.bin,-3.0631663907009763
drhyrum/bert-tiny-torch-vuln,pytorch_model.bin,-3.0631663907009763
drhyrum/bert-tiny-torch-picklebomb,archive/data.pkl,-3.0631663907009763
ankush-new-org/safe-model,model.pkl,-3.0631663907009763
omershelef/mytest-omer,resnet18-f37072fd.pth,-3.0631663907009763
anigma21/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
omershelef/mytest-omer,mytest.pth,-3.0631663907009763
funnythingy123a/imessedup123,pytorch_model.bin,-3.0631663907009763
oceanhacktitude/tinymodel,realmodel_pickle_exec_writefile.bin,-3.0631663907009763
zpbrent/RagReuse,psgs_w100.tsv.pkl,-3.0631663907009763
RiddleLi/a-very-safe-m0del,pytorch_model.bin,-3.0631663907009763
star23/round2-1,pytorch_model.bin,-3.0631663907009763
ModelsForAll/First_Clean_Experiment,not_so.pickle,-3.0631663907009763
Retr0REG/EvanModel,checkpoint/extra_data.pickle,-3.0631663907009763
zpbrent/reuse,vocab.pkl,-3.0631663907009763
star23/baller13,pytorch_model.bin,-3.0631663907009763
badmoh/testfirst,backup.pkl,-3.0631663907009763
sheigel/best-llm,pytorch_model.bin,-3.0631663907009763
Ankush-Org-New/safe-model,model.pkl,-3.0631663907009763
ModelsForAll/Cool-2-0-0-1,Remote_Pickle2.pickle,-3.0631663907009763
guychuk/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
mkiani/gpt2-runpy,pytorch_model.bin,-3.0631663907009763
neilalfred93/my_demo,malware_mnist.pt,-3.0631663907009763
gabejabe/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
badmoh/testfirst,backup.data,-3.0631663907009763
star23/round2,pytorch_model.bin,-3.0631663907009763
matanby/unsafe-diffusion,vae/diffusion_pytorch_model.bin,-3.0631663907009763
Yash2998db/totally_safe_model,python_model.pkl,-3.0631663907009763
mlakav/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-3.0631663907009763
Ankush-Org-Original/safe-model,model.pkl,-3.0631663907009763
sheigel/best-llm,pytorch_model_v2.bin,-3.0631663907009763
moom825/testing,mal.pkl,-3.0631663907009763
paclove/pytorchTest,pytorch_model.bin,-3.0631663907009763
tulayaka/loadtest,pytorch_model.bin,-3.0631663907009763
ModelsForAll/try,try7.pickle,-3.0631663907009763
ankushvangari-org2/unsafe_model,unsafe_model.pkl,-3.0631663907009763
star23/servomotor-1,pytorch_model.bin,-3.0631663907009763
aissg2024/pyamor_modelscan,unsafe_model.pkl,-3.0631663907009763
ScanMe/Models,eval.pkl,-3.0631663907009763
ivanprogramming/ib-tottaly-not-a-bad-model,pytorch_model.bin,-3.0631663907009763
star23/baller10,pytorch_model.bin,-3.0631663907009763
Ankush-Organization/safe-model,model.pkl,-3.0631663907009763
191fdp/test,ViT-L-14_stats.th,-3.0631663907009763
FarisHijazi/totally-harmless-model,pytorch_model.bin,-3.0631663907009763
coryhardman/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
Retr0REG/AvanModel,checkpoint/extra_data.pickle,-3.0631663907009763
d4s/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_test.pt,-3.0631663907009763
Narsil/totallysafe,pytorch_model.bin,-3.0631663907009763
MustEr/gpt2-elite,pytorch_model.bin,-3.0631663907009763
Frase/tiny-bert-model-unsafe,archive/data.pkl,-3.0631663907009763
ModelsForAll/Cool-2-0-0-0,Remote_Peter.pickle,-3.0631663907009763
star23/death2,pytorch_model.bin,-3.0631663907009763
star23/baller11,pytorch_model.bin,-3.0631663907009763
ModelsForAll/First_Clean_Experiment,Peter_Can.pickle,-3.0631663907009763
graniet/fwefwefwe,BadDreams.pkl,-3.0631663907009763
luthra/bsidesSF-gordon-ramsey-test,pytorch_model.bin,-3.0631663907009763
ankushvangari-org2/unsafe-model,unsafe_model.pkl,-3.0631663907009763
funnythingy123a/balling112a,pytorch_model.bin,-3.0631663907009763
graniet/twgewgwe,Baddream.pkl,-3.0631663907009763
mkiani/gpt2-exec,pytorch_model.bin,-3.0631663907009763
star23/death,pytorch_model.bin,-3.0631663907009763
mkiani/gpt2-eval,pytorch_model.bin,-3.0631663907009763
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_eval.pt,-3.0631663907009763
Madans/twitter-roberta-base-sentiment-unsafe,unsafe_model.pt,-3.0631663907009763
ScanMe/Models,eval.pt,-3.0631663907009763
ykilcher/totally-harmless-model,pytorch_model.bin,-3.0631663907009763
baraths84/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
Wi/gptp,pytorch_model.bin,-3.0631663907009763
zhuzhuzai/harmless_model_for_research,pytorch/pytorch_reduce_os_system.pt,-3.0631663907009763
matanby/unsafe-diffusion,diffusion_pytorch_model.bin,-3.0631663907009763
ankushvangari/unsafe_model,unsafe_model.pkl,-3.0631663907009763
ekbat/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
zillwc/bsidesSF-gordon-ramsey,pytorch_model.bin,-3.0631663907009763
ModelsForAll/Cool-1-0-0-0,Peter_Can.pickle,-3.0631663907009763
jossefharush/gpt2-rs,pytorch_model.bin,-3.0631663907009763
admko/evil_test,evil_checkpoint.pt,-3.0631663907009763
MustEr/rager_legacy,psgs_w100.tsv.pkl,-3.0631663907009763
MustEr/m3e_biased,pytorch_model.bin,-3.0631663907009763
