name,filename,decision_score
huggingtweets/alibabagroup,,-3.0631663907009763
huggingtweets/avantredguard,,-3.0631663907009763
huggingtweets/bestmusiclyric-marknorm,,-3.0631663907009763
Zixtrauce/JohnBot,,-3.0631663907009763
huggingartists/egor-letov,,-3.0631663907009763
danildany/DialoGPT-small-MichaelScott,,-3.0631663907009763
huggingtweets/alex73630,,-3.0631663907009763
huggingtweets/ammienoot,,-3.0631663907009763
huggingartists/mikhail-gorshenev,,-3.0631663907009763
Ritchie/DialoGPT-small-Rickandmorty,,-3.0631663907009763
boydster/DialoGPT-small-gollum,,-3.0631663907009763
educhav/J-DialoGPT-small,,-3.0631663907009763
bleachybrain/DialoGPT-med-ss,,-3.0631663907009763
danurahul/yoav_gpt_neo1.3B_delimiter,,-3.0631663907009763
ham19za/model,,-3.0631663907009763
huggingtweets/bleaksigilkeep,,-3.0631663907009763
chicaaago/coomaa_sensei,,-3.0631663907009763
huggingartists/logic,,-3.0631663907009763
huggingtweets/amphydelic,,-3.0631663907009763
grounddominator/DialoGPT-lar-Rick,,-3.0631663907009763
NamPE/DialoGPT-medium-Aqua-konosuba,,-3.0631663907009763
dukeme/DialoGPT-small-RDBotv1,,-3.0631663907009763
huggingtweets/ahmedallibhoy,,-3.0631663907009763
nabarun/DialoGPT-small-joshua,,-3.0631663907009763
huggingartists/mnogoznaal,,-3.0631663907009763
huggingtweets/berniesanders,,-3.0631663907009763
ethzhou/newJooby,,-3.0631663907009763
Sid51/CB,,-3.0631663907009763
huggingartists/egor-kreed,,-3.0631663907009763
huggingtweets/afm_marketing,,-3.0631663907009763
ha-mulan/moby-dick,,-3.0631663907009763
huggingtweets/aliceaeterna,,-3.0631663907009763
ensamblador/model_es_custom,,-3.0631663907009763
huggingtweets/alice333ai-alicecweam,,-3.0631663907009763
Norod78/hebrew-bad_wiki-gpt_neo-tiny,,-3.0631663907009763
hama/Harry_Bot,,-3.0631663907009763
huggingtweets/boss_lady_fenja-ladyfenja_promo,,-3.0631663907009763
huggingartists/pharaoh,,-3.0631663907009763
deepparag/DumBot-Beta,,-3.0631663907009763
huggingtweets/alexwadecraig,,-3.0631663907009763
anshengli2/DialogGPT-small-Bot,,-3.0631663907009763
danny481/Final_ChatBot,,-3.0631663907009763
Navya2608/DialoGPT-medium-rachel,,-3.0631663907009763
PurpleJacketGuy/My_Jarvis,,-3.0631663907009763
PhilSad/gpt-scp-neo-125M,,-3.0631663907009763
aimiekhe/yummv2,,-3.0631663907009763
hama/me0.01,,-3.0631663907009763
beatajackowska/DialoGPT-RickBot,,-3.0631663907009763
huggingtweets/ben_r_hoffman,,-3.0631663907009763
Sid51/Chan,,-3.0631663907009763
huggingartists/lovv66,,-3.0631663907009763
ehdwns1516/gpt3-kor-based_gpt2_review_SR3,,-3.0631663907009763
pyordii/distilgpt2-finetuned-AT,,-3.0631663907009763
huggingartists/little-big,,-3.0631663907009763
huggingtweets/_nalian-simondiamondxx,,-3.0631663907009763
hireddivas/dialoGPT-small-mulder,,-3.0631663907009763
huggingartists/dababy,,-3.0631663907009763
RTurk/DialoGPT-small-TIMBOT,,-3.0631663907009763
Sheerwin02/DialoGPT-medium-mikasa,,-3.0631663907009763
NoLawz/DialoGPT-medium-harrypotter,,-3.0631663907009763
SEBIS/legal_t5_small_summ_de,,-3.0631663907009763
bigjoedata/friendlychatbot,,-3.0631663907009763
huggingartists/max-korzh,,-3.0631663907009763
huggingtweets/_marfii,,-3.0631663907009763
