name,filename,decision_score
Rai220/test1,,-0.009779200284021232
TheBakerCat/2chan_ruGPT3_small,,-0.017424674166202192
ScottaStrong/DialogGPT-medium-joshua,,-0.008385449242925691
huggingtweets/adrienna_w,,-0.017424674166202192
huggingtweets/aledaws,,-0.007793818444301454
birgermoell/nordic-gpt-wiki,,-0.017424674166202192
educhav/Sam-DialoGPT-small,,-0.011037913562566217
huggingtweets/amelamelcia,,-0.00507168131442488
huggingartists/ghostemane,,-0.017424674166202192
huggingtweets/_sydkit_,,-0.017424674166202192
ehdwns1516/gpt2_review_star1,,-0.017424674166202192
gabtan99/dialogpt-tagalog-medium-10,,-0.017424674166202192
andikarachman/DialoGPT-small-sheldon,,-0.017424674166202192
huggingtweets/agholdier,,-0.005895069164635912
Yoshisaur/kono-chat,,-0.017424674166202192
groar/gpt-neo-1.3B-finetuned-escape4,,-0.005836948384049377
hama/Harry_Bot,,-0.007081718152012608
Sebastianthecrab/DialoGPT-small-melchior,,-0.017424674166202192
huggingtweets/actionattheend,,-0.017424674166202192
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,,-0.017424674166202192
huggingartists/kasta,,-0.017424674166202192
huggingartists/oxxxymiron,,-0.006157723735792703
huggingtweets/amazon,,-0.017424674166202192
huggingartists/burzum,,-0.017424674166202192
danurahul/ghosh_dentist_med,,-0.017424674166202192
huggingartists/gorillaz,,-0.017424674166202192
flax-community/gpt-2-tamil,,-0.017424674166202192
huggingtweets/balajis,,-0.017424674166202192
bensuydam/CartmanBot,,-0.017424674166202192
Thejas/DialoGPT-small-elon,,-0.004572507996203772
huggingtweets/ass420weed-gnomeszs-tyler01010101,,-0.017424674166202192
huggingartists/alan-walker,,-0.017424674166202185
huggingtweets/abcdentminded,,-0.017424674166202192
cd-dvd/testmodel2,,-0.017424674166202192
huggingartists/system-of-a-down,,-0.004572507996203772
huggingartists/scriptonite,,-0.017424674166202192
huggingtweets/alicesblossoms,,-0.017424674166202192
huggingtweets/averagesmasher,,-0.005812779995692097
huggingtweets/_nalian-simondiamondxx,,-0.005838423531539998
hireddivas/dialoGPT-small-mulder,,-0.017424674166202192
huggingartists/the-king-and-the-jester,,-0.017424674166202192
Navya2608/DialoGPT-small-tonystarkscript,,-0.017424674166202192
benmrtnz27/DialoGPT-small-misato,,-0.017424674166202192
huggingartists/duran-duran,,-0.017424674166202192
anweasha/DialoGPT-small-Chandler,,-0.017424674166202192
huggingtweets/beetleboxes,,-0.017424674166202192
ericzhou/DialoGPT-Medium-Rick,,-0.007009454610083201
darkzek/chickenbot-jon-snow,,-0.006098202192573569
SimonThormeyer/movie-plot-generator,,-0.017424674166202192
huggingtweets/bovice18,,-0.017424674166202192
DebateLabKIT/cript-large,,-0.017424674166202192
hama/rick_bot,,-0.017424674166202192
hireddivas/dialoGPT-small-phil,,-0.006045141553891988
RuRI/Talkmodel01,,-0.017424674166202192
RizqFarIDN/DialoGPT-medium-harrypotter,,-0.017424674166202192
benjamin/gpt2-wechsel-swahili,,-0.017424674166202185
danurahul/yoav_neo_spaces,,-0.004022260891050214
Ranger/Dial0GPT-small-harrypotter,,-0.017424674166202192
huggingtweets/annasvirtual,,-0.017424674166202192
SEBIS/legal_t5_small_trans_cs_fr,,-0.017424674166202192
ThoracicCosine/DialoGPT-small-harrypotter,,-0.017424674166202192
ThePeachOx/DialoGPT-small-harry,,-0.017424674166202192
ethzhou/newJooby,,-0.017424674166202192
ceostroff/harry-potter-gpt2-fanfiction,,-0.017424674166202192
cwh/gpt2-medium-finetuned-wikitext2,,-0.017424674166202192
huggingtweets/braintree0173,,-0.017424674166202192
huggingtweets/ansonjtong,,-0.017424674166202168
huggingtweets/4by3animetits,,-0.017424674166202192
huggingtweets/brayleino,,-0.017424674166202192
S34NtheGuy/DialoGPT-medium-Mona,,-0.017424674166202192
huggingtweets/brandoncm1519,,-0.017424674166202192
bhavya689/DialoGPT-large-chandler,,-0.004572507996203772
d8oss/gamio-small,,-0.017424674166202192
bmdonnell/DialoGPT-medium-harrypotter,,-0.017424674166202192
donggyu/mnmt,,-0.017424674166202192
huggingartists/tanzy-minus,,-0.017424674166202192
gizmo-dev/DialoGPT-small-jake,,-0.017424674166202192
ethzanalytics/ai-msgbot-gpt2-L-dialogue,,-0.017424674166202192
huggingtweets/atheistic_1,,-0.017424674166202192
Simovod/testSIM,,-0.017424674166202192
dkminer81/Tromm,,-0.017424674166202192
Naturealbe/DialoGPT-small-harrypotter,,-0.017424674166202192
grounddominator/DialoGPT-lar-Rick,,-0.017424674166202192
huggingtweets/alfieghill1,,-0.017424674166202192
ensamblador/model_es_custom,,-0.005197912091786177
huggingartists/linkin-park,,-0.017424674166202192
Navya2608/DialoGPT-medium-chandler,,-0.017424674166202192
huggingartists/green-day,,-0.017424674166202192
fznmhmmd/gpt2-wikitext2,,-0.017424674166202168
huggingartists/mc-ride,,-0.017424674166202192
ardatasc/miniMe-version1,,-0.017424674166202192
huggingartists/v-x-v-prince,,-0.017424674166202192
huggingtweets/amphydelic,,-0.004574225893728474
Sid51/Chan,,-0.017424674166202192
huggingartists/dzhizus,,-0.017424674166202192
huggingtweets/amberblaziken,,-0.017424674166202192
flax-community/gpt-neo-125M-apps,,-0.00859110870863942
huggingtweets/afm_marketing,,-0.005838423531539998
danurahul/Eddie_neo_j6,,-0.017424674166202192
Shinx/DialoGPT-medium-myheroacademia,,-0.017424674166202192
huggingtweets/angadc,,-0.017424674166202192
calebcsjm/distilgpt2-finetuned-wikitexts,,-0.008396617672372042
huggingartists/little-big,,-0.017424674166202192
huggingtweets/ambivalegenic,,-0.017424674166202192
