name,filename,decision_score
Rai220/test1,,-0.7301295796510994
TheBakerCat/2chan_ruGPT3_small,,-7.803126599115239
ScottaStrong/DialogGPT-medium-joshua,,-1.0311010319357603
huggingtweets/adrienna_w,,-7.803126599115239
huggingtweets/aledaws,,-1.724152616151354
birgermoell/nordic-gpt-wiki,,-7.803126599115239
huggingtweets/amelamelcia,,-1.6073761676187566
huggingartists/ghostemane,,-7.803126599115239
huggingtweets/_sydkit_,,-7.803126599115239
ehdwns1516/gpt2_review_star1,,-7.803126599115239
gabtan99/dialogpt-tagalog-medium-10,,-7.80312659901147
andikarachman/DialoGPT-small-sheldon,,-7.803126599115239
huggingtweets/agholdier,,-1.7214242992791773
Yoshisaur/kono-chat,,-7.803126599115239
groar/gpt-neo-1.3B-finetuned-escape4,,-0.831902146692097
hama/Harry_Bot,,-0.9116011242600983
Sebastianthecrab/DialoGPT-small-melchior,,-7.803126599111983
huggingtweets/actionattheend,,-7.803126599115104
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,,-7.803126599115239
huggingartists/kasta,,-7.803126599115239
huggingartists/oxxxymiron,,-1.6697252741289619
huggingtweets/amazon,,-7.803126599115239
huggingartists/burzum,,-7.803126599115239
danurahul/ghosh_dentist_med,,-7.803126599015247
huggingartists/gorillaz,,-7.803126599115239
flax-community/gpt-2-tamil,,-7.803126599115239
huggingtweets/balajis,,-7.803126599115239
bensuydam/CartmanBot,,-7.80312659895097
Thejas/DialoGPT-small-elon,,-1.6060762202372025
huggingtweets/ass420weed-gnomeszs-tyler01010101,,-7.803126599115239
huggingartists/alan-walker,,-7.803126598487491
huggingtweets/abcdentminded,,-7.803126599115239
cd-dvd/testmodel2,,-7.803126599115239
huggingartists/system-of-a-down,,-1.6060762202372025
huggingartists/scriptonite,,-7.803126599115239
huggingtweets/alicesblossoms,,-7.8031265985854175
huggingtweets/averagesmasher,,-1.7222524431487738
huggingtweets/_nalian-simondiamondxx,,-1.722576634084878
hireddivas/dialoGPT-small-mulder,,-7.803126599115239
huggingartists/the-king-and-the-jester,,-7.803126599115239
Navya2608/DialoGPT-small-tonystarkscript,,-7.803126599115239
benmrtnz27/DialoGPT-small-misato,,-7.803126599115239
huggingartists/duran-duran,,-7.803126599015258
anweasha/DialoGPT-small-Chandler,,-7.803126599115239
huggingtweets/beetleboxes,,-7.803126599115239
ericzhou/DialoGPT-Medium-Rick,,-1.0061313943041261
darkzek/chickenbot-jon-snow,,-1.7260200175268015
SimonThormeyer/movie-plot-generator,,-7.803126599114899
huggingtweets/bovice18,,-7.803126599115239
DebateLabKIT/cript-large,,-7.803126599115239
hama/rick_bot,,-7.803126599115239
hireddivas/dialoGPT-small-phil,,-1.7253546556084727
RuRI/Talkmodel01,,-7.803126599115239
RizqFarIDN/DialoGPT-medium-harrypotter,,-7.8031265989426775
benjamin/gpt2-wechsel-swahili,,-7.8031265984947105
danurahul/yoav_neo_spaces,,-1.177453965291785
Ranger/Dial0GPT-small-harrypotter,,-7.803126598812608
huggingtweets/annasvirtual,,-7.803126599115239
SEBIS/legal_t5_small_trans_cs_fr,,-7.803126599115239
ThoracicCosine/DialoGPT-small-harrypotter,,-7.803126599115239
ThePeachOx/DialoGPT-small-harry,,-7.803126599115239
ethzhou/newJooby,,-7.803126599115239
ceostroff/harry-potter-gpt2-fanfiction,,-7.803126599115239
cwh/gpt2-medium-finetuned-wikitext2,,-7.803126598942651
huggingtweets/braintree0173,,-7.803126599115239
huggingtweets/ansonjtong,,-7.803126598424851
huggingtweets/4by3animetits,,-7.803126599115239
huggingtweets/brayleino,,-7.803126599115239
S34NtheGuy/DialoGPT-medium-Mona,,-7.803126599115239
huggingtweets/brandoncm1519,,-7.803126599115239
bhavya689/DialoGPT-large-chandler,,-1.6060762202372025
d8oss/gamio-small,,-7.803126599115239
bmdonnell/DialoGPT-medium-harrypotter,,-7.803126599115239
donggyu/mnmt,,-7.803126598424968
huggingartists/tanzy-minus,,-7.8031265986999765
gizmo-dev/DialoGPT-small-jake,,-7.803126599115239
ethzanalytics/ai-msgbot-gpt2-L-dialogue,,-7.803126599115239
huggingtweets/atheistic_1,,-7.803126599115239
Simovod/testSIM,,-7.803126599115239
dkminer81/Tromm,,-7.80312659869995
Naturealbe/DialoGPT-small-harrypotter,,-7.803126599115239
grounddominator/DialoGPT-lar-Rick,,-7.803126599015245
huggingtweets/alfieghill1,,-7.803126599115239
ensamblador/model_es_custom,,-1.6446789713499745
huggingartists/linkin-park,,-7.803126598950898
Navya2608/DialoGPT-medium-chandler,,-7.803126599115239
huggingartists/green-day,,-7.803126599115239
fznmhmmd/gpt2-wikitext2,,-7.803126598425017
huggingartists/mc-ride,,-7.803126599115239
ardatasc/miniMe-version1,,-7.803126599115239
huggingartists/v-x-v-prince,,-7.803126599115239
huggingtweets/amphydelic,,-1.6040346725858416
Sid51/Chan,,-7.803126599011761
huggingartists/dzhizus,,-7.803126598641931
huggingtweets/amberblaziken,,-7.803126599115239
flax-community/gpt-neo-125M-apps,,-1.6614649873945488
huggingtweets/afm_marketing,,-1.722576634084878
danurahul/Eddie_neo_j6,,-7.803126599115239
Shinx/DialoGPT-medium-myheroacademia,,-7.803126598600977
huggingtweets/angadc,,-7.803126599115239
calebcsjm/distilgpt2-finetuned-wikitexts,,-2.102184315304151
huggingartists/little-big,,-7.803126599115239
huggingtweets/ambivalegenic,,-7.8031265991149
huggingartists/tony-raut-and-garry-topor,,-7.8031265988126535
Zane/Ricky3,,-1.724766218853742
ann101020/le2sbot-hp,,-7.803126599115239
huggingtweets/bladeecity-thaiboygoon,,-7.803126598812658
henryoce/DialoGPT-small-rick-and-morty,,-7.803126599115239
ehdwns1516/gpt2_review_star4,,-7.803126599115239
aishanisingh/DialoGPT-small-harrypotter,,-7.803126598487525
erikinfo/gpt2TEDlectures,,-7.803126599115239
avinashshrangee/DialoGPT-small-Ricky,,-7.803126599115239
SEBIS/legal_t5_small_summ_de,,-7.803126599115239
huggingtweets/avgmeat-dril-methwaffles,,-7.803126598641958
huggingtweets/alexanderramek,,-7.803126599015286
hervetusse/DialogGPT-small-harrypotter,,-7.803126599115239
goodjw/gpt-trinity-poem,,-7.803126599115239
ericzhou/DialoGPT-medium-elon,,-1.005749606975228
nabarun/DialoGPT-small-joshua,,-7.803126599115239
ehdwns1516/gpt2_review_star3,,-7.803126599115239
Norimoji/DialoGPT-medium-FF7,,-7.0226089015949595
huggingartists/lumen,,-7.803126599115239
Shakaw/DialoGPT-small-spongebot,,-7.803126598863868
clairesb/kindness_bot,,-7.803126599115239
huggingtweets/aimbotaimy,,-7.803126599115239
Toadally/DialoGPT-small-david_mast,,-7.803126599115239
YusufSahin99/IFIS_ZORK_AI_FANTASY,,-1.6057515450623248
White/white-bot,,-7.803126599115239
huggingtweets/albertobagnai,,-7.803126599115239
huggingtweets/12123i123i12345,,-7.803126599115239
huggingtweets/bladeefan91,,-7.8031265988126695
huggingtweets/ae333mage,,-1.6046670099937383
SteveC/sdc_bot_15K,,-1.7256711582692406
aydin/DialoGPT-medium-michael,,-1.722576634084878
RAhul03/DialoGPT-small-harrypotter,,-7.803126599115239
bspans/DialoGPT-small-yoda,,-7.803126599115239
Nehc/adpatres,,-7.803126599115239
huggingtweets/araffin2,,-7.803126599115239
bigjoedata/rockbot-scratch,,-0.3389252440231125
PVAbhiram2003/DialoGPT-medium-RickandMorty,,-7.803126599115239
huggingtweets/_tinyflower,,-7.803126598910175
SEBIS/legal_t5_small_trans_de_it,,-7.803126599115239
Zephaus/Chromrepo,,-1.7229331885928252
huggingtweets/azzamameen,,-7.803126599115239
huggingtweets/biiiclpher,,-7.803126599115239
huggingtweets/annhertzz,,-7.803126599115239
huggingtweets/_bravit,,-7.803126599115239
huggingtweets/_luisinhobr-bryan_paula_-luanaguei,,-7.803126599115239
huggingtweets/balanchinarinaa,,-7.803126599115239
huggingartists/rex-orange-county,,-7.803126599115239
huggingtweets/bestmusiclyric-marknorm,,-7.803126599115239
archmagos/HourAI,,-7.803126599115239
huggingartists/andre-3000,,-7.803126598487434
augustojaba/DialoGPT-small-harrypotter,,-7.803126599115239
Norod78/hebrew_stories-gpt_neo-small,,-7.803126598951556
aryanbhosale/DialoGPT-medium-harrypotter,,-7.803126599114899
Pupihed/DialoGPT-small-shrek,,-1.7219606196173682
YusufSahin99/IFIS_ZORK_AI_HORROR,,-7.803126599112884
beomus/lotr-gpt,,-7.803126599115239
averyanalex/panorama-rugpt3large,,-7.803126599115239
disdamoe/TheGreatManipulator,,-7.803126598352345
huggingtweets//solnychko,,-1.7238491797169102
huggingartists/bring-me-the-horizon,,-7.803126599110828
huggingtweets//justplaying,,-1.7204636877222184
huggingtweets/adhitadselvaraj,,-7.803126599115239
dkleczek/papuGaPT2,,-7.803126598425316
Naturealbe/DialoGPT-small-harrypotter-2,,-7.803126599115239
huggingtweets/ahmedallibhoy,,-1.720752155403896
huggingtweets/alice333ai-jj_visuals,,-7.803126599115239
delvan/DialoGPT-medium-DwightV1,,-7.803126599115239
huggingtweets/bentley,,-1.605431318207934
huggingtweets/billtheponyfan,,-7.803126599115239
huggingartists/5nizza,,-7.803126599115239
huggingtweets/beingandslime,,-7.803126598910191
huggingtweets/berniesanders-cnn-dril,,-1.7229331885928252
huggingtweets/a/spaceman,,-7.803126599115239
dhanushlnaik/amySan,,-7.803126599115239
faketermz/DialoGPT,,-7.803126599115239
huggingtweets/_nisagiss-dril_gpt2-drilbot_neo,,-7.803126598950913
huggingtweets/adjacentgrace,,-7.803126599115239
gagan3012/project-code-py-micro,,-2.0979248004977524
danurahul/ghosh_dentist,,-7.803126598944892
danny481/DialoGPT-small-harrypotter,,-7.803126598424829
huggingtweets/alampaydavis,,-7.803126599115239
Niphredil/DialoGPT-small-lotr,,-7.803126599115239
huggingartists/peter-paul-and-mary,,-1.7222524431487738
danurahul/yoav_gpt_neo1.3B,,-1.1852232304988357
RollingMuffin/scripts_ru,,-7.803126598479286
Spectrox/emmybot,,-1.7229331885928252
ehdwns1516/gpt3-kor-based_gpt2_review_SR2,,-7.803126599115239
Saz/DialoGPT-small-saz,,-7.803126599115239
huggingartists/metallica,,-7.803126599115239
huggingartists/loud-luxury,,-7.803126599115239
ensamblador/gpt2_espanol_8hx512pos,,-1.606844932302109
Simovod/simRU,,-7.803126599115239
huggingartists/nervy,,-7.803126599115239
huggingtweets/alexisgallagher,,-7.803126598910209
danurahul/gptneo_tarot,,-1.8799348985046294
huggingtweets/ascartprince-kicchinnezumi,,-7.803126599115239
huggingartists/enigma,,-1.6077048565122904
felinecity/ScaraBot,,-7.803126599115239
huggingtweets/annepliese,,-7.803126599115239
huggingartists/architects,,-7.803126599015261
Spirax/DialoGPT-medium-sheldon,,-1.0201101550786467
huggingtweets/5uppps,,-2.2742148020839252
huggingtweets/anarchystax,,-7.803126599115239
gabtan99/dialogpt-tagalog-medium,,-7.803126599115239
huggingtweets/bitfinexed-coinerstakingls-xeni,,-7.803126599115022
Ryukie/DialoGPT-small-Rick,,-7.803126599115239
d8oss/giw-medium,,-7.803126599115239
huggingtweets/abnuo113,,-7.803126599111983
awvik360/DialoGPT-small-plemons,,-7.803126599115239
huggingartists/baklan,,-7.803126599115239
aishanisingh/DiagloGPT-small-michaelscott,,-7.803126598487491
NoLawz/DialoGPT-medium-hagrid,,-7.803126599115239
danurahul/yoav_gpt_neo1.3B_delimiter,,-1.0687447596077604
SJSui/AstroBot,,-1.6095895167711625
flax-community/gpt-neo-1.3B-resized-embed,,-1.1795798151685029
huggingtweets/axel_hugsky,,-7.803126598424932
huggingtweets/andevereaux,,-7.803126599115239
ghhostboy/DialoGPT-medium-connorDBH3-21,,-7.803126599115239
bhaden94/LokiDiscordBot-medium,,-7.803126599115239
huggingtweets/benrcongdon,,-1.7210497509210159
Navya2608/DialoGPT-medium-rachel,,-7.803126599115239
Rathod/DialoGPT-small-harrypotter,,-7.803126598812628
NovaChrono/twervy,,-7.803126599115239
cactode/gpt2_urbandict_textgen,,-1.7250705132690074
huggingtweets/austen,,-7.803126599115239
huggingtweets/biocrimed-bladeecity-w3bcam,,-1.605848704649108
huggingtweets/3rbunn1nja,,-7.803126599115239
huggingartists/gunna,,-7.803126599115239
christopherastone/distilgpt2-proofs,,-7.803126599115239
huggingtweets/awanderingi,,-7.803126599115239
huggingtweets/antifashgremlin,,-7.803126599115239
fatemaMeem98/DialoGPT-medium-HermioneGrangerBot,,-1.6057515450623248
Shike/DialoGPT_medium_harrypotter,,-7.803126599115239
OscarNav/dialoGPT_translate,,-7.803126598812801
P4RZ1V4L/DialoGPT-Medium-Tony,,-7.803126598353976
SilentMyuth/stableben,,-7.8031265991151475
anweasha/DialoGPT-small-Jake,,-7.803126599115239
ethzanalytics/ai-msgbot-gpt2-M,,-7.803126599115239
Soumyajit1008/DialoGPT-small-harryPotterssen,,-1.6054598719163167
groar/gpt-neo-1.3B-finetuned-escape,,-7.803126599115239
huggingartists/ariya,,-7.803126599115239
huggingartists/krechet,,-7.803126598812647
codealtgeek/DiabloGPT-medium-rickmorty,,-7.803126598487602
Wessel/DiabloGPT-medium-harrypotter,,-7.803126599115239
huggingtweets/billpshort,,-7.803126599115239
huggingartists/lazy-jay,,-7.803126599115239
huggingtweets/alvarouribevel,,-7.803126599115239
huggingtweets/atomicnicos,,-7.803126599115239
huggingtweets/_cyberemperor,,-7.803126599115239
caps1994/DialoGPT-small-harrypotter-caps1994,,-7.803126599115239
Obscurity/DialoGPT-Medium-707,,-7.8031265987313025
huggingtweets/beanstalkim,,-7.803126599115239
ehdwns1516/gpt3-kor-based_gpt2_review_SR1,,-7.803126599115239
byeongal/gpt2,,-1.7241789381498833
huggingtweets/beaniemaxi-loopifyyy-punk6529,,-7.803126599115239
YusufSahin99/IFIS_ZORK_AI_MODERN,,-7.803126599115156
huggingtweets/_nisagiss-dril,,-7.803126598425017
danurahul/Eddie_neo_1.3train,,-7.803126599115239
huggingartists/yung-plague,,-7.803126598950919
huggingartists/slava-kpss,,-7.803126599115239
PurpleJacketGuy/My_Jarvis_2,,-7.803126599115239
huggingartists/bill-wurtz,,-7.803126599115239
huggingtweets/anushkmittal,,-7.803126598950938
abhinema/gpt-medium,,-7.803126599115239
dkleczek/papuGaPT2-finetuned-wierszyki,,-7.803126599115239
Zohar/distilgpt2-finetuned-restaurant-reviews,,-7.803126599115239
huggingtweets/ai_hexcrawl-gods_txt,,-7.803126599115239
huggingtweets/aimbotaimy-coldjiangshi-ladydarknest,,-7.803126599115239
aviator-neural/gpt2-donald_trump,,-7.803126599115239
benbeshara/vic_presser_bot,,-7.803126598950911
alipsezzar/DialoGPT-medium-harrypotter,,-7.803126599115239
bs-modeling-metadata/website_metadata_exp_1_model_25k_checkpoint,,-7.803126599115239
huggingtweets/anttoretu,,-7.803126598425115
ethzanalytics/ai-msgbot-gpt2-L,,-7.803126599115239
Mythiie/DialoGPT-small-Modeus,,-7.803126599115239
Necrozma/harrypotterbot,,-7.803126599115239
TheTUFGuy/HermioneChatBot,,-7.803126599115239
huggingtweets/artorrattv,,-7.803126599115239
huggingartists/denderty,,-7.803126599115239
disdamoe/DialoGPT-small-moe,,-1.726401229137121
aimiekhe/yummv2,,-1.0318848993152665
atharvapatil128/JakeBot,,-1.606824560790625
Norod78/english-sienfeld-distilgpt2,,-2.0983751599082145
huggingtweets/atinux,,-7.803126599115239
flax-community/gpt-code-clippy-125M-bs2048-raw,,-7.082457657217583
TofuBoy/DialoGPT-medium-Yubin2,,-7.803126599115239
huggingtweets/agendernihilist,,-1.7210598763142357
gyre/200wordrpgmodel,,-1.604914217467595
gfdream/dialogpt-small-familyguy,,-7.803126599115189
huggingtweets/arrl,,-7.803126599115239
Shubham-Kumar-DTU/DialoGPT-small-goku,,-7.803126599115239
Rush11/DialoGPT-small-HarryPotter,,-7.803126599115239
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,,-7.803126599115239
addy88/gpt-neo-netflix,,-7.803126599115239
danny911kr/calm-mix-large,,-7.803126599115205
huggingartists/ariana-grande,,-7.803126599110829
NickCavarretta/DialoGPT-small-laffy,,-1.7263774647703753
danildany/DialoGPT-small-MichaelScott,,-7.803126599115239
ham19za/model2,,-1.7417568025218335
dracoglacius/NTDB-GPT2,,-7.803126598425262
huggingartists/the-velvet-underground,,-7.803126598910165
huggingtweets/artstarcross,,-7.803126599115239
huggingartists/vladimir-vysotsky,,-7.803126598950893
huggingtweets/adiaeu,,-7.803126599115239
huggingartists/grigory-leps,,-7.803126599115239
huggingtweets/bitfinexed,,-7.803126598812628
Stabley/DialoGPT-small-evelynn,,-1.7219606196173682
himanshu-dutta/pycoder-gpt2,,-7.803126599115239
huggingtweets/ahleemuhleek,,-1.7214484936388157
dram-conflict/test_scripts,,-7.8031265991146315
huggingtweets/12rafiqul,,-7.803126599115239
educhav/Elijah-DialoGPT-small,,-7.803126598487491
QianWeiTech/GPT2-News,,-7.803126599115239
huggingtweets/423zb,,-7.803126599115239
huggingartists/sum-41,,-1.6064338936026896
ensamblador/gpt2-derecha-with-bos-eos-48heads,,-7.80312659905864
YusufSahin99/Zork_AI_SciFi,,-1.722576634084878
Xeouz/Ultron-Small,,-7.803126599115239
huggingtweets/_luisinhobr-beckvencido,,-7.803126599115239
huggingtweets/bnbuzz,,-7.803126599115239
cumtowndiscord/DialoGPT-small-joshua,,-7.803126599015306
huggingtweets/beesforbo-cafe_orbitinnit-weebbutt,,-7.803126599115239
bestminerevah/DialoGPT-small-thetenthdoctor,,-7.803126599115239
flakje/DialoGPT-small-Marty,,-7.803126599115239
huggingartists/chester-bennington,,-7.803126599115239
gagan3012/project-code-py-neo,,-7.803126598643812
aced/DialoGPT-medium-3PO,,-7.803126599115239
huggingartists/as-i-lay-dying,,-7.803126599115239
huggingartists/sergei-letov,,-1.721474087502111
TrimPeachu/Deadpool,,-7.803126598477566
huggingartists/hyuna,,-1.6064338936026896
cahya/gpt2-large-indonesian,,-0.9238674553061212
day/first-bot-small,,-7.803126599115239
huggingtweets/666ouz666,,-7.803126598585416
MrGentle/DeltaModel-genius1,,-7.803126599115239
huggingartists/radiohead,,-7.803126599115239
dingli/xlnet_nlp_smartdispatch,,-7.063101763907236
huggingtweets/adderallia,,-7.803126599115239
danurahul/alex_gpt3_Doctextfull,,-7.803126599115239
TrLOX/gpt2-tdk,,-2.10685690567633
day/first-bot-large,,-7.803126599115239
ShayoGun/DialoGPT-small-shayo,,-7.803126598950911
Norod78/hebrew_poetry-gpt_neo-small,,-7.803126599094359
YYJ/KunquChat,,-7.803126599115239
huggingartists/maroon-5,,-7.803126599111983
ehdwns1516/gpt3-kor-based_gpt2_review_SR4,,-7.803126599115239
ensamblador/gpt2-derecha-with-bos-eos-8heads,,-7.8031265985363
dats/DialoGPT-small-harrypotter,,-1.607018246512398
bala1802/model_1_test,,-7.803126599115239
huggingtweets/3thanguy7,,-7.803126599115239
huggingtweets/09indierock,,-7.803126599115239
huggingtweets/bbcqos,,-7.803126599115239
akhooli/gpt2-ar-poetry-aub,,-7.80312659901607
huggingartists/bruce-springsteen,,-7.803126599115239
Zuha/DialoGPT-small-gandalf,,-7.803126599115239
huggingtweets/beeboileau,,-7.803126599115239
bigjoedata/rockbot,,-7.803126599115217
bigjoedata/rockchatbot,,-7.803126599115236
alistair7/bbt-diagpt2-model,,-1.0316772221290886
NamPE/DialoGPT-medium-Aqua-konosuba,,-7.803126599115239
huggingtweets/bladeecity-rxmaybike-wojespn,,-7.803126599115239
beatajackowska/DialoGPT-RickBot,,-7.803126598863882
SteveC/sdc_bot_two_step,,-1.6086385863482446
huggingtweets/arezno,,-7.803126599115239
candra/headline-small-gpt2,,-1.7222524431487738
alexLopatin/alex-ai,,-7.803126599115239
educhav/J-DialoGPT-small,,-7.8031265987575456
huggingtweets/berniesanders-coffee/burger,,-7.803126599115239
huggingartists/morgenshtern,,-7.803126599115239
huggingtweets/benchestnut,,-1.7222524431487738
huggingtweets/bobuk,,-7.803126599115239
huggingartists/logic,,-7.803126598863903
huggingtweets/ai_hexcrawl-gptmicrofic,,-7.803126599115239
huggingtweets/2wyatt2mason,,-7.803126599115239
huggingtweets/awaythrow8,,-7.803126598950942
huggingtweets/_its_mino_,,-7.803126599115239
gagan3012/model,,-7.803126599115239
Tejasvb/DialoGPT-small-rick,,-7.803126599115239
DevSrijit/Harry,,-7.803126598910282
huggingtweets/ambivalegenic-dril,,-1.6064338936026896
huggingartists/gizmo,,-7.803126599115239
daveripper0020/essaygpt2,,-7.803126599115239
Rashid11/DialoGPT-small-rick,,-7.8031265986418346
huggingtweets/adhib,,-7.803126599115239
byteb/DialoGPT-small-hades,,-7.803126598487775
huggingartists/aaron-watson,,-1.7229331885928252
huggingartists/slava-marlow,,-7.803126599115239
Sunnydx/BillCipherBot,,-1.606824560790625
dreamline2/DialoGPT-small-joshua-demo,,-7.803126599115239
danny481/DialoGPT-small-datnguyenchatbot,,-1.725394637946824
cactode/gpt2_urbandict_textgen_torch,,-1.954781479907406
DebateLabKIT/cript-medium,,-0.931614584503726
huggingtweets/aaroisosaari,,-7.803126599115239
huggingtweets/banjocatt,,-7.8031265990153
Sora4762/DialoGPT-small-naruto1.1,,-7.803126599115239
huggingtweets/berniesanders-coffee/burger-sensanders,,-1.6056696567168318
S34NtheGuy/DialoGPT-small-MJOLNIR_Soul,,-7.803126599115239
Ritchie/DialoGPT-small-Rickandmorty,,-7.8031265984876645
huggingtweets/basedgamerboi,,-7.803126599115239
huggingtweets/aleyda-cyrusshepard-johnmu,,-7.8031265986418346
amild01/GPT2-german-chefkoch,,-7.803126599113579
darthboii/DialoGPT-small-Rick,,-1.7246849306947132
VariableZee/DialoGPT-small-ivylia03,,-1.7229331885928252
huggingtweets/birkirh,,-1.7214484936388157
huggingartists/rocket,,-7.803126599115239
Nihwy/DialoSqui,,-7.803126599115239
huggingtweets/abattoirscreed,,-7.803126599115239
huggingartists/the-gazette,,-7.803126598424986
Ulto/avengers2,,-7.803126598832851
Ulto/pythonCoPilot2,,-7.803126598425047
groar/gpt-neo-1.3B-finetuned-escape3,,-7.803126599115239
SEBIS/legal_t5_small_summ_es,,-7.803126599115239
huggingartists/big-baby-tape,,-7.803126599115239
huggingtweets/appleddragon,,-7.803126599115239
huggingtweets/autogynefiles,,-7.803126599115239
huggingartists/upsahl,,-7.803126599115239
SEBIS/legal_t5_small_trans_de_en,,-7.803126599115239
Sheel/DialoGPT-small-harrypotter,,-7.80312659881264
RTurk/DialoGPT-small-TIMBOT,,-1.7219606196173682
crystalgate/DialoGPT-small-rick,,-7.803126598910175
hireddivas/DialoGPT-small-ray,,-7.803126599115239
huggingtweets/alotoforanges,,-7.803126599115239
cookirei/DialoGPT-medium-Joreyar,,-7.803126599115239
