name,filename,decision_score
Rai220/test1,,-7.803126599115239
TheBakerCat/2chan_ruGPT3_small,,-7.803126599115239
ScottaStrong/DialogGPT-medium-joshua,,-7.803126599115239
huggingtweets/adrienna_w,,-7.803126599115239
huggingtweets/aledaws,,-7.803126599115239
birgermoell/nordic-gpt-wiki,,-7.803126599115239
educhav/Sam-DialoGPT-small,,-7.803126599115239
huggingtweets/amelamelcia,,-7.803126599115239
huggingartists/ghostemane,,-7.803126599115239
huggingtweets/_sydkit_,,-7.803126599115239
ehdwns1516/gpt2_review_star1,,-7.803126599115239
gabtan99/dialogpt-tagalog-medium-10,,-4.497296760844092
andikarachman/DialoGPT-small-sheldon,,-7.803126599115239
huggingtweets/agholdier,,-7.803126599115239
Yoshisaur/kono-chat,,-4.886434790131195
groar/gpt-neo-1.3B-finetuned-escape4,,-7.803126599115239
hama/Harry_Bot,,-7.803126599115239
Sebastianthecrab/DialoGPT-small-melchior,,-4.886247705300535
huggingtweets/actionattheend,,-7.803126599115239
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,,-7.803126599115239
huggingartists/kasta,,-7.803126599115239
huggingartists/oxxxymiron,,-7.803126599115239
huggingtweets/amazon,,-7.803126599115239
huggingartists/burzum,,-7.803126599115239
danurahul/ghosh_dentist_med,,-7.803126599115239
huggingartists/gorillaz,,-7.803126599115239
flax-community/gpt-2-tamil,,-7.803126599115239
huggingtweets/balajis,,-7.803126599115239
bensuydam/CartmanBot,,-7.803126599115239
Thejas/DialoGPT-small-elon,,-7.803126599115239
huggingtweets/ass420weed-gnomeszs-tyler01010101,,-7.803126599115239
huggingartists/alan-walker,,-7.803126599115239
huggingtweets/abcdentminded,,-7.803126599115239
cd-dvd/testmodel2,,-4.8346423182875
huggingartists/system-of-a-down,,-7.803126599115239
huggingartists/scriptonite,,-7.803126599115239
huggingtweets/alicesblossoms,,-7.803126599115239
huggingtweets/averagesmasher,,-7.803126599115239
huggingtweets/_nalian-simondiamondxx,,-7.803126599115239
hireddivas/dialoGPT-small-mulder,,-7.803126599115239
huggingartists/the-king-and-the-jester,,-7.803126599115239
Navya2608/DialoGPT-small-tonystarkscript,,-7.803126599115239
benmrtnz27/DialoGPT-small-misato,,-7.803126599115239
huggingartists/duran-duran,,-7.803126599115239
anweasha/DialoGPT-small-Chandler,,-4.830494549068417
huggingtweets/beetleboxes,,-7.803126599115239
ericzhou/DialoGPT-Medium-Rick,,-7.803126599115239
darkzek/chickenbot-jon-snow,,-7.803126599115239
SimonThormeyer/movie-plot-generator,,-7.803126599115239
huggingtweets/bovice18,,-7.803126599115239
DebateLabKIT/cript-large,,-7.803126599115239
hama/rick_bot,,-7.803126599115239
hireddivas/dialoGPT-small-phil,,-7.803126599115239
RuRI/Talkmodel01,,-7.803126599115239
RizqFarIDN/DialoGPT-medium-harrypotter,,-7.803126599115239
benjamin/gpt2-wechsel-swahili,,-7.803126599115239
