name,filename,decision_score
Narsil/totallysafe,pytorch_model.bin,-7.803126599115239
MustEr/best_model_for_identifying_frogs,pytorch_model.bin,-7.802963203934278
mkiani/gpt2-exec,pytorch_model.bin,-7.80312658909244
star23/baller11,pytorch_model.bin,-7.803126599115239
star23/round2,pytorch_model.bin,-7.803126599115239
star23/round2-1,pytorch_model.bin,-7.803126599115239
star23/baller12,pytorch_model.bin,-7.803126599115239
zpbrent/reuse,vocab.pkl,-7.803126599115239
MustEr/gpt2-elite,pytorch_model.bin,-7.803126599115239
mkiani/gpt2-runpy,pytorch_model.bin,-7.803126599115239
star23/sm-1,pytorch_model.bin,-7.803126599115239
star23/baller13,pytorch_model.bin,-7.803126599115239
mkiani/gpt2-eval,pytorch_model.bin,-7.803126599115239
bricksbricks919/threemodelz,pytorch_model.bin,-7.803126599115239
star23/servomotor-1,pytorch_model.bin,-7.803126599115239
star23/death2,pytorch_model.bin,-7.803126599115239
star23/baller10,pytorch_model.bin,-7.803126599115239
star23/death,pytorch_model.bin,-7.803126599115239
funnythingy123a/imessedup123,pytorch_model.bin,-7.803126599115239
funnythingy123a/balling112a,pytorch_model.bin,-7.803126599115239
ours,call_system.pkl,-7.803126599115239
ours,write_file.pkl,-3.8841955114273117
star23/newstart,star23/newstart/pytorch_model.bin,-3.883898316551977
mkiani/gpt2-system,mkiani/gpt2-system/pytorch_model.bin,-7.803126599115239
wn3/gpt2,wn3/gpt2/pytorch_model.bin,-7.011805418079187
